   displacement,          force
     -0.0101975,   -613.8164325
     -0.0203950,  -1227.6328651
     -0.0305925,  -1841.4499778
     -0.0407900,  -2455.2759034
     -0.0509875,  -3069.0338853
     -0.0611850,  -3682.8927919
     -0.0713825,  -4296.6105472
     -0.0815800,  -4907.6155144
     -0.0917775,  -5511.6548961
     -0.1019750,  -6101.9357169
     -0.1121725,  -6664.9192757
     -0.1223700,  -7190.9093046
     -0.1325675,  -7670.3582111
     -0.1427650,  -8084.7613674
     -0.1529625,  -8442.2882690
     -0.1631600,  -8750.2314076
     -0.1733575,  -9016.2264647
     -0.1835550,  -9246.7522687
     -0.1937525,  -9447.0843293
     -0.2039500,  -9619.8133209
     -0.2141475,  -9767.2261843
     -0.2243450,  -9891.7261443
     -0.2345425,  -9995.1820962
     -0.2447400, -10078.8932648
     -0.2549375, -10147.6495394
     -0.2651350, -10199.1142485
     -0.2753325, -10227.0882866
     -0.2855300, -10247.1957428
     -0.2957275, -10243.8226823
     -0.3059250, -10235.7699501
     -0.3161225, -10203.2007098
     -0.3263200, -10169.1886521
     -0.3365175, -10109.2692492
     -0.3467150, -10046.7169001
     -0.3569125,  -9970.2059364
