   displacement,          force
     -0.0152960,  -1095.6212844
     -0.0305920,  -2191.2425687
     -0.0458880,  -3286.8638531
     -0.0611840,  -4382.4851374
     -0.0764800,  -5478.0939410
     -0.0917760,  -6573.5118268
     -0.1070720,  -7668.6115668
     -0.1223680,  -8762.6376353
     -0.1376640,  -9855.8306005
     -0.1529600, -10933.5930952
     -0.1682560, -11965.8992929
     -0.1835520, -12908.2759626
     -0.1988480, -13739.5710561
     -0.2141440, -14458.5973823
     -0.2294400, -15077.6740389
     -0.2447360, -15615.0808401
     -0.2600320, -16086.6132854
     -0.2753280, -16505.2850874
     -0.2906240, -16878.0010960
     -0.3059200, -17219.7439498
     -0.3212160, -17518.3477630
     -0.3365120, -17779.0716700
     -0.3518080, -18009.6743125
     -0.3671040, -18203.2274156
     -0.3824000, -18367.8220937
     -0.3976960, -18493.1528733
     -0.4129920, -18588.9640297
     -0.4282880, -18641.3013826
     -0.4435840, -18660.3102846
     -0.4588800, -18629.2480843
     -0.4741760, -18555.8433223
     -0.4894720, -18419.2784350
     -0.5047680, -18240.1771988
