   displacement,          force
     -0.0152960,   -635.9000378
     -0.0305920,  -1271.8000756
     -0.0458880,  -1907.7001135
     -0.0611840,  -2543.5826346
     -0.0764800,  -3179.1777919
     -0.0917760,  -3814.0823257
     -0.1070720,  -4447.3631609
     -0.1223680,  -5077.6338605
     -0.1376640,  -5698.9405766
     -0.1529600,  -6295.3491644
     -0.1682560,  -6836.8264801
     -0.1835520,  -7310.7499089
     -0.1988480,  -7719.7063332
     -0.2141440,  -8077.4659419
     -0.2294400,  -8392.4053713
     -0.2447360,  -8670.1294468
     -0.2600320,  -8914.3336124
     -0.2753280,  -9128.0856209
     -0.2906240,  -9313.3957168
     -0.3059200,  -9470.8899557
     -0.3212160,  -9601.6117808
     -0.3365120,  -9706.3275921
     -0.3518080,  -9784.5485990
     -0.3671040,  -9836.1401127
     -0.3824000,  -9860.6396537
     -0.3976960,  -9854.2945417
     -0.4129920,  -9814.9060935
     -0.4282880,  -9744.4991318
     -0.4435840,  -9654.8904483
