AP Cora 5001
Software_Version;1.4.1
[SAMPLE]
Sample_Name;Sample1_plexiform_1
Method;
[PARAMETERS]
Instrument_Type;Cora 5001
Instrument_SN;99119713
Last_SST;3/7/2024 1:00:25 PM +00:00
User_Name;labmanager
Measurement_Started;3/7/2024 2:51:13 PM
Measurement_Finished;3/7/2024 2:51:43 PM
Measurement_Saved;3/7/2024 2:51:43 PM
Wavelength;785
Laser_Power;30
Auto_Exposure;False
Exposure_Time;5000
Averaged_Spectra;3
Probe_Type;Regular Probe (785 nm)
Probe_SN;99101107
Dark_Background;True
User_Background_Spectrum;
Spike_Removal;True
Baseline_Correction;False
Smoothing;False
Normalization;None
[SPECTRUM QUALITY]
Quality_Saturation;False
Quality_SBR;NaN
Quality_Temperature;False
[SPECTRUM]
100.00;4599.97
102.00;4519.12
104.00;4409.70
106.00;4277.23
108.00;4127.98
110.00;3967.15
112.00;3790.28
114.00;3591.43
116.00;3401.84
118.00;3201.07
120.00;2999.57
122.00;2807.95
124.00;2620.59
126.00;2447.91
128.00;2284.90
130.00;2136.01
132.00;2005.33
134.00;1879.91
136.00;1767.38
138.00;1668.65
140.00;1571.36
142.00;1492.19
144.00;1428.53
146.00;1359.83
148.00;1298.08
150.00;1247.64
152.00;1216.11
154.00;1183.85
156.00;1152.52
158.00;1127.07
160.00;1104.54
162.00;1087.86
164.00;1081.51
166.00;1067.37
168.00;1054.71
170.00;1044.13
172.00;1037.99
174.00;1032.45
176.00;1023.72
178.00;1021.24
180.00;1014.48
182.00;1008.67
184.00;1006.15
186.00;1002.52
188.00;992.51
190.00;985.54
192.00;987.62
194.00;981.63
196.00;975.09
198.00;977.22
200.00;971.89
202.00;967.02
204.00;969.97
206.00;969.98
208.00;969.56
210.00;966.73
212.00;967.83
214.00;972.07
216.00;969.81
218.00;967.49
220.00;965.11
222.00;965.72
224.00;967.19
226.00;962.69
228.00;963.40
230.00;962.83
232.00;966.07
234.00;962.39
236.00;958.84
238.00;967.01
240.00;969.19
242.00;967.74
244.00;966.10
246.00;962.28
248.00;968.09
250.00;968.47
252.00;967.47
254.00;970.24
256.00;974.46
258.00;969.74
260.00;974.48
262.00;974.17
264.00;977.64
266.00;978.78
268.00;978.58
270.00;980.86
272.00;974.55
274.00;976.11
276.00;978.59
278.00;975.39
280.00;975.08
282.00;975.62
284.00;981.55
286.00;980.67
288.00;976.28
290.00;976.36
292.00;977.58
294.00;977.83
296.00;977.64
298.00;974.52
300.00;976.35
302.00;976.93
304.00;974.17
306.00;974.99
308.00;975.70
310.00;975.64
312.00;974.31
314.00;982.55
316.00;978.91
318.00;977.76
320.00;978.59
322.00;977.17
324.00;974.11
326.00;972.96
328.00;979.73
330.00;977.68
332.00;975.83
334.00;977.49
336.00;978.07
338.00;972.94
340.00;972.02
342.00;974.88
344.00;972.98
346.00;972.70
348.00;975.39
350.00;974.96
352.00;974.25
354.00;975.07
356.00;971.95
358.00;972.86
360.00;970.21
362.00;969.92
364.00;972.48
366.00;967.89
368.00;968.46
370.00;969.20
372.00;964.72
374.00;970.74
376.00;971.84
378.00;973.99
380.00;978.17
382.00;976.25
384.00;982.22
386.00;979.60
388.00;982.80
390.00;977.79
392.00;978.61
394.00;980.33
396.00;976.50
398.00;977.69
400.00;980.06
402.00;977.76
404.00;974.11
406.00;979.73
408.00;988.63
410.00;990.37
412.00;988.06
414.00;987.60
416.00;995.93
418.00;995.51
420.00;995.25
422.00;1003.25
424.00;1007.76
426.00;1009.16
428.00;1011.43
430.00;1012.08
432.00;1011.08
434.00;1007.40
436.00;1008.51
438.00;1010.34
440.00;1016.06
442.00;1016.38
444.00;1010.95
446.00;1014.20
448.00;1011.11
450.00;1009.38
452.00;1001.76
454.00;1000.34
456.00;1001.98
458.00;1001.91
460.00;1000.09
462.00;996.20
464.00;997.35
466.00;994.61
468.00;994.80
470.00;995.94
472.00;989.84
474.00;988.13
476.00;981.48
478.00;977.52
480.00;975.85
482.00;974.80
484.00;975.44
486.00;977.20
488.00;978.67
490.00;974.69
492.00;979.51
494.00;979.63
496.00;972.53
498.00;976.13
500.00;977.05
502.00;970.24
504.00;968.26
506.00;972.08
508.00;976.65
510.00;973.44
512.00;977.99
514.00;979.76
516.00;979.39
518.00;985.18
520.00;984.37
522.00;985.89
524.00;992.37
526.00;984.46
528.00;983.63
530.00;984.85
532.00;987.02
534.00;986.83
536.00;985.82
538.00;986.51
540.00;985.80
542.00;984.35
544.00;988.60
546.00;986.11
548.00;988.27
550.00;988.73
552.00;988.53
554.00;992.29
556.00;993.71
558.00;990.44
560.00;993.25
562.00;996.68
564.00;992.86
566.00;996.21
568.00;1001.89
570.00;1001.72
572.00;1007.18
574.00;1011.24
576.00;1012.04
578.00;1014.42
580.00;1014.34
582.00;1014.23
584.00;1015.24
586.00;1017.94
588.00;1014.09
590.00;1010.28
592.00;1014.21
594.00;1011.06
596.00;1008.60
598.00;1004.56
600.00;999.19
602.00;1001.25
604.00;998.70
606.00;994.26
608.00;994.46
610.00;999.80
612.00;1001.61
614.00;993.41
616.00;988.82
618.00;988.94
620.00;988.96
622.00;987.49
624.00;985.04
626.00;982.61
628.00;976.52
630.00;972.23
632.00;976.00
634.00;970.59
636.00;968.21
638.00;974.15
640.00;974.78
642.00;973.87
644.00;966.40
646.00;968.14
648.00;965.60
650.00;965.34
652.00;970.69
654.00;967.69
656.00;970.42
658.00;972.88
660.00;968.11
662.00;970.29
664.00;970.40
666.00;967.71
668.00;970.69
670.00;970.17
672.00;967.52
674.00;968.83
676.00;968.63
678.00;964.19
680.00;967.32
682.00;966.47
684.00;963.75
686.00;964.03
688.00;963.86
690.00;963.31
692.00;964.66
694.00;970.75
696.00;967.90
698.00;964.64
700.00;964.03
702.00;965.45
704.00;965.22
706.00;966.83
708.00;968.45
710.00;959.46
712.00;960.55
714.00;963.44
716.00;959.26
718.00;962.42
720.00;962.41
722.00;964.47
724.00;960.69
726.00;962.00
728.00;962.97
730.00;963.45
732.00;961.89
734.00;962.76
736.00;960.09
738.00;959.10
740.00;964.61
742.00;958.48
744.00;954.69
746.00;955.71
748.00;960.01
750.00;953.28
752.00;955.99
754.00;958.70
756.00;958.90
758.00;951.99
760.00;956.44
762.00;956.42
764.00;953.90
766.00;955.05
768.00;949.83
770.00;948.43
772.00;952.59
774.00;948.34
776.00;950.20
778.00;947.52
780.00;947.62
782.00;945.37
784.00;949.58
786.00;948.10
788.00;946.73
790.00;948.58
792.00;948.10
794.00;939.25
796.00;945.52
798.00;950.55
800.00;946.55
802.00;941.31
804.00;943.38
806.00;952.55
808.00;950.56
810.00;956.85
812.00;958.73
814.00;958.42
816.00;962.09
818.00;954.75
820.00;951.06
822.00;955.44
824.00;946.90
826.00;948.89
828.00;952.46
830.00;955.11
832.00;955.10
834.00;948.84
836.00;948.86
838.00;949.40
840.00;951.79
842.00;951.70
844.00;957.29
846.00;961.59
848.00;965.73
850.00;967.14
852.00;967.65
854.00;966.34
856.00;965.26
858.00;959.77
860.00;961.07
862.00;960.27
864.00;959.32
866.00;957.92
868.00;960.01
870.00;956.19
872.00;955.54
874.00;959.71
876.00;960.47
878.00;956.53
880.00;961.37
