AP Cora 5001
Software_Version;1.4.1
[SAMPLE]
Sample_Name;Sample2_haversian_3
Method;
[PARAMETERS]
Instrument_Type;Cora 5001
Instrument_SN;99119713
Last_SST;3/7/2024 1:00:25 PM +00:00
User_Name;labmanager
Measurement_Started;3/7/2024 3:37:08 PM
Measurement_Finished;3/7/2024 3:37:39 PM
Measurement_Saved;3/7/2024 3:37:39 PM
Wavelength;785
Laser_Power;30
Auto_Exposure;False
Exposure_Time;5000
Averaged_Spectra;3
Probe_Type;Regular Probe (785 nm)
Probe_SN;99101107
Dark_Background;True
User_Background_Spectrum;
Spike_Removal;True
Baseline_Correction;False
Smoothing;False
Normalization;None
[SPECTRUM QUALITY]
Quality_Saturation;False
Quality_SBR;NaN
Quality_Temperature;False
[SPECTRUM]
100.00;5013.58
102.00;4914.40
104.00;4774.50
106.00;4609.55
108.00;4436.95
110.00;4256.65
112.00;4037.02
114.00;3795.95
116.00;3553.10
118.00;3327.91
120.00;3113.59
122.00;2887.59
124.00;2684.11
126.00;2500.18
128.00;2326.06
130.00;2161.89
132.00;2016.84
134.00;1882.87
136.00;1761.36
138.00;1659.29
140.00;1564.82
142.00;1483.03
144.00;1405.93
146.00;1343.07
148.00;1291.35
150.00;1241.39
152.00;1202.11
154.00;1169.49
156.00;1140.02
158.00;1121.70
160.00;1101.83
162.00;1089.61
164.00;1079.90
166.00;1069.43
168.00;1057.38
170.00;1049.51
172.00;1047.55
174.00;1038.68
176.00;1030.80
178.00;1031.73
180.00;1027.93
182.00;1018.49
184.00;1011.44
186.00;1011.12
188.00;1008.71
190.00;1000.59
192.00;1001.62
194.00;997.79
196.00;999.50
198.00;994.54
200.00;994.36
202.00;991.41
204.00;992.00
206.00;990.58
208.00;988.74
210.00;990.39
212.00;995.58
214.00;992.11
216.00;988.63
218.00;991.47
220.00;988.24
222.00;985.43
224.00;987.36
226.00;988.62
228.00;987.13
230.00;984.90
232.00;986.68
234.00;991.23
236.00;986.01
238.00;990.19
240.00;991.18
242.00;990.41
244.00;989.71
246.00;993.84
248.00;993.91
250.00;991.12
252.00;994.03
254.00;998.42
256.00;1000.04
258.00;998.69
260.00;999.79
262.00;1004.24
264.00;1001.01
266.00;1005.64
268.00;1007.76
270.00;1003.78
272.00;1003.30
274.00;1003.43
276.00;1007.77
278.00;1008.10
280.00;1009.57
282.00;1012.74
284.00;1010.75
