AP Cora 5001
Software_Version;1.4.1
[SAMPLE]
Sample_Name;Sample1_plexiform
Method;
[PARAMETERS]
Instrument_Type;Cora 5001
Instrument_SN;99119713
Last_SST;3/7/2024 1:00:25 PM +00:00
User_Name;labmanager
Measurement_Started;3/7/2024 2:48:35 PM
Measurement_Finished;3/7/2024 2:49:36 PM
Measurement_Saved;3/7/2024 2:49:36 PM
Wavelength;785
Laser_Power;30
Auto_Exposure;False
Exposure_Time;10000
Averaged_Spectra;3
Probe_Type;Regular Probe (785 nm)
Probe_SN;99101107
Dark_Background;True
User_Background_Spectrum;
Spike_Removal;True
Baseline_Correction;False
Smoothing;False
Normalization;None
[SPECTRUM QUALITY]
Quality_Saturation;False
Quality_SBR;NaN
Quality_Temperature;False
[SPECTRUM]
100.00;9155.34
102.00;8989.62
104.00;8786.41
106.00;8546.92
108.00;8246.92
110.00;7942.53
112.00;7588.78
114.00;7226.18
116.00;6832.74
118.00;6437.23
120.00;6046.99
122.00;5645.35
124.00;5270.66
126.00;4937.75
128.00;4624.86
130.00;4324.43
132.00;4053.67
134.00;3803.19
136.00;3578.03
138.00;3381.20
140.00;3193.96
142.00;3032.55
144.00;2887.32
146.00;2762.05
148.00;2651.29
150.00;2555.99
152.00;2484.02
154.00;2414.74
156.00;2359.51
158.00;2314.21
160.00;2277.20
162.00;2234.33
164.00;2212.05
166.00;2192.66
168.00;2169.88
170.00;2152.76
172.00;2139.44
174.00;2126.44
176.00;2113.46
178.00;2101.37
180.00;2088.69
182.00;2081.08
184.00;2070.22
186.00;2061.86
188.00;2047.87
190.00;2036.49
192.00;2034.84
194.00;2028.45
196.00;2013.79
198.00;2013.68
200.00;2010.32
202.00;2003.18
204.00;2003.19
206.00;1995.39
208.00;2000.58
210.00;2002.79
212.00;1997.74
214.00;2001.47
216.00;2003.02
218.00;2000.28
220.00;1999.85
222.00;1997.77
224.00;1993.96
226.00;1996.82
228.00;1994.56
230.00;1984.34
232.00;1991.03
234.00;1993.94
236.00;1998.92
238.00;2002.22
240.00;2002.31
242.00;2003.51
244.00;1998.75
246.00;1997.39
248.00;2002.57
250.00;2010.33
252.00;2010.69
254.00;2006.89
256.00;2012.74
258.00;2014.81
260.00;2015.86
262.00;2017.79
264.00;2018.17
266.00;2017.40
268.00;2021.16
270.00;2024.60
272.00;2019.35
274.00;2020.20
276.00;2025.19
278.00;2025.34
280.00;2026.08
282.00;2022.65
284.00;2024.11
286.00;2028.12
288.00;2024.95
290.00;2021.84
292.00;2022.94
294.00;2024.49
296.00;2027.45
298.00;2023.65
300.00;2018.03
302.00;2026.07
304.00;2029.97
306.00;2029.89
308.00;2029.05
310.00;2014.98
312.00;2017.41
314.00;2023.61
316.00;2020.84
318.00;2025.12
320.00;2024.71
322.00;2021.57
324.00;2019.83
326.00;2020.95
328.00;2014.14
330.00;2019.83
332.00;2030.49
334.00;2024.54
336.00;2022.00
338.00;2021.47
340.00;2017.95
342.00;2019.30
344.00;2024.79
346.00;2026.82
348.00;2024.01
350.00;2021.81
352.00;2018.80
354.00;2018.75
356.00;2021.03
358.00;2021.35
360.00;2013.35
362.00;2006.75
364.00;2010.17
366.00;2006.50
368.00;2007.44
370.00;2015.31
372.00;2013.15
374.00;2006.51
376.00;2015.17
378.00;2016.11
380.00;2019.49
382.00;2033.71
384.00;2026.46
386.00;2025.57
388.00;2025.15
390.00;2019.57
392.00;2031.20
394.00;2025.52
396.00;2027.03
398.00;2020.74
400.00;2024.28
402.00;2028.78
404.00;2033.57
406.00;2041.15
408.00;2051.68
410.00;2054.26
412.00;2059.04
414.00;2064.22
416.00;2057.02
418.00;2055.42
420.00;2062.47
422.00;2067.82
424.00;2077.24
426.00;2091.79
428.00;2097.04
430.00;2091.66
432.00;2096.85
434.00;2089.83
436.00;2092.40
438.00;2099.43
440.00;2102.75
442.00;2096.76
444.00;2090.54
446.00;2087.49
448.00;2095.28
450.00;2084.79
452.00;2082.87
454.00;2072.12
456.00;2069.59
458.00;2068.96
460.00;2063.65
462.00;2065.00
464.00;2070.68
466.00;2057.31
468.00;2056.33
470.00;2053.92
472.00;2046.31
474.00;2039.51
476.00;2035.19
478.00;2024.90
480.00;2018.56
482.00;2020.12
484.00;2020.87
486.00;2020.92
488.00;2022.27
490.00;2023.77
492.00;2023.38
494.00;2030.66
496.00;2029.41
498.00;2034.36
500.00;2031.02
502.00;2020.48
504.00;2021.22
506.00;2022.04
508.00;2021.96
510.00;2021.71
512.00;2024.20
514.00;2020.64
516.00;2026.61
518.00;2033.80
520.00;2033.30
522.00;2040.65
524.00;2044.24
526.00;2047.04
528.00;2048.58
530.00;2043.55
532.00;2044.21
534.00;2040.83
536.00;2040.38
538.00;2035.83
540.00;2043.62
542.00;2039.89
544.00;2042.15
546.00;2051.05
548.00;2051.13
550.00;2048.90
552.00;2042.70
554.00;2049.88
556.00;2053.48
558.00;2058.05
560.00;2063.88
562.00;2069.04
564.00;2065.97
566.00;2071.33
568.00;2077.98
570.00;2074.71
572.00;2077.33
574.00;2082.37
576.00;2090.99
578.00;2095.88
580.00;2101.16
582.00;2105.98
584.00;2104.52
586.00;2102.42
588.00;2099.58
590.00;2099.31
592.00;2096.14
594.00;2096.21
596.00;2093.94
598.00;2088.19
600.00;2076.99
602.00;2071.74
604.00;2067.09
606.00;2064.19
608.00;2056.15
610.00;2059.21
612.00;2060.15
614.00;2057.20
616.00;2059.66
618.00;2057.66
620.00;2050.10
622.00;2044.88
624.00;2036.85
626.00;2035.70
628.00;2031.99
630.00;2028.36
632.00;2021.32
634.00;2021.56
636.00;2023.70
638.00;2019.32
640.00;2006.06
642.00;2011.12
644.00;2012.41
646.00;2001.69
648.00;1996.36
650.00;1999.21
652.00;2004.80
654.00;2010.90
656.00;2013.34
658.00;2009.98
660.00;2012.46
662.00;2011.98
664.00;2005.88
666.00;2004.70
668.00;2003.44
670.00;2006.46
672.00;2012.01
674.00;2011.97
676.00;2006.28
678.00;2005.19
680.00;1997.66
682.00;1997.29
684.00;2006.13
686.00;2002.05
688.00;2008.98
690.00;2004.23
692.00;1999.29
694.00;2007.41
696.00;2003.46
698.00;2005.12
700.00;2011.66
702.00;2000.53
704.00;1995.93
706.00;1997.71
708.00;1998.21
710.00;1995.02
712.00;1985.70
714.00;1991.78
716.00;1991.38
718.00;1996.95
720.00;1997.14
722.00;1991.60
724.00;1994.07
726.00;1996.54
728.00;1997.78
730.00;1995.63
732.00;1994.86
734.00;1990.42
736.00;1989.82
738.00;1985.33
740.00;1989.21
742.00;1989.21
744.00;1987.09
746.00;1979.95
748.00;1984.09
750.00;1981.50
752.00;1987.64
754.00;1990.49
756.00;1990.30
758.00;1984.80
760.00;1986.12
762.00;1984.45
764.00;1974.46
766.00;1971.43
768.00;1974.57
770.00;1973.23
772.00;1972.54
774.00;1970.81
776.00;1973.25
778.00;1962.81
780.00;1966.81
782.00;1966.12
784.00;1964.55
786.00;1973.67
788.00;1974.31
790.00;1967.91
792.00;1965.73
794.00;1969.45
796.00;1974.11
798.00;1966.20
800.00;1964.45
802.00;1965.07
804.00;1965.97
806.00;1970.52
808.00;1977.61
810.00;1980.74
812.00;1984.13
814.00;1983.80
816.00;1983.11
818.00;1978.71
820.00;1973.03
822.00;1965.92
824.00;1965.64
826.00;1959.83
828.00;1955.37
830.00;1962.29
832.00;1963.43
834.00;1969.64
836.00;1968.70
838.00;1966.11
840.00;1965.21
842.00;1963.55
844.00;1976.12
846.00;1987.18
848.00;2000.25
