AP Cora 5001
Software_Version;1.4.1
[SAMPLE]
Sample_Name;Sample_1_plexiform3
Method;
[PARAMETERS]
Instrument_Type;Cora 5001
Instrument_SN;99119713
Last_SST;3/28/2024 12:19:13 PM +00:00
User_Name;labmanager
Measurement_Started;3/28/2024 3:42:15 PM
Measurement_Finished;3/28/2024 3:43:16 PM
Measurement_Saved;3/28/2024 3:43:16 PM
Wavelength;785
Laser_Power;30
Auto_Exposure;False
Exposure_Time;10000
Averaged_Spectra;3
Probe_Type;Regular Probe (785 nm)
Probe_SN;99101107
Dark_Background;True
User_Background_Spectrum;
Spike_Removal;True
Baseline_Correction;False
Smoothing;False
Normalization;None
[SPECTRUM QUALITY]
Quality_Saturation;False
Quality_SBR;NaN
Quality_Temperature;False
[SPECTRUM]
100.00;6315.79
102.00;6215.47
104.00;6092.80
106.00;5938.06
108.00;5775.94
110.00;5598.95
112.00;5391.26
114.00;5166.23
116.00;4926.75
118.00;4694.29
120.00;4473.94
122.00;4243.91
124.00;4023.85
126.00;3815.10
128.00;3635.17
130.00;3464.37
132.00;3288.81
134.00;3137.47
136.00;3006.27
138.00;2877.51
140.00;2758.55
142.00;2654.45
144.00;2567.75
146.00;2491.22
148.00;2417.88
150.00;2362.82
152.00;2311.83
154.00;2270.25
156.00;2221.07
158.00;2196.43
160.00;2175.39
162.00;2156.21
164.00;2137.40
166.00;2124.28
168.00;2112.27
170.00;2095.02
172.00;2084.40
174.00;2073.05
176.00;2062.65
178.00;2054.33
180.00;2043.02
182.00;2038.15
184.00;2026.89
186.00;2015.21
188.00;2014.89
190.00;2005.52
192.00;1997.99
194.00;1985.17
196.00;1989.55
198.00;1981.84
200.00;1970.43
202.00;1968.78
204.00;1972.09
206.00;1971.99
208.00;1973.80
210.00;1975.53
212.00;1973.73
214.00;1965.91
216.00;1968.36
218.00;1972.71
220.00;1965.34
222.00;1961.90
224.00;1966.85
226.00;1967.62
228.00;1959.78
230.00;1951.51
232.00;1952.01
234.00;1958.32
236.00;1960.45
238.00;1958.81
240.00;1954.21
242.00;1957.92
244.00;1954.71
246.00;1963.62
248.00;1957.99
250.00;1962.01
252.00;1972.19
254.00;1975.51
256.00;1973.69
258.00;1971.99
260.00;1979.15
262.00;1983.58
264.00;1984.01
266.00;1981.43
268.00;1983.28
270.00;1981.85
272.00;1985.44
274.00;1995.22
276.00;1991.54
278.00;1988.05
280.00;1990.18
282.00;1989.62
284.00;1991.89
286.00;1991.93
288.00;1990.48
290.00;1993.20
292.00;1993.28
294.00;1991.57
296.00;1989.54
298.00;1983.42
300.00;1988.58
302.00;1988.85
304.00;1985.47
306.00;1985.80
308.00;1993.01
310.00;1987.62
312.00;1987.37
314.00;1987.39
316.00;1989.39
318.00;1989.31
320.00;1981.10
322.00;1984.84
324.00;1988.33
326.00;1983.77
328.00;1982.23
330.00;1983.89
332.00;1981.83
334.00;1983.07
336.00;1988.75
338.00;1987.57
340.00;1986.92
342.00;1990.84
344.00;1987.09
346.00;1981.59
348.00;1978.84
350.00;1974.61
352.00;1975.18
354.00;1981.35
356.00;1987.10
358.00;1988.61
360.00;1980.12
362.00;1972.83
364.00;1974.95
366.00;1970.02
368.00;1969.00
370.00;1972.61
372.00;1968.11
374.00;1975.58
376.00;1980.60
378.00;1981.78
380.00;1988.63
382.00;1987.01
384.00;1987.31
386.00;1988.36
388.00;1988.87
390.00;1994.81
392.00;1992.06
394.00;1997.64
396.00;1989.32
398.00;1994.91
400.00;2003.12
402.00;1994.37
404.00;1991.61
406.00;2005.37
408.00;2010.38
410.00;2011.89
412.00;2017.79
414.00;2023.90
416.00;2032.10
418.00;2031.91
420.00;2040.77
422.00;2039.28
424.00;2046.93
426.00;2057.28
428.00;2051.86
430.00;2053.50
432.00;2059.56
434.00;2059.53
436.00;2054.50
438.00;2056.21
440.00;2060.01
442.00;2057.51
444.00;2057.16
446.00;2058.56
448.00;2061.40
450.00;2054.18
452.00;2049.04
454.00;2047.43
456.00;2036.86
458.00;2037.73
460.00;2034.69
462.00;2030.80
464.00;2034.61
466.00;2023.41
468.00;2026.13
470.00;2023.04
472.00;2018.21
474.00;2014.39
476.00;2004.64
478.00;1991.38
480.00;1992.63
482.00;1987.23
484.00;1986.82
486.00;1994.01
488.00;1989.09
490.00;1993.63
492.00;1998.44
494.00;1996.79
496.00;1996.53
498.00;1990.64
500.00;1993.07
502.00;1988.91
504.00;1985.71
506.00;1989.33
508.00;1991.40
510.00;1993.03
512.00;1992.11
514.00;2001.21
516.00;1999.48
518.00;2002.43
520.00;2003.77
522.00;2006.69
524.00;2005.43
526.00;2002.09
528.00;2010.87
530.00;2019.12
532.00;2016.79
534.00;2012.40
536.00;2016.61
538.00;2012.57
540.00;2014.10
542.00;2012.27
544.00;2016.46
546.00;2013.00
548.00;2016.62
550.00;2021.16
552.00;2019.76
554.00;2021.85
556.00;2034.24
558.00;2035.33
560.00;2028.19
562.00;2031.19
564.00;2031.34
566.00;2037.72
568.00;2041.63
570.00;2039.69
572.00;2054.65
574.00;2062.47
576.00;2072.00
578.00;2076.81
580.00;2074.13
582.00;2074.21
584.00;2079.33
586.00;2077.37
588.00;2072.76
590.00;2064.31
592.00;2069.49
594.00;2069.54
596.00;2065.73
598.00;2058.44
600.00;2047.56
602.00;2050.05
604.00;2042.93
606.00;2041.05
608.00;2034.18
610.00;2025.12
