AP Cora 5001
Software_Version;1.4.1
[SAMPLE]
Sample_Name;Sample_3_haversian6
Method;
[PARAMETERS]
Instrument_Type;Cora 5001
Instrument_SN;99119713
Last_SST;3/28/2024 12:19:13 PM +00:00
User_Name;labmanager
Measurement_Started;3/28/2024 4:08:03 PM
Measurement_Finished;3/28/2024 4:09:04 PM
Measurement_Saved;3/28/2024 4:09:04 PM
Wavelength;785
Laser_Power;30
Auto_Exposure;False
Exposure_Time;10000
Averaged_Spectra;3
Probe_Type;Regular Probe (785 nm)
Probe_SN;99101107
Dark_Background;True
User_Background_Spectrum;
Spike_Removal;True
Baseline_Correction;False
Smoothing;False
Normalization;None
[SPECTRUM QUALITY]
Quality_Saturation;False
Quality_SBR;NaN
Quality_Temperature;False
[SPECTRUM]
100.00;10220.03
102.00;10044.56
104.00;9836.00
106.00;9607.91
108.00;9329.84
110.00;9004.06
112.00;8649.81
114.00;8265.60
116.00;7894.01
118.00;7515.83
120.00;7136.88
122.00;6747.73
124.00;6391.28
126.00;6041.56
128.00;5718.30
130.00;5413.95
132.00;5151.02
134.00;4912.33
136.00;4689.19
138.00;4490.70
140.00;4309.62
142.00;4148.65
144.00;4009.83
146.00;3903.60
148.00;3811.81
150.00;3724.70
152.00;3650.72
154.00;3599.01
156.00;3548.72
158.00;3507.14
160.00;3476.63
162.00;3457.24
164.00;3439.02
166.00;3416.13
168.00;3399.45
170.00;3389.86
172.00;3381.87
174.00;3373.85
176.00;3360.62
178.00;3352.90
180.00;3346.04
182.00;3330.06
184.00;3316.53
186.00;3307.67
188.00;3305.74
190.00;3292.79
192.00;3276.13
194.00;3261.77
196.00;3256.21
198.00;3255.55
200.00;3239.59
202.00;3245.23
204.00;3243.30
206.00;3241.82
208.00;3242.57
210.00;3249.28
212.00;3245.69
214.00;3241.07
216.00;3242.45
218.00;3244.84
220.00;3233.40
222.00;3226.57
224.00;3230.23
226.00;3225.74
228.00;3230.89
230.00;3231.59
232.00;3222.68
234.00;3223.29
236.00;3217.40
238.00;3221.26
240.00;3230.00
242.00;3230.43
244.00;3230.36
246.00;3218.16
248.00;3225.93
250.00;3229.92
252.00;3233.12
254.00;3226.51
256.00;3228.95
258.00;3239.54
260.00;3245.11
262.00;3238.75
264.00;3240.32
266.00;3244.02
268.00;3243.55
270.00;3247.31
272.00;3241.79
274.00;3237.20
276.00;3244.39
278.00;3244.26
280.00;3243.41
282.00;3245.29
284.00;3240.12
286.00;3237.60
288.00;3239.94
290.00;3237.58
292.00;3229.45
294.00;3231.57
296.00;3228.54
298.00;3219.92
300.00;3216.72
302.00;3213.58
304.00;3212.00
306.00;3218.03
308.00;3226.48
310.00;3217.90
312.00;3210.41
314.00;3213.81
316.00;3205.97
318.00;3195.72
320.00;3197.13
322.00;3200.12
324.00;3205.94
326.00;3202.54
328.00;3207.35
330.00;3204.92
332.00;3199.91
334.00;3195.84
336.00;3191.57
338.00;3198.90
340.00;3199.17
342.00;3191.48
344.00;3193.04
346.00;3188.17
348.00;3181.36
350.00;3186.11
352.00;3194.26
354.00;3193.89
356.00;3187.54
358.00;3181.09
360.00;3176.26
362.00;3168.88
364.00;3160.40
366.00;3159.06
368.00;3157.51
370.00;3155.87
372.00;3145.78
374.00;3150.52
376.00;3148.51
378.00;3150.57
380.00;3152.74
382.00;3157.22
384.00;3160.57
386.00;3154.23
388.00;3153.60
390.00;3143.87
392.00;3144.00
394.00;3142.60
396.00;3140.96
398.00;3139.89
400.00;3137.58
402.00;3140.20
404.00;3136.18
406.00;3136.86
408.00;3151.17
410.00;3146.85
412.00;3144.63
414.00;3153.07
416.00;3148.47
418.00;3144.08
420.00;3155.11
422.00;3163.06
424.00;3155.35
426.00;3163.14
428.00;3169.64
430.00;3168.72
432.00;3166.36
434.00;3160.74
436.00;3153.33
438.00;3156.42
440.00;3162.76
442.00;3152.22
444.00;3152.86
446.00;3151.62
448.00;3141.07
450.00;3143.12
452.00;3132.20
454.00;3116.95
456.00;3117.28
458.00;3116.42
460.00;3119.85
462.00;3111.47
464.00;3104.11
466.00;3099.56
468.00;3101.40
470.00;3094.79
472.00;3075.68
474.00;3071.77
476.00;3066.57
478.00;3061.08
480.00;3049.91
482.00;3047.42
484.00;3057.00
486.00;3048.39
488.00;3049.58
490.00;3056.28
492.00;3063.58
494.00;3054.79
496.00;3058.27
498.00;3056.96
500.00;3049.24
502.00;3043.60
504.00;3033.04
506.00;3032.06
508.00;3031.02
510.00;3028.65
512.00;3028.34
514.00;3029.63
516.00;3027.18
518.00;3033.23
520.00;3034.65
522.00;3036.91
524.00;3046.77
526.00;3051.48
528.00;3045.01
530.00;3037.98
532.00;3039.57
534.00;3032.82
536.00;3027.35
538.00;3019.84
540.00;3022.73
542.00;3028.95
544.00;3020.97
546.00;3026.37
548.00;3018.15
550.00;3019.48
552.00;3017.90
554.00;3018.81
556.00;3016.42
558.00;3017.25
560.00;3015.70
562.00;3014.06
564.00;3016.09
566.00;3016.10
568.00;3024.73
570.00;3024.34
572.00;3020.66
574.00;3028.34
576.00;3031.11
578.00;3032.42
580.00;3034.83
582.00;3031.56
584.00;3031.18
586.00;3033.33
588.00;3018.96
590.00;3013.92
592.00;3011.25
594.00;3011.18
596.00;3009.03
598.00;3001.14
600.00;2991.99
602.00;2988.77
604.00;2976.96
606.00;2969.02
608.00;2964.20
610.00;2973.69
612.00;2969.76
614.00;2954.12
616.00;2950.18
618.00;2950.75
620.00;2947.76
622.00;2950.93
624.00;2936.96
626.00;2932.53
628.00;2924.42
630.00;2921.08
632.00;2910.96
634.00;2908.73
636.00;2907.92
638.00;2900.30
640.00;2891.31
642.00;2880.53
644.00;2881.82
646.00;2880.94
648.00;2867.34
650.00;2863.94
652.00;2872.02
654.00;2865.15
656.00;2865.32
658.00;2869.24
660.00;2870.98
662.00;2867.34
664.00;2846.56
666.00;2853.06
668.00;2854.53
670.00;2859.82
672.00;2858.40
674.00;2850.41
676.00;2844.27
678.00;2830.64
680.00;2824.97
682.00;2831.85
684.00;2831.33
686.00;2829.39
688.00;2831.59
690.00;2826.34
692.00;2828.74
694.00;2828.69
696.00;2826.82
698.00;2829.61
700.00;2822.14
702.00;2810.70
704.00;2811.29
706.00;2811.04
708.00;2800.84
710.00;2795.81
712.00;2787.74
714.00;2788.63
716.00;2782.35
718.00;2782.74
720.00;2783.40
722.00;2787.11
724.00;2777.82
726.00;2773.48
728.00;2784.63
730.00;2783.37
732.00;2768.05
734.00;2767.79
736.00;2769.80
738.00;2757.53
740.00;2761.68
742.00;2758.20
744.00;2754.31
746.00;2745.35
748.00;2743.69
750.00;2739.89
752.00;2731.92
754.00;2736.99
756.00;2737.16
758.00;2728.18
760.00;2723.83
762.00;2730.68
764.00;2728.61
766.00;2723.29
768.00;2723.10
770.00;2713.93
772.00;2704.33
774.00;2700.25
776.00;2698.00
778.00;2695.35
780.00;2690.21
782.00;2683.89
784.00;2681.07
786.00;2681.71
788.00;2682.34
790.00;2686.17
792.00;2682.06
794.00;2682.21
796.00;2674.13
798.00;2673.40
800.00;2671.72
802.00;2676.10
804.00;2684.09
806.00;2679.83
808.00;2687.66
810.00;2680.98
812.00;2684.49
814.00;2682.06
816.00;2681.25
818.00;2679.10
820.00;2671.10
822.00;2665.78
824.00;2656.48
826.00;2646.61
828.00;2644.80
830.00;2653.75
832.00;2652.33
834.00;2650.15
836.00;2649.55
838.00;2638.63
840.00;2633.77
842.00;2636.30
844.00;2646.92
846.00;2667.32
848.00;2674.49
850.00;2670.58
852.00;2655.02
854.00;2644.93
856.00;2651.34
858.00;2641.77
860.00;2632.52
862.00;2637.82
864.00;2634.65
866.00;2628.88
868.00;2630.23
870.00;2632.33
872.00;2632.40
874.00;2620.92
876.00;2622.96
878.00;2628.86
880.00;2621.06
882.00;2613.83
884.00;2614.30
886.00;2608.69
888.00;2607.55
890.00;2603.24
892.00;2602.13
894.00;2612.28
896.00;2606.88
898.00;2602.07
900.00;2600.36
902.00;2596.46
904.00;2582.20
906.00;2577.79
908.00;2580.17
910.00;2578.97
912.00;2590.53
914.00;2589.97
916.00;2601.16
918.00;2602.57
