AP Cora 5001
Software_Version;1.4.1
[SAMPLE]
Sample_Name;pmma
Method;
[PARAMETERS]
Instrument_Type;Cora 5001
Instrument_SN;99119713
Last_SST;3/28/2024 12:19:13 PM +00:00
User_Name;labmanager
Measurement_Started;3/28/2024 3:01:18 PM
Measurement_Finished;3/28/2024 3:01:39 PM
Measurement_Saved;3/28/2024 3:01:39 PM
Wavelength;785
Laser_Power;50
Auto_Exposure;False
Exposure_Time;10000
Averaged_Spectra;1
Probe_Type;Regular Probe (785 nm)
Probe_SN;99101107
Dark_Background;True
User_Background_Spectrum;
Spike_Removal;False
Baseline_Correction;True
Smoothing;False
Normalization;None
[SPECTRUM QUALITY]
Quality_Saturation;False
Quality_SBR;0.56
Quality_Temperature;False
[SPECTRUM]
100.00;8608.68
102.00;8290.79
104.00;7965.86
106.00;7577.67
108.00;7136.54
110.00;6701.51
112.00;6229.47
114.00;5712.12
116.00;5213.16
118.00;4727.11
120.00;4252.96
122.00;3815.09
124.00;3400.10
126.00;3010.02
128.00;2639.24
130.00;2311.38
132.00;2014.34
134.00;1754.23
136.00;1507.76
138.00;1286.49
140.00;1109.55
142.00;946.21
144.00;806.18
146.00;687.47
148.00;590.14
150.00;507.22
152.00;434.52
154.00;373.82
156.00;317.36
158.00;273.74
160.00;228.00
162.00;193.11
164.00;158.42
166.00;141.40
168.00;119.13
170.00;100.91
172.00;92.00
174.00;74.95
176.00;61.62
178.00;53.80
180.00;48.75
182.00;41.47
184.00;30.35
186.00;26.58
188.00;19.99
190.00;18.09
192.00;8.81
194.00;13.51
196.00;5.66
198.00;4.22
200.00;1.99
202.00;2.12
204.00;4.87
206.00;-1.81
208.00;3.04
210.00;-1.60
212.00;-6.42
214.00;-2.69
216.00;-1.49
218.00;-1.77
220.00;-0.84
222.00;-6.71
224.00;-6.76
226.00;0.14
228.00;-5.42
230.00;-5.35
232.00;1.23
234.00;-0.28
236.00;2.22
238.00;2.18
240.00;-4.65
242.00;-5.26
244.00;-3.10
246.00;-10.73
248.00;-1.02
250.00;-5.08
252.00;-9.92
254.00;-6.54
256.00;-10.14
258.00;-15.02
260.00;-12.89
262.00;-12.34
264.00;-10.95
266.00;-8.01
268.00;-5.68
270.00;-2.38
272.00;-4.94
274.00;-4.65
276.00;1.62
278.00;5.03
280.00;8.92
282.00;12.14
284.00;17.04
286.00;19.61
288.00;22.56
290.00;31.50
292.00;26.35
294.00;24.43
296.00;29.80
298.00;31.63
300.00;32.20
302.00;30.51
304.00;32.47
306.00;26.94
308.00;25.27
310.00;14.41
312.00;12.07
314.00;10.70
316.00;2.90
318.00;6.17
320.00;3.29
322.00;-2.15
