AP Cora 5001
Software_Version;1.4.1
[SAMPLE]
Sample_Name;rubber
Method;
[PARAMETERS]
Instrument_Type;Cora 5001
Instrument_SN;99119713
Last_SST;3/28/2024 12:19:13 PM +00:00
User_Name;labmanager
Measurement_Started;3/28/2024 4:36:31 PM
Measurement_Finished;3/28/2024 4:37:32 PM
Measurement_Saved;3/28/2024 4:37:32 PM
Wavelength;785
Laser_Power;10
Auto_Exposure;False
Exposure_Time;10000
Averaged_Spectra;3
Probe_Type;Regular Probe (785 nm)
Probe_SN;99101107
Dark_Background;True
User_Background_Spectrum;
Spike_Removal;True
Baseline_Correction;False
Smoothing;False
Normalization;None
[SPECTRUM QUALITY]
Quality_Saturation;False
Quality_SBR;NaN
Quality_Temperature;False
[SPECTRUM]
100.00;7784.76
102.00;7503.19
104.00;7217.83
106.00;6936.68
108.00;6620.61
110.00;6290.41
112.00;5939.55
114.00;5581.17
116.00;5197.22
118.00;4808.74
120.00;4456.73
122.00;4099.15
124.00;3755.73
126.00;3451.00
128.00;3149.03
130.00;2878.98
132.00;2634.39
134.00;2411.76
136.00;2209.76
138.00;2028.72
140.00;1877.15
142.00;1738.95
144.00;1616.34
146.00;1513.52
148.00;1418.79
150.00;1331.54
152.00;1266.79
154.00;1207.44
156.00;1142.39
158.00;1090.67
160.00;1037.02
162.00;994.05
164.00;960.00
166.00;929.54
168.00;895.94
170.00;864.33
172.00;837.70
174.00;813.80
176.00;793.41
178.00;771.47
180.00;752.95
182.00;737.29
184.00;716.86
186.00;703.00
188.00;688.59
190.00;671.00
192.00;662.26
194.00;653.06
196.00;635.59
198.00;627.85
200.00;614.18
202.00;607.76
204.00;605.18
206.00;605.85
208.00;602.13
210.00;595.29
212.00;592.30
214.00;589.56
216.00;589.66
218.00;593.94
220.00;589.90
222.00;589.41
224.00;586.83
226.00;581.42
228.00;585.42
230.00;583.59
232.00;582.97
234.00;579.86
236.00;584.51
238.00;589.71
240.00;587.77
242.00;590.14
244.00;590.06
246.00;591.09
248.00;599.69
250.00;604.36
252.00;614.03
254.00;626.87
256.00;635.56
258.00;647.45
260.00;660.63
262.00;673.00
264.00;689.94
266.00;714.24
268.00;736.08
270.00;753.35
272.00;784.50
274.00;815.90
276.00;840.56
278.00;856.99
280.00;868.31
282.00;876.10
284.00;864.82
286.00;849.22
288.00;828.64
290.00;804.85
292.00;778.71
294.00;757.17
296.00;735.45
298.00;716.83
300.00;702.71
302.00;683.95
304.00;676.28
306.00;659.71
308.00;644.80
310.00;632.37
312.00;616.52
314.00;595.14
316.00;584.46
318.00;573.22
