AP Cora 5001
Software_Version;1.4.1
[SAMPLE]
Sample_Name;Sample2_plexi_10
Method;
[PARAMETERS]
Instrument_Type;Cora 5001
Instrument_SN;99119713
Last_SST;4/23/2024 1:36:37 PM +00:00
User_Name;labmanager
Measurement_Started;4/25/2024 2:58:47 PM
Measurement_Finished;4/25/2024 2:59:48 PM
Measurement_Saved;4/25/2024 2:59:48 PM
Wavelength;785
Laser_Power;30
Auto_Exposure;False
Exposure_Time;10000
Averaged_Spectra;3
Probe_Type;Regular Probe (785 nm)
Probe_SN;99101107
Dark_Background;True
User_Background_Spectrum;
Spike_Removal;True
Baseline_Correction;False
Smoothing;False
Normalization;None
[SPECTRUM QUALITY]
Quality_Saturation;False
Quality_SBR;NaN
Quality_Temperature;False
[SPECTRUM]
100.00;3998.52
102.00;3884.75
104.00;3774.94
106.00;3651.79
108.00;3516.94
110.00;3387.04
112.00;3249.17
114.00;3087.76
116.00;2930.00
118.00;2777.28
120.00;2634.33
122.00;2483.80
124.00;2343.51
126.00;2227.20
128.00;2123.31
130.00;2018.38
132.00;1926.83
134.00;1846.82
136.00;1771.61
138.00;1711.63
140.00;1666.22
142.00;1620.61
144.00;1576.90
146.00;1550.32
148.00;1523.48
150.00;1497.91
152.00;1484.05
154.00;1470.85
156.00;1459.98
158.00;1443.14
160.00;1438.73
162.00;1430.21
164.00;1415.48
166.00;1406.15
168.00;1405.02
170.00;1405.70
172.00;1397.61
174.00;1385.00
176.00;1378.85
178.00;1373.73
180.00;1365.67
182.00;1355.52
184.00;1348.11
186.00;1343.77
188.00;1331.30
190.00;1327.51
192.00;1323.17
194.00;1310.97
196.00;1310.31
198.00;1308.50
200.00;1293.21
202.00;1291.03
204.00;1294.67
206.00;1292.39
208.00;1291.64
210.00;1290.28
212.00;1286.02
214.00;1281.90
216.00;1282.01
218.00;1281.36
220.00;1274.72
222.00;1270.66
224.00;1271.13
226.00;1268.72
228.00;1263.83
230.00;1266.60
232.00;1269.70
234.00;1260.55
236.00;1261.68
238.00;1255.35
240.00;1258.22
242.00;1259.53
244.00;1255.46
246.00;1258.33
248.00;1256.65
250.00;1255.69
252.00;1257.05
254.00;1262.75
256.00;1264.12
258.00;1262.73
260.00;1261.07
262.00;1263.48
264.00;1266.65
266.00;1268.75
268.00;1267.20
270.00;1271.31
272.00;1273.53
274.00;1266.59
276.00;1268.64
278.00;1268.84
280.00;1267.36
282.00;1271.76
284.00;1267.00
286.00;1267.38
288.00;1269.14
290.00;1266.80
292.00;1269.72
294.00;1273.85
296.00;1262.18
298.00;1262.23
300.00;1265.45
302.00;1267.30
304.00;1263.25
306.00;1268.72
308.00;1268.11
310.00;1263.68
312.00;1262.52
314.00;1257.13
316.00;1257.23
318.00;1253.88
320.00;1254.67
322.00;1253.16
324.00;1259.41
326.00;1262.22
328.00;1260.44
330.00;1254.33
332.00;1247.91
334.00;1250.56
336.00;1251.56
338.00;1252.24
340.00;1252.87
342.00;1245.00
344.00;1246.93
346.00;1246.23
348.00;1241.87
350.00;1245.89
352.00;1245.65
354.00;1244.74
356.00;1240.63
358.00;1237.25
360.00;1235.83
362.00;1232.63
364.00;1233.29
366.00;1231.52
368.00;1226.13
370.00;1231.39
372.00;1232.90
374.00;1232.41
376.00;1235.44
378.00;1234.30
380.00;1229.98
382.00;1234.84
384.00;1236.83
386.00;1241.23
388.00;1244.22
390.00;1247.03
392.00;1247.58
394.00;1243.29
396.00;1238.92
398.00;1237.63
400.00;1241.69
402.00;1246.07
404.00;1245.34
406.00;1249.00
408.00;1247.49
410.00;1251.87
412.00;1255.09
414.00;1252.78
416.00;1256.54
418.00;1255.23
420.00;1259.32
422.00;1266.50
424.00;1268.66
426.00;1270.83
428.00;1275.11
430.00;1274.29
432.00;1274.14
434.00;1268.49
436.00;1266.74
438.00;1262.86
440.00;1268.83
442.00;1263.74
444.00;1264.67
446.00;1259.00
448.00;1249.81
450.00;1257.01
452.00;1254.90
454.00;1250.75
456.00;1246.34
458.00;1249.42
460.00;1246.39
462.00;1241.26
464.00;1241.09
466.00;1243.15
468.00;1238.73
470.00;1237.01
472.00;1234.50
474.00;1228.80
476.00;1232.05
478.00;1221.14
480.00;1217.98
482.00;1220.99
484.00;1218.26
486.00;1220.99
488.00;1217.73
490.00;1223.51
492.00;1220.85
494.00;1220.73
496.00;1226.25
498.00;1226.84
500.00;1222.14
502.00;1220.94
504.00;1219.93
506.00;1220.11
508.00;1225.06
510.00;1219.78
512.00;1218.34
514.00;1222.76
516.00;1225.59
518.00;1227.13
520.00;1222.61
522.00;1229.74
524.00;1228.06
526.00;1231.50
528.00;1228.67
530.00;1234.24
532.00;1234.19
534.00;1229.24
536.00;1226.91
538.00;1229.93
540.00;1227.07
542.00;1228.95
544.00;1231.54
546.00;1236.12
548.00;1235.95
550.00;1233.79
552.00;1234.46
554.00;1235.08
556.00;1239.45
558.00;1243.54
560.00;1246.77
562.00;1249.84
564.00;1246.67
566.00;1246.84
568.00;1254.19
570.00;1250.52
572.00;1251.30
574.00;1253.37
576.00;1257.02
578.00;1256.73
580.00;1256.80
582.00;1258.91
584.00;1258.53
586.00;1269.26
588.00;1269.52
590.00;1265.71
592.00;1259.95
594.00;1260.38
596.00;1252.69
598.00;1248.69
600.00;1245.01
602.00;1248.01
604.00;1240.34
606.00;1243.13
608.00;1239.61
610.00;1234.12
612.00;1233.94
614.00;1233.00
616.00;1229.29
618.00;1231.26
620.00;1228.52
622.00;1228.52
624.00;1224.38
626.00;1226.12
628.00;1220.92
630.00;1218.09
632.00;1216.36
634.00;1212.43
636.00;1213.82
638.00;1211.12
640.00;1214.13
642.00;1213.40
644.00;1211.25
646.00;1207.79
648.00;1209.78
650.00;1207.18
652.00;1204.20
654.00;1206.22
656.00;1212.76
658.00;1210.30
660.00;1207.58
662.00;1209.16
664.00;1207.27
666.00;1204.05
668.00;1202.46
670.00;1207.07
672.00;1210.63
674.00;1206.79
676.00;1204.25
678.00;1203.97
680.00;1205.60
682.00;1202.04
684.00;1205.58
686.00;1205.08
688.00;1205.90
690.00;1208.21
692.00;1203.43
694.00;1209.84
696.00;1207.24
698.00;1207.45
700.00;1208.52
702.00;1206.82
704.00;1204.31
706.00;1207.79
708.00;1210.78
710.00;1204.62
712.00;1199.81
714.00;1203.53
716.00;1206.99
718.00;1211.81
720.00;1203.52
722.00;1204.70
724.00;1208.71
726.00;1207.61
728.00;1204.83
730.00;1208.62
732.00;1210.02
734.00;1207.47
736.00;1203.11
738.00;1203.26
740.00;1209.48
742.00;1205.51
744.00;1203.21
746.00;1199.96
748.00;1199.02
750.00;1203.53
752.00;1205.21
754.00;1206.40
756.00;1206.56
758.00;1204.55
760.00;1205.10
762.00;1200.64
764.00;1200.64
766.00;1202.32
768.00;1199.13
770.00;1200.64
772.00;1197.81
774.00;1201.12
776.00;1200.40
778.00;1197.61
780.00;1200.34
782.00;1192.76
784.00;1193.46
786.00;1197.35
788.00;1196.32
790.00;1195.59
792.00;1198.84
794.00;1193.60
796.00;1188.80
798.00;1192.01
800.00;1189.84
802.00;1192.13
804.00;1194.01
806.00;1200.48
808.00;1201.16
810.00;1202.58
812.00;1211.90
814.00;1216.93
816.00;1213.27
818.00;1214.92
820.00;1211.85
822.00;1207.28
824.00;1202.40
826.00;1196.35
828.00;1193.76
830.00;1197.56
832.00;1201.25
834.00;1195.76
836.00;1196.69
838.00;1197.39
840.00;1204.84
842.00;1206.36
844.00;1208.37
846.00;1224.32
848.00;1235.88
850.00;1240.05
852.00;1239.09
854.00;1239.83
856.00;1242.50
858.00;1231.36
860.00;1237.77
862.00;1232.65
864.00;1229.39
866.00;1230.98
868.00;1230.36
870.00;1229.39
872.00;1225.52
874.00;1227.65
876.00;1228.20
878.00;1228.39
880.00;1227.00
882.00;1219.99
884.00;1214.61
886.00;1217.38
888.00;1212.72
890.00;1213.05
892.00;1209.23
894.00;1202.05
896.00;1210.87
898.00;1212.66
900.00;1206.98
902.00;1205.30
904.00;1201.29
906.00;1204.88
908.00;1206.24
910.00;1214.87
912.00;1216.31
914.00;1223.66
916.00;1225.56
918.00;1232.71
920.00;1235.12
922.00;1233.75
924.00;1234.08
926.00;1231.48
928.00;1230.62
930.00;1232.68
932.00;1241.20
934.00;1243.73
936.00;1253.64
938.00;1257.77
940.00;1268.41
942.00;1279.81
944.00;1287.16
946.00;1301.06
948.00;1325.12
950.00;1361.56
952.00;1396.55
954.00;1431.30
956.00;1463.81
958.00;1483.74
960.00;1490.23
962.00;1480.35
964.00;1458.63
966.00;1415.73
968.00;1372.79
970.00;1330.34
972.00;1290.28
974.00;1266.25
976.00;1241.62
978.00;1215.90
980.00;1204.37
982.00;1196.90
984.00;1185.56
986.00;1178.21
988.00;1182.37
990.00;1178.86
992.00;1180.25
994.00;1176.16
996.00;1178.04
998.00;1185.82
1000.00;1190.17
1002.00;1196.23
1004.00;1197.56
1006.00;1195.15
1008.00;1192.65
1010.00;1186.73
1012.00;1183.60
1014.00;1182.79
1016.00;1184.86
1018.00;1182.08
1020.00;1188.50
1022.00;1189.10
1024.00;1188.38
1026.00;1190.88
1028.00;1193.62
1030.00;1191.34
1032.00;1198.33
1034.00;1202.14
1036.00;1200.22
1038.00;1195.14
1040.00;1197.06
1042.00;1203.01
1044.00;1197.57
1046.00;1196.91
1048.00;1197.26
1050.00;1199.99
1052.00;1197.68
1054.00;1193.64
1056.00;1195.72
1058.00;1195.43
1060.00;1193.66
1062.00;1198.79
1064.00;1207.64
1066.00;1214.90
1068.00;1212.99
1070.00;1214.03
1072.00;1211.55
1074.00;1216.50
1076.00;1213.70
1078.00;1199.86
1080.00;1199.41
1082.00;1188.25
1084.00;1183.78
1086.00;1178.83
1088.00;1177.74
1090.00;1172.34
1092.00;1176.67
1094.00;1172.55
1096.00;1166.21
1098.00;1166.01
1100.00;1163.27
1102.00;1168.47
1104.00;1163.10
1106.00;1158.16
1108.00;1153.94
1110.00;1150.42
1112.00;1143.26
1114.00;1135.88
1116.00;1131.68
1118.00;1136.42
1120.00;1132.43
1122.00;1134.70
1124.00;1130.58
1126.00;1129.72
1128.00;1132.17
1130.00;1125.92
1132.00;1129.04
1134.00;1125.33
1136.00;1126.86
1138.00;1123.25
1140.00;1121.27
1142.00;1115.54
1144.00;1121.12
1146.00;1122.74
1148.00;1120.53
1150.00;1121.06
1152.00;1120.65
1154.00;1125.45
1156.00;1134.63
1158.00;1132.81
1160.00;1131.56
1162.00;1135.90
1164.00;1128.11
1166.00;1133.56
1168.00;1132.25
1170.00;1126.90
1172.00;1125.88
1174.00;1138.20
1176.00;1137.66
1178.00;1132.78
1180.00;1133.21
1182.00;1136.30
1184.00;1135.46
