AP Cora 5001
Software_Version;1.4.1
[SAMPLE]
Sample_Name;Polystyrene
Method;
[PARAMETERS]
Instrument_Type;Cora 5001
Instrument_SN;99119713
Last_SST;4/23/2024 1:36:37 PM +00:00
User_Name;labmanager
Measurement_Started;4/25/2024 1:40:45 PM
Measurement_Finished;4/25/2024 1:41:04 PM
Measurement_Saved;4/25/2024 1:41:04 PM
Wavelength;785
Laser_Power;10
Auto_Exposure;False
Exposure_Time;3000
Averaged_Spectra;3
Probe_Type;Regular Probe (785 nm)
Probe_SN;99101107
Dark_Background;True
User_Background_Spectrum;
Spike_Removal;True
Baseline_Correction;False
Smoothing;False
Normalization;None
[SPECTRUM QUALITY]
Quality_Saturation;False
Quality_SBR;NaN
Quality_Temperature;False
[SPECTRUM]
100.00;876.72
102.00;903.67
104.00;925.72
106.00;946.30
108.00;964.04
110.00;977.43
112.00;980.02
114.00;981.27
116.00;977.96
118.00;968.98
120.00;959.15
122.00;943.54
124.00;932.48
126.00;912.37
128.00;890.24
130.00;873.76
132.00;848.24
134.00;817.78
136.00;793.99
138.00;768.80
140.00;741.76
142.00;718.85
144.00;695.20
146.00;671.24
148.00;648.00
150.00;626.40
152.00;606.19
154.00;588.52
156.00;570.60
158.00;556.84
160.00;543.47
162.00;524.94
164.00;509.94
166.00;503.31
168.00;487.24
170.00;475.61
172.00;461.91
174.00;446.61
176.00;440.31
178.00;430.05
180.00;419.72
182.00;412.20
184.00;401.95
186.00;393.83
188.00;389.87
190.00;385.15
192.00;380.90
194.00;380.03
196.00;375.89
198.00;371.72
200.00;369.91
202.00;364.82
204.00;363.91
206.00;369.38
208.00;374.90
210.00;374.36
212.00;376.75
214.00;375.82
216.00;376.35
218.00;377.13
220.00;372.38
222.00;370.62
224.00;365.57
226.00;359.92
228.00;353.10
230.00;339.46
232.00;329.95
234.00;312.70
236.00;298.99
238.00;283.40
240.00;270.67
242.00;256.07
244.00;236.22
246.00;224.61
248.00;210.70
250.00;194.15
252.00;183.06
254.00;172.66
256.00;161.42
258.00;151.61
260.00;141.87
262.00;135.67
264.00;130.17
266.00;120.99
268.00;114.27
270.00;111.02
272.00;106.05
274.00;98.32
276.00;92.29
278.00;91.80
280.00;88.79
282.00;84.45
284.00;84.61
286.00;82.21
288.00;78.13
290.00;73.74
292.00;72.69
294.00;69.91
296.00;69.75
298.00;66.88
300.00;64.68
302.00;63.76
304.00;63.45
306.00;58.93
308.00;58.52
310.00;59.26
312.00;57.85
314.00;57.14
316.00;56.64
318.00;55.51
320.00;53.55
322.00;55.01
324.00;56.32
326.00;54.56
328.00;54.26
330.00;54.69
332.00;55.44
334.00;54.51
336.00;55.70
338.00;56.82
340.00;54.49
342.00;52.57
344.00;51.33
346.00;50.59
348.00;51.06
350.00;53.19
352.00;51.81
354.00;49.93
356.00;54.06
358.00;52.60
360.00;50.24
362.00;52.31
364.00;49.74
366.00;50.81
368.00;51.36
370.00;51.90
372.00;55.56
374.00;55.86
376.00;56.72
378.00;58.92
380.00;59.36
382.00;63.72
384.00;63.77
386.00;67.41
388.00;70.06
390.00;73.17
392.00;75.35
394.00;76.53
396.00;79.35
398.00;82.05
400.00;84.74
402.00;84.45
404.00;88.20
406.00;90.45
408.00;87.69
410.00;90.66
412.00;88.33
414.00;85.26
416.00;80.87
418.00;81.44
420.00;79.48
422.00;73.61
424.00;69.78
426.00;68.56
428.00;65.37
430.00;63.06
432.00;61.69
434.00;57.80
436.00;57.04
438.00;55.44
440.00;51.28
442.00;52.90
444.00;51.24
446.00;47.59
448.00;46.85
450.00;46.35
452.00;42.59
454.00;38.89
456.00;38.70
458.00;37.49
460.00;36.96
462.00;35.24
464.00;33.52
466.00;31.67
468.00;32.04
470.00;31.42
472.00;30.95
474.00;27.88
476.00;27.69
478.00;27.84
480.00;27.54
482.00;25.29
484.00;27.27
486.00;27.79
488.00;25.59
490.00;25.26
492.00;25.58
494.00;25.36
496.00;25.27
498.00;26.11
500.00;23.68
502.00;24.28
504.00;26.73
506.00;25.84
508.00;27.70
510.00;30.78
512.00;29.61
514.00;28.33
516.00;27.71
518.00;29.05
520.00;31.01
522.00;35.07
524.00;34.45
526.00;35.66
528.00;38.22
530.00;38.81
532.00;42.74
534.00;43.85
536.00;47.12
538.00;47.97
540.00;48.95
542.00;49.99
544.00;49.19
546.00;48.37
548.00;49.57
550.00;48.91
552.00;49.33
554.00;46.15
556.00;47.09
558.00;46.54
560.00;47.57
562.00;47.50
564.00;47.81
566.00;46.50
568.00;45.12
570.00;42.92
572.00;43.59
574.00;40.83
576.00;43.04
578.00;41.68
580.00;37.88
582.00;38.42
584.00;37.23
586.00;39.35
588.00;38.78
590.00;35.86
592.00;34.47
594.00;37.21
596.00;36.98
598.00;38.59
600.00;38.98
602.00;38.29
604.00;42.66
606.00;49.01
608.00;52.84
610.00;62.82
612.00;76.39
614.00;98.12
616.00;140.85
618.00;195.31
620.00;234.58
622.00;234.16
624.00;195.14
626.00;152.81
628.00;121.28
630.00;104.18
632.00;89.22
634.00;74.45
636.00;65.78
638.00;55.06
640.00;50.53
642.00;42.47
644.00;41.20
646.00;36.53
648.00;32.14
650.00;30.50
652.00;26.71
654.00;25.05
656.00;26.77
658.00;25.26
660.00;21.85
662.00;23.05
664.00;22.08
666.00;22.42
668.00;21.78
670.00;19.63
672.00;18.01
674.00;19.18
676.00;21.37
678.00;19.71
680.00;19.62
682.00;18.86
684.00;20.80
686.00;21.11
688.00;20.46
690.00;18.87
692.00;19.57
694.00;25.21
696.00;25.61
698.00;27.99
700.00;30.46
702.00;35.25
704.00;35.55
706.00;33.46
708.00;36.20
710.00;34.93
712.00;35.37
714.00;32.06
716.00;33.83
718.00;35.67
720.00;32.89
722.00;35.84
724.00;35.63
726.00;35.98
728.00;38.55
730.00;42.26
732.00;47.40
734.00;53.23
736.00;67.59
738.00;70.82
740.00;81.40
742.00;88.72
744.00;94.78
746.00;99.32
748.00;110.20
750.00;115.07
752.00;120.59
754.00;127.88
756.00;135.67
758.00;135.56
760.00;139.64
762.00;137.97
764.00;135.66
766.00;137.07
768.00;134.68
770.00;124.42
772.00;125.26
774.00;120.72
776.00;122.58
778.00;127.97
780.00;136.25
782.00;147.88
784.00;162.39
786.00;182.19
788.00;199.59
790.00;216.66
792.00;231.51
794.00;236.08
796.00;241.50
798.00;231.53
800.00;217.35
802.00;196.99
804.00;175.42
806.00;156.41
808.00;137.95
810.00;124.06
812.00;113.42
814.00;99.97
816.00;93.08
818.00;83.95
820.00;72.25
822.00;68.10
824.00;67.21
826.00;62.18
828.00;60.13
830.00;63.73
832.00;66.17
834.00;69.12
836.00;74.33
838.00;79.11
840.00;82.43
842.00;83.16
844.00;82.03
846.00;77.97
848.00;71.26
850.00;70.34
852.00;63.36
854.00;62.84
856.00;62.08
858.00;61.32
860.00;63.53
862.00;61.47
864.00;59.87
866.00;61.88
868.00;59.90
870.00;61.39
872.00;59.13
874.00;59.17
876.00;60.07
878.00;57.49
880.00;55.21
882.00;58.46
884.00;59.38
886.00;58.07
888.00;58.91
890.00;57.86
892.00;62.38
894.00;63.48
896.00;65.76
898.00;70.77
900.00;76.74
902.00;77.45
904.00;80.05
906.00;77.21
908.00;77.59
910.00;75.43
912.00;65.72
914.00;61.38
916.00;56.39
918.00;54.85
920.00;52.43
922.00;51.98
924.00;47.85
926.00;43.23
928.00;41.78
930.00;44.29
932.00;41.99
934.00;44.49
936.00;48.92
938.00;48.28
940.00;49.53
942.00;51.54
944.00;51.43
946.00;54.53
948.00;54.23
950.00;54.13
952.00;55.51
954.00;56.35
956.00;60.26
958.00;62.69
960.00;67.93
962.00;70.38
964.00;78.62
966.00;82.41
968.00;84.85
970.00;88.40
972.00;92.39
974.00;101.25
976.00;111.38
978.00;121.71
980.00;140.18
982.00;164.77
984.00;197.41
986.00;240.63
988.00;294.28
990.00;364.71
992.00;474.79
994.00;677.32
996.00;1053.06
998.00;1543.07
1000.00;1967.26
1002.00;2058.15
1004.00;1740.99
1006.00;1221.44
1008.00;769.62
1010.00;484.45
1012.00;326.80
1014.00;246.37
1016.00;220.75
1018.00;208.74
1020.00;212.29
1022.00;250.24
1024.00;325.12
1026.00;418.98
1028.00;518.22
1030.00;594.23
1032.00;604.04
1034.00;553.02
1036.00;457.73
1038.00;363.93
1040.00;285.73
1042.00;229.28
1044.00;187.13
1046.00;164.39
1048.00;147.70
1050.00;139.54
1052.00;130.35
1054.00;125.67
1056.00;123.13
1058.00;124.65
1060.00;122.94
1062.00;127.77
1064.00;129.06
1066.00;130.42
1068.00;136.17
1070.00;133.81
1072.00;136.10
1074.00;135.49
1076.00;130.69
1078.00;126.48
1080.00;122.16
1082.00;123.87
1084.00;118.43
1086.00;118.92
1088.00;120.00
1090.00;118.30
1092.00;113.55
1094.00;119.03
1096.00;117.02
1098.00;112.01
1100.00;107.26
1102.00;98.78
1104.00;95.77
1106.00;84.57
1108.00;80.17
1110.00;69.34
1112.00;69.29
1114.00;60.62
1116.00;58.53
1118.00;52.93
1120.00;48.60
1122.00;45.21
1124.00;44.77
1126.00;40.71
1128.00;40.90
1130.00;42.33
1132.00;40.35
1134.00;48.52
1136.00;51.09
1138.00;56.94
1140.00;64.53
1142.00;74.33
1144.00;87.85
1146.00;106.47
1148.00;138.45
1150.00;178.15
1152.00;221.60
1154.00;253.99
1156.00;264.98
1158.00;246.76
1160.00;218.91
1162.00;187.82
1164.00;172.93
1166.00;160.49
1168.00;164.13
1170.00;171.10
1172.00;189.64
1174.00;217.20
1176.00;259.87
1178.00;311.10
1180.00;354.51
1182.00;378.75
1184.00;377.29
1186.00;365.84
1188.00;351.03
1190.00;344.76
1192.00;353.01
1194.00;365.31
1196.00;375.48
1198.00;378.15
1200.00;380.10
1202.00;368.70
1204.00;341.91
1206.00;310.16
1208.00;279.23
1210.00;248.06
1212.00;214.58
1214.00;188.59
1216.00;169.30
1218.00;162.45
1220.00;146.83
1222.00;141.09
1224.00;138.31
1226.00;130.31
1228.00;131.03
1230.00;124.67
1232.00;117.29
1234.00;110.32
1236.00;104.23
1238.00;100.97
1240.00;91.67
1242.00;90.67
1244.00;81.97
1246.00;82.69
1248.00;78.47
1250.00;75.33
1252.00;69.92
1254.00;74.10
1256.00;71.01
1258.00;66.67
1260.00;65.91
1262.00;65.12
1264.00;63.61
1266.00;63.41
1268.00;62.15
1270.00;62.41
1272.00;58.93
1274.00;64.39
1276.00;63.25
1278.00;65.12
1280.00;65.77
1282.00;63.17
1284.00;66.70
1286.00;65.80
1288.00;72.97
1290.00;74.62
1292.00;79.49
1294.00;79.21
1296.00;89.92
1298.00;88.67
1300.00;94.49
1302.00;98.95
1304.00;102.45
1306.00;104.13
1308.00;106.37
1310.00;109.97
1312.00;117.89
1314.00;118.48
1316.00;123.88
1318.00;129.11
1320.00;132.72
1322.00;143.73
1324.00;145.20
1326.00;148.73
1328.00;150.70
1330.00;146.84
1332.00;138.54
1334.00;134.62
1336.00;125.34
1338.00;118.39
1340.00;110.75
1342.00;100.79
1344.00;96.27
1346.00;90.72
1348.00;88.36
1350.00;83.38
1352.00;86.95
1354.00;82.38
1356.00;81.35
1358.00;76.82
1360.00;77.03
1362.00;74.89
1364.00;74.76
1366.00;75.38
1368.00;78.06
1370.00;73.45
1372.00;71.22
1374.00;69.42
1376.00;64.89
1378.00;60.06
1380.00;56.35
1382.00;48.85
1384.00;43.65
1386.00;41.49
1388.00;37.85
1390.00;35.40
1392.00;33.12
1394.00;34.05
1396.00;31.93
1398.00;34.18
1400.00;34.41
1402.00;39.97
1404.00;37.99
1406.00;42.40
1408.00;38.38
1410.00;37.80
1412.00;38.43
1414.00;35.54
1416.00;31.05
1418.00;39.00
1420.00;34.28
1422.00;32.59
1424.00;37.06
1426.00;36.15
1428.00;37.45
1430.00;44.27
1432.00;50.45
1434.00;62.32
1436.00;76.89
1438.00;90.83
1440.00;102.84
1442.00;122.33
1444.00;140.28
1446.00;150.77
1448.00;164.82
1450.00;167.74
1452.00;162.45
1454.00;151.30
1456.00;124.19
1458.00;99.10
1460.00;77.67
1462.00;61.89
1464.00;50.70
1466.00;41.74
1468.00;36.83
1470.00;32.59
1472.00;26.23
1474.00;30.12
1476.00;29.46
1478.00;28.72
1480.00;30.55
1482.00;24.86
1484.00;26.80
1486.00;31.53
1488.00;30.29
1490.00;32.01
1492.00;29.80
1494.00;33.15
1496.00;33.88
1498.00;28.55
1500.00;26.63
1502.00;26.10
1504.00;27.72
1506.00;23.41
1508.00;21.57
1510.00;22.96
1512.00;23.78
1514.00;19.78
1516.00;22.29
1518.00;22.11
1520.00;22.42
1522.00;26.14
1524.00;24.69
1526.00;22.97
1528.00;20.96
1530.00;25.77
1532.00;20.23
1534.00;24.14
1536.00;26.40
1538.00;26.12
1540.00;25.97
1542.00;24.51
1544.00;24.46
1546.00;25.09
1548.00;30.28
1550.00;29.74
1552.00;28.16
1554.00;30.95
1556.00;30.80
1558.00;33.27
1560.00;39.76
1562.00;43.64
1564.00;45.26
1566.00;49.75
1568.00;59.26
1570.00;60.08
1572.00;70.90
1574.00;89.74
1576.00;110.37
1578.00;145.78
1580.00;195.01
1582.00;246.90
1584.00;264.44
1586.00;252.69
1588.00;211.61
1590.00;199.46
1592.00;202.46
1594.00;226.53
1596.00;287.00
1598.00;375.61
1600.00;473.48
1602.00;541.39
1604.00;526.65
1606.00;467.06
1608.00;383.28
1610.00;297.98
1612.00;233.54
1614.00;186.15
1616.00;146.34
1618.00;121.01
1620.00;103.78
1622.00;96.57
1624.00;91.86
