AP Cora 5001
Software_Version;1.4.1
[SAMPLE]
Sample_Name;Quartz
Method;
[PARAMETERS]
Instrument_Type;Cora 5001
Instrument_SN;99119713
Last_SST;4/23/2024 1:36:37 PM +00:00
User_Name;labmanager
Measurement_Started;4/25/2024 1:46:34 PM
Measurement_Finished;4/25/2024 1:46:53 PM
Measurement_Saved;4/25/2024 1:46:53 PM
Wavelength;785
Laser_Power;10
Auto_Exposure;False
Exposure_Time;3000
Averaged_Spectra;3
Probe_Type;Regular Probe (785 nm)
Probe_SN;99101107
Dark_Background;True
User_Background_Spectrum;
Spike_Removal;True
Baseline_Correction;False
Smoothing;False
Normalization;None
[SPECTRUM QUALITY]
Quality_Saturation;False
Quality_SBR;NaN
Quality_Temperature;False
[SPECTRUM]
100.00;366.43
102.00;359.68
104.00;356.22
106.00;347.35
108.00;340.14
110.00;330.72
112.00;318.60
114.00;306.05
116.00;297.56
118.00;289.31
120.00;278.84
122.00;273.02
124.00;255.90
126.00;250.57
128.00;243.52
130.00;230.14
132.00;213.65
134.00;197.75
136.00;181.90
138.00;167.98
140.00;154.84
142.00;139.96
144.00;129.96
146.00;117.21
148.00;110.14
150.00;103.27
152.00;99.11
154.00;88.07
156.00;82.90
158.00;78.29
160.00;74.98
162.00;71.52
164.00;69.28
166.00;71.94
168.00;66.09
170.00;66.65
172.00;69.84
174.00;68.60
176.00;73.07
178.00;78.38
180.00;83.79
182.00;89.78
184.00;95.51
186.00;104.56
188.00;113.71
190.00;125.02
192.00;136.95
194.00;148.19
196.00;160.40
198.00;172.04
200.00;184.02
202.00;200.41
204.00;209.90
206.00;214.94
208.00;218.48
210.00;219.86
212.00;218.82
214.00;212.44
216.00;208.46
218.00;199.96
220.00;188.25
222.00;179.50
224.00;169.99
226.00;160.77
228.00;149.67
230.00;141.65
232.00;131.40
234.00;119.97
236.00;114.06
238.00;104.94
240.00;96.18
242.00;90.66
244.00;82.60
246.00;78.98
248.00;72.58
250.00;66.78
252.00;64.51
254.00;62.28
256.00;62.48
258.00;60.30
260.00;59.60
262.00;62.31
264.00;59.50
