AP Cora 5001
Software_Version;1.4.1
[SAMPLE]
Sample_Name;Sample1_haversian_1
Method;
[PARAMETERS]
Instrument_Type;Cora 5001
Instrument_SN;99119713
Last_SST;5/23/2024 9:27:06 AM +00:00
User_Name;labmanager
Measurement_Started;5/23/2024 2:42:26 PM
Measurement_Finished;5/23/2024 2:43:27 PM
Measurement_Saved;5/23/2024 2:43:27 PM
Wavelength;785
Laser_Power;30
Auto_Exposure;False
Exposure_Time;10000
Averaged_Spectra;3
Probe_Type;Regular Probe (785 nm)
Probe_SN;99101107
Dark_Background;True
User_Background_Spectrum;
Spike_Removal;True
Baseline_Correction;False
Smoothing;False
Normalization;None
[SPECTRUM QUALITY]
Quality_Saturation;False
Quality_SBR;NaN
Quality_Temperature;False
[SPECTRUM]
100.00;6433.74
102.00;6328.42
104.00;6193.06
106.00;6051.17
108.00;5877.57
110.00;5681.72
112.00;5448.64
114.00;5201.18
116.00;4957.94
118.00;4708.21
120.00;4457.88
122.00;4215.21
124.00;3993.18
126.00;3776.06
128.00;3565.85
130.00;3378.00
132.00;3194.73
134.00;3024.80
136.00;2881.33
138.00;2741.53
140.00;2613.85
142.00;2506.40
144.00;2406.50
146.00;2323.18
148.00;2247.55
150.00;2176.06
152.00;2122.82
154.00;2071.18
156.00;2019.84
158.00;1987.69
160.00;1956.19
162.00;1928.03
164.00;1912.48
166.00;1899.41
168.00;1887.35
170.00;1870.46
172.00;1856.05
174.00;1841.20
176.00;1827.30
178.00;1823.30
180.00;1813.08
182.00;1805.18
184.00;1795.39
186.00;1787.59
188.00;1768.90
190.00;1766.74
192.00;1761.06
194.00;1759.44
196.00;1748.28
198.00;1737.30
200.00;1730.04
202.00;1729.34
204.00;1733.14
206.00;1737.93
208.00;1731.35
210.00;1729.31
212.00;1732.03
214.00;1728.94
216.00;1723.04
218.00;1719.00
220.00;1715.33
222.00;1714.57
224.00;1716.60
226.00;1710.40
228.00;1708.21
230.00;1708.60
232.00;1705.21
234.00;1704.65
236.00;1707.84
238.00;1709.79
240.00;1708.90
242.00;1705.47
244.00;1704.86
246.00;1704.86
248.00;1707.31
250.00;1707.92
252.00;1705.38
254.00;1707.32
256.00;1716.71
