AP Cora 5001
Software_Version;1.4.1
[SAMPLE]
Sample_Name;Sample1_woven5
Method;
[PARAMETERS]
Instrument_Type;Cora 5001
Instrument_SN;99119713
Last_SST;5/23/2024 9:27:06 AM +00:00
User_Name;labmanager
Measurement_Started;5/23/2024 3:09:23 PM
Measurement_Finished;5/23/2024 3:10:23 PM
Measurement_Saved;5/23/2024 3:10:23 PM
Wavelength;785
Laser_Power;30
Auto_Exposure;False
Exposure_Time;10000
Averaged_Spectra;3
Probe_Type;Regular Probe (785 nm)
Probe_SN;99101107
Dark_Background;True
User_Background_Spectrum;
Spike_Removal;True
Baseline_Correction;False
Smoothing;False
Normalization;None
[SPECTRUM QUALITY]
Quality_Saturation;False
Quality_SBR;NaN
Quality_Temperature;False
[SPECTRUM]
100.00;7355.37
102.00;7241.40
104.00;7097.84
106.00;6943.91
108.00;6758.83
110.00;6550.62
112.00;6289.02
114.00;6025.05
116.00;5740.64
118.00;5470.15
120.00;5201.54
122.00;4926.96
124.00;4663.30
126.00;4423.08
128.00;4192.72
130.00;3973.87
132.00;3772.06
134.00;3578.33
136.00;3399.42
138.00;3243.38
140.00;3103.61
142.00;2973.69
144.00;2855.52
146.00;2752.66
148.00;2659.15
150.00;2589.44
152.00;2536.39
154.00;2471.79
156.00;2417.05
158.00;2381.27
160.00;2357.03
162.00;2323.63
164.00;2298.82
166.00;2287.50
168.00;2277.32
170.00;2262.23
172.00;2248.34
174.00;2235.92
176.00;2222.95
178.00;2211.44
180.00;2199.12
182.00;2191.31
184.00;2176.48
186.00;2174.16
188.00;2174.03
190.00;2160.29
192.00;2154.12
194.00;2142.74
196.00;2134.40
198.00;2128.42
200.00;2125.00
202.00;2124.00
204.00;2123.78
206.00;2126.01
208.00;2132.89
210.00;2134.20
212.00;2130.08
214.00;2130.71
216.00;2129.09
218.00;2122.33
220.00;2120.03
222.00;2118.25
224.00;2115.37
226.00;2116.41
228.00;2114.78
230.00;2112.52
232.00;2112.50
234.00;2109.61
236.00;2117.43
238.00;2119.11
240.00;2127.79
242.00;2123.42
244.00;2125.51
246.00;2120.94
248.00;2118.54
250.00;2120.90
252.00;2129.19
254.00;2126.88
256.00;2128.85
258.00;2130.65
260.00;2130.05
262.00;2137.21
264.00;2139.68
266.00;2136.44
268.00;2137.21
270.00;2141.62
272.00;2141.44
274.00;2137.92
276.00;2137.64
278.00;2141.42
280.00;2149.97
282.00;2148.43
284.00;2139.03
286.00;2145.68
288.00;2153.38
290.00;2146.70
292.00;2144.15
294.00;2143.78
296.00;2140.60
298.00;2144.52
300.00;2140.47
302.00;2138.89
304.00;2141.26
306.00;2143.62
308.00;2140.45
310.00;2142.20
312.00;2137.89
314.00;2137.91
316.00;2144.78
318.00;2144.20
320.00;2137.52
322.00;2138.20
324.00;2141.01
326.00;2144.11
328.00;2143.78
330.00;2145.75
332.00;2144.31
334.00;2144.71
336.00;2150.71
338.00;2138.16
340.00;2132.17
342.00;2136.62
344.00;2137.22
346.00;2139.87
348.00;2136.27
350.00;2130.05
352.00;2132.91
354.00;2134.19
356.00;2129.52
358.00;2130.91
360.00;2131.05
362.00;2133.19
364.00;2127.86
366.00;2121.87
368.00;2119.29
370.00;2118.41
372.00;2116.25
374.00;2123.19
376.00;2128.44
378.00;2131.36
380.00;2127.67
382.00;2133.36
384.00;2135.88
386.00;2140.38
388.00;2132.14
390.00;2139.74
392.00;2145.27
394.00;2142.20
396.00;2141.81
398.00;2138.89
400.00;2145.50
402.00;2143.87
404.00;2141.57
406.00;2149.30
408.00;2152.85
410.00;2154.82
412.00;2154.15
414.00;2163.07
416.00;2163.71
418.00;2164.86
420.00;2182.30
422.00;2181.89
424.00;2188.47
426.00;2192.67
428.00;2192.29
430.00;2201.37
432.00;2204.16
434.00;2194.82
436.00;2192.58
438.00;2194.21
440.00;2193.32
442.00;2189.59
444.00;2197.50
446.00;2197.87
448.00;2200.88
450.00;2193.62
452.00;2184.52
454.00;2175.13
456.00;2170.77
458.00;2168.54
460.00;2168.90
462.00;2167.45
464.00;2159.91
466.00;2163.78
468.00;2161.73
470.00;2156.11
472.00;2146.74
474.00;2144.22
476.00;2144.29
478.00;2130.54
480.00;2128.74
482.00;2127.81
484.00;2124.35
486.00;2124.39
488.00;2136.48
490.00;2138.48
492.00;2134.56
494.00;2130.20
496.00;2134.11
498.00;2128.81
500.00;2127.90
502.00;2130.92
504.00;2123.84
506.00;2126.87
508.00;2127.28
510.00;2124.76
512.00;2121.81
514.00;2125.82
516.00;2135.03
518.00;2136.66
520.00;2129.92
522.00;2134.60
524.00;2142.94
526.00;2140.14
528.00;2146.32
530.00;2145.74
532.00;2143.49
534.00;2144.73
536.00;2140.80
538.00;2141.53
540.00;2138.09
542.00;2147.05
544.00;2147.88
546.00;2147.11
548.00;2145.72
550.00;2148.04
552.00;2150.76
554.00;2149.88
556.00;2154.68
558.00;2153.02
560.00;2159.35
562.00;2168.49
564.00;2168.01
566.00;2165.59
568.00;2167.30
570.00;2161.49
572.00;2168.50
574.00;2177.42
576.00;2180.19
578.00;2187.72
580.00;2185.93
582.00;2186.29
584.00;2189.18
586.00;2191.86
588.00;2186.65
590.00;2175.55
592.00;2182.99
594.00;2175.94
596.00;2177.14
598.00;2174.10
600.00;2167.98
602.00;2159.54
604.00;2153.86
606.00;2157.39
608.00;2158.80
610.00;2153.40
612.00;2151.62
614.00;2155.60
616.00;2149.09
618.00;2144.36
620.00;2143.71
622.00;2132.19
624.00;2127.60
626.00;2121.83
628.00;2122.88
630.00;2115.52
632.00;2107.23
634.00;2110.07
636.00;2108.18
638.00;2107.26
640.00;2107.64
642.00;2105.76
644.00;2104.09
646.00;2102.79
648.00;2084.63
650.00;2088.13
652.00;2093.92
654.00;2092.56
656.00;2090.97
658.00;2095.87
660.00;2090.81
662.00;2094.67
664.00;2093.27
666.00;2093.79
668.00;2086.30
670.00;2089.63
672.00;2094.86
674.00;2088.69
676.00;2090.46
678.00;2087.08
680.00;2082.22
682.00;2089.11
684.00;2089.39
686.00;2089.65
688.00;2090.61
690.00;2087.97
692.00;2084.83
694.00;2090.19
696.00;2094.36
698.00;2086.13
700.00;2082.88
702.00;2083.71
704.00;2077.68
706.00;2075.95
708.00;2080.44
710.00;2077.03
712.00;2073.34
714.00;2075.72
716.00;2074.39
718.00;2078.92
720.00;2077.91
722.00;2079.22
724.00;2075.87
726.00;2072.64
728.00;2071.81
730.00;2068.79
732.00;2071.06
734.00;2074.14
736.00;2075.46
738.00;2073.24
740.00;2066.58
742.00;2065.00
744.00;2062.15
746.00;2050.77
748.00;2051.88
750.00;2049.14
752.00;2053.90
754.00;2057.41
756.00;2058.96
758.00;2057.27
760.00;2056.04
762.00;2059.45
764.00;2055.75
766.00;2051.77
768.00;2040.88
770.00;2044.59
772.00;2048.28
774.00;2042.93
776.00;2045.16
778.00;2044.22
780.00;2040.05
782.00;2041.04
784.00;2039.44
786.00;2037.98
788.00;2035.06
790.00;2031.36
792.00;2040.52
794.00;2035.15
796.00;2025.32
798.00;2037.08
800.00;2037.91
802.00;2035.37
804.00;2038.91
806.00;2041.72
808.00;2050.08
810.00;2054.51
812.00;2056.67
814.00;2056.38
816.00;2047.23
818.00;2041.92
820.00;2038.62
822.00;2039.28
824.00;2030.43
826.00;2025.56
828.00;2029.01
830.00;2035.33
832.00;2039.31
834.00;2037.35
836.00;2035.72
838.00;2035.85
840.00;2028.98
842.00;2028.16
844.00;2042.63
846.00;2058.64
848.00;2061.11
850.00;2069.82
852.00;2047.81
854.00;2050.83
856.00;2055.29
858.00;2050.56
860.00;2047.06
862.00;2041.64
864.00;2036.32
866.00;2035.84
868.00;2035.09
870.00;2037.18
872.00;2040.39
874.00;2043.27
876.00;2033.07
878.00;2040.11
880.00;2039.92
882.00;2035.05
884.00;2030.41
886.00;2031.81
888.00;2027.64
890.00;2020.76
892.00;2027.75
894.00;2026.46
896.00;2029.23
898.00;2025.57
900.00;2020.36
902.00;2020.72
904.00;2013.95
906.00;2009.44
908.00;2008.96
910.00;2014.62
912.00;2016.02
914.00;2026.87
916.00;2039.72
918.00;2041.71
920.00;2033.21
922.00;2038.69
924.00;2042.97
926.00;2040.84
928.00;2038.44
930.00;2051.50
932.00;2053.72
934.00;2062.96
936.00;2079.83
938.00;2096.17
940.00;2112.85
942.00;2128.70
944.00;2161.07
946.00;2192.60
948.00;2242.73
950.00;2305.44
952.00;2367.23
954.00;2441.37
956.00;2514.43
958.00;2562.09
960.00;2574.47
962.00;2550.19
964.00;2488.49
966.00;2409.74
968.00;2327.00
970.00;2243.51
972.00;2178.41
974.00;2122.78
976.00;2075.48
978.00;2041.96
980.00;2018.80
982.00;2006.91
984.00;1995.21
986.00;1994.82
988.00;1984.20
990.00;1976.28
992.00;1966.46
994.00;1974.26
996.00;1974.93
998.00;1982.16
1000.00;1981.41
1002.00;1988.19
1004.00;1991.77
1006.00;1984.13
1008.00;1980.20
1010.00;1978.50
1012.00;1974.70
1014.00;1973.45
1016.00;1974.34
1018.00;1976.26
1020.00;1978.71
1022.00;1978.45
1024.00;1976.52
1026.00;1980.55
1028.00;1978.62
1030.00;1984.77
1032.00;1981.05
1034.00;1981.69
1036.00;1981.18
1038.00;1985.76
1040.00;1975.94
1042.00;1978.79
1044.00;1982.44
1046.00;1981.72
1048.00;1977.14
1050.00;1976.87
1052.00;1978.73
1054.00;1982.30
1056.00;1982.56
1058.00;1980.79
1060.00;1987.21
1062.00;1994.90
1064.00;2003.37
1066.00;2018.17
1068.00;2021.62
1070.00;2031.00
1072.00;2023.15
1074.00;2019.50
1076.00;2018.20
1078.00;1995.83
1080.00;1982.55
1082.00;1969.93
1084.00;1955.63
1086.00;1942.59
1088.00;1948.90
1090.00;1939.31
1092.00;1930.37
1094.00;1925.47
1096.00;1919.07
1098.00;1913.94
1100.00;1912.83
1102.00;1912.72
1104.00;1910.55
1106.00;1907.34
1108.00;1902.19
1110.00;1906.65
1112.00;1900.68
1114.00;1894.14
1116.00;1878.55
1118.00;1871.82
1120.00;1876.58
1122.00;1865.67
1124.00;1869.04
1126.00;1863.37
1128.00;1867.77
1130.00;1870.15
1132.00;1863.98
1134.00;1865.82
1136.00;1855.80
1138.00;1853.52
1140.00;1856.03
1142.00;1852.89
