AP Cora 5001
Software_Version;1.4.1
[SAMPLE]
Sample_Name;Sample2_woven_3
Method;
[PARAMETERS]
Instrument_Type;Cora 5001
Instrument_SN;99119713
Last_SST;5/23/2024 9:27:06 AM +00:00
User_Name;labmanager
Measurement_Started;5/23/2024 3:39:25 PM
Measurement_Finished;5/23/2024 3:40:26 PM
Measurement_Saved;5/23/2024 3:40:26 PM
Wavelength;785
Laser_Power;30
Auto_Exposure;False
Exposure_Time;10000
Averaged_Spectra;3
Probe_Type;Regular Probe (785 nm)
Probe_SN;99101107
Dark_Background;True
User_Background_Spectrum;
Spike_Removal;True
Baseline_Correction;False
Smoothing;False
Normalization;None
[SPECTRUM QUALITY]
Quality_Saturation;False
Quality_SBR;NaN
Quality_Temperature;False
[SPECTRUM]
100.00;10489.26
102.00;10259.95
104.00;9965.36
106.00;9655.14
108.00;9277.83
110.00;8863.11
112.00;8442.50
114.00;7995.42
116.00;7519.41
118.00;7042.46
120.00;6584.69
122.00;6141.29
124.00;5722.28
126.00;5330.74
128.00;4965.71
130.00;4638.85
132.00;4344.14
134.00;4069.09
136.00;3824.02
138.00;3608.00
140.00;3404.51
142.00;3223.88
144.00;3074.94
146.00;2938.31
148.00;2819.36
150.00;2722.30
152.00;2638.77
154.00;2567.37
156.00;2504.32
158.00;2457.04
160.00;2417.65
162.00;2385.31
164.00;2360.80
166.00;2336.74
168.00;2318.36
170.00;2299.10
172.00;2281.13
174.00;2270.52
176.00;2257.86
178.00;2250.57
180.00;2242.68
182.00;2222.91
184.00;2212.76
186.00;2208.86
188.00;2195.33
190.00;2185.98
192.00;2177.48
194.00;2173.00
196.00;2162.29
198.00;2156.58
200.00;2147.74
202.00;2147.45
204.00;2152.06
206.00;2152.99
208.00;2149.35
210.00;2145.84
212.00;2152.20
214.00;2153.76
216.00;2147.84
218.00;2147.64
220.00;2149.91
222.00;2148.56
224.00;2145.53
226.00;2147.27
228.00;2146.36
230.00;2146.45
232.00;2148.49
234.00;2146.75
236.00;2147.97
238.00;2146.16
240.00;2145.26
242.00;2151.83
244.00;2152.92
246.00;2155.01
248.00;2158.21
250.00;2162.62
252.00;2158.35
254.00;2159.59
256.00;2161.59
258.00;2168.66
260.00;2167.09
262.00;2165.88
264.00;2165.69
266.00;2167.97
268.00;2177.51
270.00;2170.69
272.00;2167.40
274.00;2178.94
276.00;2174.16
278.00;2168.28
280.00;2167.55
282.00;2164.53
284.00;2169.93
286.00;2172.74
288.00;2179.94
290.00;2178.33
292.00;2180.10
294.00;2178.21
296.00;2175.16
298.00;2177.57
300.00;2182.02
302.00;2177.99
304.00;2169.65
306.00;2166.33
308.00;2172.57
310.00;2181.45
312.00;2178.15
314.00;2174.32
316.00;2173.41
318.00;2169.66
320.00;2162.17
322.00;2167.64
324.00;2168.10
326.00;2165.33
328.00;2173.48
330.00;2176.08
332.00;2171.75
334.00;2175.10
336.00;2174.81
338.00;2171.37
340.00;2172.38
342.00;2168.43
344.00;2166.55
346.00;2167.47
348.00;2166.50
350.00;2168.28
352.00;2172.67
354.00;2173.51
356.00;2163.05
358.00;2158.39
360.00;2162.74
362.00;2164.50
364.00;2167.70
366.00;2163.12
368.00;2160.50
370.00;2165.15
372.00;2166.24
374.00;2161.10
376.00;2166.87
378.00;2165.57
380.00;2168.11
382.00;2175.97
384.00;2180.61
386.00;2181.73
388.00;2175.61
390.00;2176.66
392.00;2173.89
394.00;2177.68
396.00;2176.91
398.00;2186.50
400.00;2185.97
402.00;2184.88
404.00;2189.86
406.00;2193.79
408.00;2195.31
410.00;2195.84
412.00;2202.36
414.00;2208.50
416.00;2208.59
418.00;2214.15
420.00;2215.67
422.00;2225.22
424.00;2231.19
426.00;2242.62
428.00;2241.71
430.00;2245.44
432.00;2252.25
434.00;2248.01
436.00;2249.28
438.00;2248.92
440.00;2250.99
442.00;2254.97
444.00;2247.39
446.00;2239.11
448.00;2245.09
450.00;2237.03
452.00;2232.46
454.00;2224.19
456.00;2222.56
458.00;2219.12
460.00;2215.11
462.00;2207.32
464.00;2207.13
466.00;2205.84
468.00;2204.73
470.00;2206.41
472.00;2202.75
474.00;2191.42
476.00;2187.78
478.00;2182.47
480.00;2179.40
482.00;2170.16
484.00;2170.40
486.00;2173.16
488.00;2179.25
490.00;2182.42
492.00;2189.23
494.00;2180.23
496.00;2182.63
498.00;2178.61
500.00;2177.97
502.00;2181.96
504.00;2174.06
506.00;2172.06
508.00;2174.23
510.00;2174.86
512.00;2171.27
514.00;2174.01
516.00;2176.05
518.00;2188.61
520.00;2190.80
522.00;2193.42
524.00;2195.14
526.00;2192.67
528.00;2200.62
530.00;2200.06
532.00;2200.87
534.00;2197.99
536.00;2197.71
538.00;2192.45
540.00;2197.37
542.00;2194.91
544.00;2200.94
546.00;2202.55
548.00;2203.23
550.00;2203.75
552.00;2206.14
554.00;2205.53
556.00;2202.99
558.00;2206.38
560.00;2209.51
562.00;2210.89
564.00;2214.52
566.00;2217.64
568.00;2225.49
570.00;2225.25
572.00;2232.34
574.00;2237.81
576.00;2240.21
578.00;2247.48
580.00;2253.16
582.00;2256.90
584.00;2256.18
586.00;2249.84
588.00;2257.71
590.00;2254.84
592.00;2250.54
594.00;2255.88
596.00;2254.27
598.00;2238.93
600.00;2227.88
602.00;2238.11
604.00;2220.23
606.00;2215.33
608.00;2216.25
610.00;2217.77
612.00;2212.06
614.00;2207.30
616.00;2207.70
618.00;2204.62
620.00;2201.16
622.00;2202.29
624.00;2192.37
626.00;2186.48
628.00;2178.56
630.00;2173.52
632.00;2172.26
634.00;2169.95
636.00;2167.54
638.00;2161.75
640.00;2162.99
642.00;2168.73
644.00;2158.61
646.00;2153.53
648.00;2153.49
650.00;2153.22
652.00;2156.26
654.00;2155.13
656.00;2164.41
658.00;2163.09
660.00;2165.60
662.00;2163.93
664.00;2163.88
666.00;2163.06
668.00;2161.29
670.00;2166.39
672.00;2161.63
674.00;2162.85
676.00;2157.62
678.00;2152.74
680.00;2145.34
682.00;2147.35
684.00;2145.51
686.00;2147.93
688.00;2146.59
690.00;2144.55
692.00;2154.41
694.00;2158.26
696.00;2158.27
698.00;2155.92
700.00;2155.34
702.00;2160.98
704.00;2153.47
706.00;2151.65
708.00;2149.11
710.00;2143.44
712.00;2143.32
714.00;2145.55
716.00;2147.70
718.00;2145.73
720.00;2140.53
722.00;2138.90
724.00;2142.94
726.00;2144.98
728.00;2141.96
730.00;2141.27
732.00;2141.19
734.00;2136.52
736.00;2135.17
738.00;2142.21
740.00;2135.03
742.00;2130.84
744.00;2127.95
746.00;2131.74
748.00;2130.74
750.00;2126.55
752.00;2128.36
754.00;2129.85
756.00;2130.82
758.00;2129.49
760.00;2126.70
762.00;2124.51
764.00;2121.97
766.00;2121.24
768.00;2120.01
770.00;2116.04
772.00;2118.21
774.00;2125.08
776.00;2118.80
778.00;2116.72
780.00;2114.85
782.00;2114.65
784.00;2117.53
786.00;2120.95
788.00;2113.29
790.00;2116.41
792.00;2118.25
794.00;2112.99
796.00;2110.48
798.00;2113.24
800.00;2111.31
802.00;2111.18
804.00;2115.19
806.00;2112.54
808.00;2119.52
810.00;2122.07
812.00;2131.79
814.00;2134.49
816.00;2126.95
818.00;2121.15
820.00;2112.10
822.00;2112.18
824.00;2108.06
826.00;2099.41
828.00;2104.56
830.00;2118.03
832.00;2113.84
834.00;2114.18
836.00;2112.01
838.00;2106.77
840.00;2108.19
842.00;2106.34
844.00;2118.40
846.00;2131.31
848.00;2139.96
850.00;2134.25
852.00;2140.33
854.00;2134.55
856.00;2137.32
858.00;2129.88
860.00;2125.81
862.00;2126.40
864.00;2119.70
866.00;2117.42
868.00;2120.07
870.00;2116.35
872.00;2107.88
874.00;2114.96
876.00;2118.20
878.00;2129.34
880.00;2122.77
882.00;2110.89
884.00;2106.34
886.00;2101.93
888.00;2103.31
890.00;2108.73
892.00;2101.05
894.00;2102.70
896.00;2103.83
898.00;2100.43
900.00;2097.14
902.00;2095.19
904.00;2089.66
906.00;2088.97
908.00;2084.68
910.00;2092.87
912.00;2103.28
914.00;2103.45
916.00;2118.92
918.00;2121.01
920.00;2122.73
922.00;2122.98
924.00;2126.91
926.00;2124.56
928.00;2126.01
930.00;2134.20
932.00;2142.97
934.00;2159.61
936.00;2174.78
938.00;2187.31
940.00;2213.65
942.00;2226.41
944.00;2257.07
946.00;2304.17
948.00;2355.43
950.00;2433.07
952.00;2500.67
954.00;2565.39
956.00;2659.57
958.00;2705.06
960.00;2723.66
962.00;2694.19
964.00;2623.08
966.00;2529.88
968.00;2431.97
970.00;2341.69
972.00;2270.55
974.00;2209.61
976.00;2166.08
978.00;2126.85
980.00;2103.03
982.00;2082.42
984.00;2074.62
986.00;2076.42
988.00;2065.16
990.00;2062.82
992.00;2057.59
994.00;2048.24
996.00;2052.77
998.00;2058.96
1000.00;2065.97
1002.00;2072.47
1004.00;2073.44
