AP Cora 5001
Software_Version;1.4.1
[SAMPLE]
Sample_Name;Sample1_haversian_1
Method;
[PARAMETERS]
Instrument_Type;Cora 5001
Instrument_SN;99119713
Last_SST;4/23/2024 1:36:37 PM +00:00
User_Name;labmanager
Measurement_Started;4/25/2024 2:07:57 PM
Measurement_Finished;4/25/2024 2:08:57 PM
Measurement_Saved;4/25/2024 2:08:57 PM
Wavelength;785
Laser_Power;30
Auto_Exposure;False
Exposure_Time;10000
Averaged_Spectra;3
Probe_Type;Regular Probe (785 nm)
Probe_SN;99101107
Dark_Background;True
User_Background_Spectrum;
Spike_Removal;True
Baseline_Correction;False
Smoothing;False
Normalization;None
[SPECTRUM QUALITY]
Quality_Saturation;False
Quality_SBR;NaN
Quality_Temperature;False
[SPECTRUM]
100.00;3965.39
102.00;3938.93
104.00;3891.04
106.00;3833.36
108.00;3763.27
110.00;3680.48
112.00;3584.37
114.00;3472.86
116.00;3362.48
118.00;3258.95
120.00;3136.11
122.00;3024.58
124.00;2918.96
126.00;2829.43
128.00;2737.14
130.00;2652.28
132.00;2578.80
134.00;2506.22
136.00;2437.84
138.00;2380.39
140.00;2319.10
142.00;2262.90
144.00;2228.41
146.00;2191.15
148.00;2169.28
150.00;2141.63
152.00;2130.59
154.00;2110.01
156.00;2090.92
158.00;2074.79
160.00;2060.95
162.00;2059.38
164.00;2057.30
166.00;2044.62
168.00;2041.50
170.00;2038.73
172.00;2025.26
174.00;2016.78
176.00;2021.38
178.00;2018.31
180.00;2006.18
182.00;1999.70
184.00;1994.93
186.00;1991.25
188.00;1977.48
190.00;1973.78
192.00;1977.15
194.00;1969.36
196.00;1964.94
198.00;1956.57
200.00;1957.86
202.00;1952.24
204.00;1960.13
206.00;1961.80
208.00;1953.09
210.00;1956.86
212.00;1955.35
214.00;1955.08
216.00;1961.60
218.00;1951.57
220.00;1947.91
222.00;1949.95
224.00;1943.98
226.00;1946.95
228.00;1945.74
230.00;1944.82
232.00;1947.90
234.00;1946.97
236.00;1948.62
238.00;1950.23
240.00;1952.48
242.00;1952.87
244.00;1942.84
246.00;1952.50
248.00;1951.00
250.00;1955.47
252.00;1959.34
254.00;1960.42
256.00;1960.15
