AP Cora 5001
Software_Version;1.4.1
[SAMPLE]
Sample_Name;Stone
Method;
[PARAMETERS]
Instrument_Type;Cora 5001
Instrument_SN;99119713
Last_SST;5/23/2024 9:27:06 AM +00:00
User_Name;labmanager
Measurement_Started;5/23/2024 2:18:28 PM
Measurement_Finished;5/23/2024 2:18:59 PM
Measurement_Saved;5/23/2024 2:18:59 PM
Wavelength;785
Laser_Power;10
Auto_Exposure;False
Exposure_Time;5000
Averaged_Spectra;3
Probe_Type;Regular Probe (785 nm)
Probe_SN;99101107
Dark_Background;True
User_Background_Spectrum;
Spike_Removal;True
Baseline_Correction;False
Smoothing;False
Normalization;None
[SPECTRUM QUALITY]
Quality_Saturation;False
Quality_SBR;NaN
Quality_Temperature;False
[SPECTRUM]
100.00;1826.51
102.00;1749.31
104.00;1666.55
106.00;1577.70
108.00;1485.70
110.00;1403.67
112.00;1303.57
114.00;1204.24
116.00;1112.06
118.00;1020.24
120.00;933.76
122.00;844.23
124.00;770.52
126.00;706.74
128.00;633.73
130.00;567.74
132.00;511.23
134.00;454.49
136.00;403.54
138.00;356.75
140.00;314.89
142.00;282.78
144.00;254.19
146.00;226.35
148.00;204.97
150.00;182.01
152.00;165.42
154.00;151.18
156.00;136.56
158.00;129.03
160.00;120.30
162.00;112.66
164.00;109.14
166.00;107.25
168.00;106.52
170.00;103.32
172.00;100.81
174.00;102.68
176.00;105.28
178.00;109.81
180.00;115.75
182.00;121.75
184.00;129.54
186.00;139.98
188.00;155.70
190.00;168.20
192.00;180.62
194.00;198.28
196.00;212.16
198.00;230.93
200.00;244.81
202.00;260.59
204.00;273.11
206.00;282.70
208.00;287.47
210.00;292.35
212.00;287.44
214.00;279.22
216.00;271.49
218.00;259.79
220.00;249.12
222.00;237.00
224.00;226.62
226.00;212.83
228.00;197.31
230.00;187.40
232.00;177.96
234.00;164.61
236.00;147.76
238.00;140.23
240.00;135.90
242.00;123.86
244.00;108.51
246.00;106.42
248.00;98.09
250.00;92.72
252.00;89.89
254.00;86.62
256.00;81.76
258.00;80.05
260.00;81.47
262.00;80.52
264.00;78.19
266.00;76.11
268.00;73.12
270.00;68.05
272.00;62.68
274.00;60.55
276.00;57.65
278.00;51.30
280.00;47.27
282.00;46.59
284.00;45.37
286.00;42.38
288.00;40.72
290.00;37.56
292.00;37.07
294.00;32.34
296.00;33.45
298.00;33.84
300.00;30.61
302.00;29.81
304.00;29.66
306.00;22.96
308.00;25.80
310.00;26.16
312.00;27.44
314.00;29.62
316.00;26.02
318.00;24.84
320.00;24.92
322.00;23.74
324.00;24.86
326.00;25.86
328.00;27.26
330.00;26.10
332.00;25.19
334.00;26.88
336.00;27.14
338.00;27.34
340.00;27.78
342.00;28.08
344.00;29.49
346.00;32.42
348.00;38.04
350.00;43.62
352.00;46.14
354.00;50.25
356.00;53.71
358.00;50.43
360.00;44.08
362.00;41.27
364.00;42.24
366.00;39.82
368.00;36.57
370.00;34.12
372.00;33.02
374.00;31.32
376.00;31.16
378.00;30.41
380.00;28.56
382.00;29.53
384.00;27.83
386.00;29.74
388.00;30.83
390.00;28.61
392.00;34.14
394.00;32.82
396.00;35.32
398.00;39.52
400.00;41.82
402.00;43.41
404.00;41.06
406.00;41.30
408.00;37.53
410.00;36.86
412.00;36.31
414.00;37.97
416.00;35.24
418.00;34.75
420.00;38.01
422.00;33.47
424.00;41.65
426.00;42.40
428.00;41.38
430.00;44.59
432.00;45.78
434.00;52.02
436.00;57.09
438.00;66.55
440.00;77.90
442.00;94.77
444.00;112.19
446.00;137.25
448.00;168.55
450.00;204.86
452.00;250.52
454.00;322.07
456.00;411.54
458.00;526.93
460.00;671.41
462.00;808.05
464.00;894.06
466.00;888.11
468.00;811.59
470.00;704.29
472.00;608.21
474.00;526.20
476.00;458.62
478.00;406.38
480.00;359.66
482.00;311.32
484.00;273.45
486.00;229.34
488.00;189.56
490.00;158.99
492.00;134.23
494.00;113.98
496.00;101.59
498.00;90.38
500.00;80.54
502.00;73.10
504.00;68.86
506.00;64.16
508.00;57.08
510.00;55.46
512.00;53.36
514.00;53.50
516.00;51.30
518.00;49.01
520.00;49.22
522.00;47.43
524.00;44.93
526.00;42.91
528.00;38.06
530.00;37.68
532.00;38.95
534.00;37.70
536.00;37.05
538.00;34.67
540.00;32.21
542.00;32.03
544.00;31.25
546.00;29.03
548.00;26.53
550.00;27.60
552.00;26.95
554.00;25.43
556.00;25.14
558.00;23.68
560.00;23.72
562.00;23.53
564.00;25.41
566.00;22.37
568.00;21.46
570.00;21.23
572.00;23.02
574.00;23.24
576.00;22.96
578.00;21.61
580.00;21.25
582.00;21.64
584.00;23.46
586.00;21.03
588.00;20.17
590.00;21.20
592.00;22.08
594.00;19.39
596.00;22.40
598.00;21.04
600.00;20.67
602.00;21.81
604.00;21.04
606.00;21.28
608.00;18.58
610.00;17.76
612.00;20.50
614.00;22.10
616.00;21.19
618.00;19.09
620.00;18.14
622.00;19.63
624.00;19.67
626.00;19.57
628.00;18.95
630.00;19.97
632.00;17.49
634.00;18.84
636.00;19.91
638.00;20.08
640.00;19.69
642.00;17.45
644.00;16.74
646.00;20.94
648.00;19.24
650.00;19.95
652.00;17.17
654.00;19.71
656.00;19.11
658.00;18.43
660.00;19.32
662.00;18.86
664.00;22.12
666.00;20.78
668.00;20.54
670.00;17.17
672.00;20.16
674.00;20.79
676.00;19.35
678.00;18.03
680.00;20.29
682.00;19.64
684.00;21.28
686.00;21.11
688.00;21.43
690.00;24.79
692.00;28.21
694.00;28.83
696.00;29.18
698.00;29.73
700.00;26.95
702.00;23.89
704.00;25.38
706.00;24.21
708.00;21.07
710.00;19.69
712.00;22.25
714.00;21.82
716.00;23.83
718.00;19.83
720.00;20.53
722.00;18.31
724.00;17.58
726.00;18.99
728.00;19.54
730.00;19.58
732.00;19.48
734.00;20.46
736.00;18.79
738.00;16.90
740.00;20.52
742.00;21.78
744.00;20.68
746.00;17.12
748.00;18.21
750.00;19.00
752.00;19.10
754.00;19.59
756.00;17.56
758.00;17.92
760.00;18.16
762.00;19.38
764.00;18.34
766.00;17.62
768.00;19.02
770.00;17.89
772.00;19.41
774.00;21.51
776.00;22.26
778.00;21.23
780.00;19.95
782.00;23.42
784.00;22.41
786.00;23.46
788.00;25.63
790.00;27.37
792.00;28.31
794.00;34.24
796.00;32.24
798.00;37.90
800.00;38.70
802.00;43.78
804.00;46.92
806.00;52.56
808.00;55.15
810.00;51.04
812.00;46.44
814.00;39.94
816.00;35.60
818.00;31.33
820.00;27.90
822.00;24.01
824.00;22.41
826.00;26.45
828.00;22.85
830.00;24.12
832.00;23.56
834.00;20.93
836.00;21.77
838.00;24.41
840.00;24.05
842.00;20.97
844.00;21.01
846.00;23.79
848.00;19.53
850.00;22.38
852.00;22.27
854.00;19.86
856.00;23.30
858.00;20.45
860.00;24.81
862.00;21.38
864.00;19.16
866.00;21.91
868.00;22.00
870.00;23.16
872.00;21.01
874.00;20.79
876.00;22.17
878.00;20.79
880.00;20.76
882.00;20.47
884.00;20.77
886.00;19.53
888.00;20.40
890.00;21.68
892.00;20.51
894.00;20.67
896.00;20.06
898.00;21.38
900.00;21.96
902.00;20.31
904.00;20.19
906.00;18.66
908.00;18.74
910.00;21.81
912.00;19.70
914.00;21.35
916.00;17.69
918.00;20.29
920.00;18.11
922.00;19.08
924.00;19.88
926.00;17.64
928.00;18.44
930.00;17.14
932.00;15.99
934.00;16.59
936.00;16.04
938.00;15.66
940.00;14.41
942.00;16.69
944.00;16.42
946.00;14.97
948.00;14.81
950.00;16.61
952.00;14.44
954.00;14.69
956.00;14.73
958.00;14.91
960.00;16.35
962.00;15.46
964.00;13.85
966.00;17.64
968.00;14.95
970.00;15.67
972.00;14.03
974.00;14.10
976.00;13.28
978.00;12.50
980.00;12.24
982.00;11.92
984.00;15.29
986.00;12.27
988.00;12.89
990.00;14.10
992.00;12.36
994.00;10.47
996.00;12.34
998.00;12.56
1000.00;13.14
1002.00;15.00
1004.00;13.69
1006.00;13.50
1008.00;13.60
1010.00;13.86
1012.00;12.74
1014.00;11.84
1016.00;12.41
1018.00;11.80
1020.00;12.78
1022.00;13.21
1024.00;12.13
1026.00;10.32
1028.00;10.71
1030.00;11.07
1032.00;13.55
1034.00;11.54
1036.00;11.40
1038.00;11.95
1040.00;13.58
1042.00;14.03
1044.00;12.64
1046.00;11.93
1048.00;12.64
1050.00;11.89
1052.00;15.06
1054.00;13.91
1056.00;17.50
1058.00;14.57
1060.00;17.02
1062.00;17.46
1064.00;18.77
1066.00;18.45
1068.00;19.38
1070.00;17.12
1072.00;21.62
1074.00;20.74
1076.00;20.25
1078.00;25.68
1080.00;26.58
1082.00;28.72
1084.00;26.09
1086.00;24.70
1088.00;19.03
1090.00;15.66
1092.00;14.45
1094.00;16.70
1096.00;10.73
1098.00;13.39
1100.00;12.13
1102.00;10.44
1104.00;12.99
1106.00;11.81
1108.00;12.86
1110.00;11.00
1112.00;12.69
1114.00;10.88
1116.00;10.53
1118.00;12.09
1120.00;10.80
1122.00;11.79
1124.00;14.64
1126.00;12.04
1128.00;12.71
1130.00;9.63
1132.00;11.55
1134.00;12.26
1136.00;11.70
1138.00;16.88
1140.00;11.00
1142.00;11.75
1144.00;15.30
1146.00;14.08
1148.00;14.85
1150.00;19.19
1152.00;19.37
1154.00;22.10
1156.00;28.96
1158.00;31.22
1160.00;32.04
1162.00;30.82
1164.00;28.30
1166.00;21.68
1168.00;18.96
1170.00;17.34
1172.00;16.79
1174.00;17.54
1176.00;17.20
1178.00;14.63
1180.00;12.35
1182.00;10.30
1184.00;11.60
1186.00;12.53
1188.00;13.24
1190.00;10.74
1192.00;11.85
1194.00;14.10
1196.00;14.36
1198.00;12.05
1200.00;13.60
1202.00;12.25
1204.00;14.61
1206.00;14.48
1208.00;12.78
1210.00;14.82
1212.00;15.52
1214.00;12.54
1216.00;12.77
1218.00;15.44
1220.00;13.72
1222.00;17.66
1224.00;15.20
1226.00;18.10
1228.00;20.18
1230.00;21.14
1232.00;18.07
1234.00;21.18
1236.00;20.17
1238.00;17.37
1240.00;18.55
1242.00;18.23
1244.00;14.20
1246.00;15.50
1248.00;13.69
1250.00;14.72
1252.00;15.83
1254.00;16.06
1256.00;15.48
1258.00;12.31
1260.00;14.98
1262.00;12.89
1264.00;13.89
1266.00;12.81
1268.00;14.76
1270.00;14.83
1272.00;11.19
1274.00;13.50
1276.00;14.34
1278.00;13.83
1280.00;16.89
1282.00;15.25
1284.00;14.02
1286.00;12.03
1288.00;16.09
1290.00;12.83
1292.00;10.96
1294.00;13.83
1296.00;13.50
1298.00;12.78
1300.00;15.21
1302.00;13.15
1304.00;11.68
1306.00;14.72
1308.00;10.61
1310.00;13.62
1312.00;13.25
1314.00;15.02
1316.00;15.58
1318.00;13.22
1320.00;12.20
1322.00;12.52
1324.00;13.14
1326.00;13.45
1328.00;14.19
1330.00;14.54
1332.00;14.59
1334.00;12.00
1336.00;13.91
1338.00;13.27
1340.00;15.07
1342.00;14.19
1344.00;15.93
1346.00;13.21
1348.00;13.11
1350.00;13.34
1352.00;14.47
1354.00;14.84
1356.00;20.13
1358.00;12.10
1360.00;15.30
1362.00;16.81
1364.00;16.63
1366.00;16.71
1368.00;14.18
1370.00;15.46
1372.00;15.33
1374.00;16.31
1376.00;13.43
1378.00;13.82
1380.00;15.17
1382.00;16.58
1384.00;15.18
1386.00;13.53
1388.00;14.19
1390.00;12.66
1392.00;14.67
1394.00;18.23
1396.00;15.31
1398.00;16.91
1400.00;13.56
1402.00;16.75
1404.00;16.69
1406.00;14.83
1408.00;18.62
1410.00;18.68
1412.00;17.32
1414.00;18.49
1416.00;17.79
1418.00;14.24
1420.00;14.53
1422.00;17.74
1424.00;15.06
1426.00;18.24
1428.00;14.00
1430.00;14.82
1432.00;14.24
1434.00;17.88
1436.00;14.14
1438.00;16.49
1440.00;11.38
1442.00;14.41
1444.00;16.38
1446.00;14.72
1448.00;14.14
1450.00;12.13
1452.00;12.15
1454.00;16.14
1456.00;13.69
1458.00;10.99
1460.00;16.92
1462.00;17.93
1464.00;14.68
1466.00;15.37
1468.00;12.21
1470.00;17.22
1472.00;13.92
1474.00;13.88
1476.00;14.98
1478.00;16.32
1480.00;13.68
1482.00;10.61
1484.00;12.57
1486.00;18.90
1488.00;14.71
1490.00;15.67
1492.00;14.07
1494.00;14.89
1496.00;17.81
1498.00;15.61
1500.00;14.87
1502.00;15.08
1504.00;15.94
1506.00;14.81
1508.00;14.37
1510.00;16.54
1512.00;14.94
1514.00;9.22
1516.00;16.16
1518.00;13.92
1520.00;20.56
1522.00;15.96
1524.00;12.14
1526.00;17.88
1528.00;14.27
1530.00;16.47
1532.00;15.57
1534.00;12.95
1536.00;14.40
1538.00;15.61
1540.00;15.05
1542.00;15.75
1544.00;15.49
1546.00;16.71
1548.00;16.64
1550.00;12.75
1552.00;16.80
1554.00;13.43
1556.00;15.06
1558.00;16.94
1560.00;16.23
1562.00;15.95
1564.00;16.61
1566.00;17.80
1568.00;12.91
1570.00;19.73
1572.00;18.05
1574.00;14.00
1576.00;18.68
1578.00;17.78
1580.00;19.97
1582.00;18.56
1584.00;17.44
1586.00;15.20
1588.00;17.92
1590.00;14.49
1592.00;15.21
1594.00;19.99
1596.00;17.01
1598.00;15.65
1600.00;18.29
1602.00;19.86
1604.00;20.12
1606.00;21.53
1608.00;20.71
1610.00;14.04
1612.00;21.58
1614.00;13.47
1616.00;18.84
1618.00;13.89
1620.00;15.00
1622.00;19.12
1624.00;19.35
1626.00;18.92
1628.00;17.98
1630.00;16.83
1632.00;18.40
1634.00;19.00
1636.00;16.54
1638.00;16.24
1640.00;16.70
1642.00;10.61
1644.00;19.07
1646.00;16.52
1648.00;16.16
1650.00;20.51
1652.00;18.93
1654.00;18.64
1656.00;16.49
1658.00;15.99
1660.00;14.56
1662.00;14.43
1664.00;16.12
1666.00;17.44
1668.00;17.35
1670.00;16.63
1672.00;19.66
1674.00;16.64
1676.00;13.57
1678.00;14.46
1680.00;10.31
1682.00;14.92
1684.00;12.96
1686.00;16.18
1688.00;15.16
1690.00;8.18
1692.00;12.05
1694.00;13.58
1696.00;16.30
1698.00;13.23
1700.00;12.60
1702.00;16.85
1704.00;17.67
1706.00;15.54
1708.00;12.05
1710.00;17.67
1712.00;15.28
1714.00;11.19
1716.00;18.18
1718.00;16.23
1720.00;13.63
1722.00;16.91
1724.00;15.04
1726.00;17.09
1728.00;15.48
1730.00;17.55
1732.00;13.19
