AP Cora 5001
Software_Version;1.4.1
[SAMPLE]
Sample_Name;Bov_denat1_before_2
Method;
[PARAMETERS]
Instrument_Type;Cora 5001
Instrument_SN;99119713
Last_SST;2/13/2024 2:05:45 PM +00:00
User_Name;labmanager
Measurement_Started;2/13/2024 3:29:39 PM
Measurement_Finished;2/13/2024 3:30:40 PM
Measurement_Saved;2/13/2024 3:30:40 PM
Wavelength;785
Laser_Power;30
Auto_Exposure;False
Exposure_Time;10000
Averaged_Spectra;3
Probe_Type;Regular Probe (785 nm)
Probe_SN;99101107
Dark_Background;True
User_Background_Spectrum;
Spike_Removal;True
Baseline_Correction;False
Smoothing;False
Normalization;None
[SPECTRUM QUALITY]
Quality_Saturation;False
Quality_SBR;NaN
Quality_Temperature;False
[SPECTRUM]
100.00;7533.72
102.00;7280.26
104.00;7020.74
106.00;6761.48
108.00;6498.15
110.00;6198.79
112.00;5895.84
114.00;5605.28
116.00;5309.03
118.00;5025.23
120.00;4754.48
122.00;4504.18
124.00;4279.20
126.00;4075.79
128.00;3895.07
130.00;3741.87
132.00;3597.69
134.00;3475.59
136.00;3370.85
138.00;3277.83
140.00;3196.97
142.00;3123.77
144.00;3064.08
146.00;3014.23
148.00;2969.11
150.00;2938.13
152.00;2923.19
154.00;2897.12
156.00;2882.96
158.00;2874.14
160.00;2867.19
162.00;2859.54
164.00;2855.85
166.00;2844.19
168.00;2835.18
170.00;2836.47
172.00;2832.87
174.00;2824.39
176.00;2817.66
178.00;2806.93
180.00;2801.24
182.00;2793.09
184.00;2780.03
186.00;2775.44
188.00;2768.99
190.00;2762.18
192.00;2743.70
194.00;2734.00
196.00;2728.34
198.00;2720.68
200.00;2710.58
202.00;2717.97
204.00;2718.94
206.00;2721.76
208.00;2726.09
210.00;2733.85
212.00;2721.21
214.00;2716.46
216.00;2722.06
218.00;2721.48
220.00;2713.01
222.00;2714.95
224.00;2719.20
226.00;2710.95
228.00;2707.54
230.00;2714.24
232.00;2711.63
234.00;2705.38
236.00;2716.29
238.00;2713.88
240.00;2721.38
242.00;2717.72
244.00;2714.22
246.00;2718.20
248.00;2728.28
250.00;2729.61
252.00;2731.72
254.00;2739.84
256.00;2753.18
258.00;2753.61
260.00;2750.89
262.00;2753.60
264.00;2757.72
266.00;2766.36
268.00;2761.71
270.00;2756.76
272.00;2764.33
274.00;2765.39
276.00;2764.87
278.00;2772.74
280.00;2775.73
282.00;2769.35
284.00;2766.53
286.00;2772.71
288.00;2773.30
290.00;2766.93
292.00;2766.59
294.00;2770.26
296.00;2767.25
298.00;2767.70
300.00;2767.67
302.00;2763.39
304.00;2762.48
306.00;2758.88
308.00;2756.69
310.00;2767.39
312.00;2761.77
314.00;2761.96
316.00;2763.07
318.00;2768.18
320.00;2762.35
322.00;2760.10
324.00;2769.31
326.00;2765.10
328.00;2763.70
330.00;2764.69
332.00;2767.88
334.00;2765.64
336.00;2762.53
338.00;2768.65
340.00;2769.07
342.00;2760.14
344.00;2760.43
346.00;2764.78
348.00;2764.78
350.00;2765.88
352.00;2765.87
354.00;2762.66
356.00;2764.00
358.00;2765.34
360.00;2754.83
362.00;2758.99
364.00;2770.14
366.00;2761.01
368.00;2753.19
370.00;2751.09
372.00;2752.59
374.00;2755.06
376.00;2755.91
378.00;2754.00
380.00;2762.00
382.00;2764.57
384.00;2767.80
386.00;2767.79
388.00;2764.60
390.00;2770.73
392.00;2780.32
394.00;2787.03
396.00;2781.72
398.00;2782.84
400.00;2784.19
402.00;2786.55
404.00;2787.79
406.00;2795.43
408.00;2806.72
410.00;2814.70
412.00;2818.38
414.00;2830.33
416.00;2839.24
418.00;2837.42
420.00;2845.60
422.00;2859.74
424.00;2860.53
426.00;2877.41
428.00;2877.48
430.00;2887.94
432.00;2878.57
434.00;2874.63
436.00;2881.56
438.00;2885.95
440.00;2896.53
442.00;2886.82
444.00;2882.56
446.00;2876.75
448.00;2878.49
450.00;2866.15
452.00;2857.62
454.00;2859.32
456.00;2848.81
458.00;2847.38
460.00;2843.22
462.00;2842.90
464.00;2839.29
466.00;2835.47
468.00;2829.32
470.00;2823.77
472.00;2812.60
474.00;2800.52
476.00;2795.05
478.00;2781.58
480.00;2774.70
482.00;2763.85
484.00;2771.35
486.00;2784.59
488.00;2778.63
490.00;2777.91
492.00;2787.10
494.00;2798.78
496.00;2792.50
498.00;2778.55
500.00;2785.76
502.00;2776.73
504.00;2777.91
506.00;2774.55
508.00;2780.95
510.00;2780.62
512.00;2776.98
514.00;2776.75
516.00;2788.30
518.00;2798.76
520.00;2803.10
522.00;2800.56
524.00;2800.38
526.00;2801.22
528.00;2810.96
530.00;2814.15
532.00;2814.78
534.00;2806.72
536.00;2803.81
538.00;2798.32
540.00;2802.71
542.00;2797.75
544.00;2809.46
546.00;2814.31
548.00;2814.83
550.00;2815.49
552.00;2820.66
554.00;2820.79
556.00;2831.32
558.00;2840.06
560.00;2836.63
562.00;2842.86
564.00;2844.97
566.00;2851.94
568.00;2864.69
570.00;2861.53
572.00;2866.80
574.00;2873.29
576.00;2875.74
578.00;2878.95
580.00;2888.97
582.00;2896.12
584.00;2893.76
586.00;2898.73
588.00;2898.03
590.00;2891.71
592.00;2883.14
594.00;2880.70
596.00;2875.89
598.00;2861.59
600.00;2855.50
602.00;2850.15
604.00;2841.65
606.00;2834.02
608.00;2831.63
610.00;2833.56
612.00;2832.78
614.00;2825.92
616.00;2821.70
618.00;2817.39
620.00;2815.69
622.00;2807.80
624.00;2796.89
626.00;2792.59
628.00;2791.83
630.00;2775.50
632.00;2768.53
634.00;2764.85
636.00;2765.63
638.00;2762.78
640.00;2764.52
642.00;2759.43
644.00;2756.17
646.00;2751.78
648.00;2753.28
650.00;2752.81
652.00;2746.00
654.00;2750.71
656.00;2759.38
658.00;2746.13
660.00;2740.23
662.00;2748.05
664.00;2750.16
666.00;2747.46
668.00;2744.35
670.00;2751.35
672.00;2750.43
674.00;2747.10
676.00;2739.29
678.00;2741.35
680.00;2742.28
682.00;2745.94
684.00;2745.97
686.00;2736.52
688.00;2732.05
690.00;2740.34
692.00;2740.65
694.00;2736.05
696.00;2742.05
698.00;2737.23
700.00;2739.21
702.00;2737.49
704.00;2735.02
706.00;2727.94
708.00;2725.03
710.00;2724.24
712.00;2712.26
714.00;2718.20
