AP Cora 5001
Software_Version;1.4.1
[SAMPLE]
Sample_Name;Bov_demin1_1day_1
Method;
[PARAMETERS]
Instrument_Type;Cora 5001
Instrument_SN;99119713
Last_SST;2/13/2024 2:05:45 PM +00:00
User_Name;labmanager
Measurement_Started;2/14/2024 3:26:15 PM
Measurement_Finished;2/14/2024 3:27:16 PM
Measurement_Saved;2/14/2024 3:27:16 PM
Wavelength;785
Laser_Power;30
Auto_Exposure;False
Exposure_Time;10000
Averaged_Spectra;3
Probe_Type;Regular Probe (785 nm)
Probe_SN;99101107
Dark_Background;True
User_Background_Spectrum;
Spike_Removal;True
Baseline_Correction;False
Smoothing;False
Normalization;None
[SPECTRUM QUALITY]
Quality_Saturation;False
Quality_SBR;NaN
Quality_Temperature;False
[SPECTRUM]
100.00;3460.47
102.00;3393.71
104.00;3321.43
106.00;3228.57
108.00;3126.08
110.00;3016.48
112.00;2898.74
114.00;2770.81
116.00;2634.40
118.00;2509.70
120.00;2395.98
122.00;2273.34
124.00;2169.17
126.00;2070.28
128.00;1976.84
130.00;1877.86
132.00;1797.39
134.00;1717.43
136.00;1641.44
138.00;1580.35
140.00;1522.27
142.00;1471.21
144.00;1428.48
146.00;1387.19
148.00;1347.61
150.00;1314.33
152.00;1286.33
154.00;1269.25
156.00;1247.31
158.00;1230.50
160.00;1218.37
162.00;1204.93
164.00;1190.76
166.00;1182.59
168.00;1171.54
170.00;1162.31
172.00;1155.82
174.00;1147.90
176.00;1135.24
178.00;1126.95
180.00;1120.29
182.00;1113.03
184.00;1108.65
186.00;1096.30
188.00;1088.57
190.00;1087.93
192.00;1079.19
194.00;1074.14
196.00;1063.22
198.00;1052.90
200.00;1052.81
202.00;1051.13
204.00;1050.01
206.00;1042.54
208.00;1044.57
210.00;1035.75
212.00;1034.65
214.00;1031.46
216.00;1026.56
218.00;1026.04
220.00;1022.80
222.00;1021.09
224.00;1012.88
226.00;1007.88
228.00;1010.13
230.00;1006.99
232.00;1003.62
234.00;1000.15
236.00;1001.14
238.00;1002.77
240.00;1009.93
242.00;1001.39
244.00;1001.22
246.00;1003.94
248.00;996.94
250.00;996.73
252.00;995.62
254.00;1002.99
256.00;1000.47
258.00;1002.30
260.00;1009.19
262.00;1007.58
264.00;1005.91
266.00;1005.76
268.00;999.89
270.00;1005.41
272.00;1006.17
274.00;1001.58
276.00;1006.59
278.00;1004.55
280.00;1001.27
282.00;1000.80
284.00;998.92
286.00;1004.57
288.00;1007.74
290.00;1006.65
292.00;1004.81
294.00;997.93
296.00;995.38
298.00;1004.67
300.00;1004.44
302.00;998.51
304.00;999.63
306.00;1000.49
308.00;996.13
310.00;995.40
312.00;995.26
314.00;996.66
316.00;995.94
318.00;990.87
320.00;993.97
322.00;991.85
324.00;994.79
326.00;996.33
328.00;991.71
330.00;995.79
332.00;992.90
334.00;994.18
336.00;994.23
338.00;992.94
340.00;993.98
342.00;991.79
344.00;992.80
346.00;991.34
348.00;992.54
350.00;991.26
352.00;987.39
354.00;989.72
356.00;990.34
358.00;992.06
360.00;986.55
362.00;981.90
364.00;990.42
366.00;988.19
368.00;980.35
370.00;984.52
372.00;984.18
374.00;981.65
376.00;983.28
378.00;984.60
380.00;987.11
382.00;983.69
384.00;987.59
386.00;989.70
388.00;985.54
390.00;991.34
392.00;989.55
394.00;993.55
396.00;991.01
398.00;991.79
400.00;992.98
402.00;993.55
404.00;997.11
406.00;998.50
408.00;997.67
410.00;997.63
412.00;1001.49
414.00;1010.41
416.00;1011.30
418.00;1004.00
420.00;1007.28
422.00;1008.13
424.00;1010.91
426.00;1019.25
428.00;1012.79
430.00;1016.88
432.00;1024.66
434.00;1020.93
436.00;1019.65
438.00;1018.71
440.00;1019.74
442.00;1016.30
444.00;1015.95
446.00;1014.98
448.00;1013.86
450.00;1015.40
452.00;1009.01
454.00;1004.40
456.00;1000.11
458.00;997.57
460.00;1004.48
462.00;996.95
464.00;999.56
