AP Cora 5001
Software_Version;1.4.1
[SAMPLE]
Sample_Name;Bov_denat1_before_3
Method;
[PARAMETERS]
Instrument_Type;Cora 5001
Instrument_SN;99119713
Last_SST;2/13/2024 2:05:45 PM +00:00
User_Name;labmanager
Measurement_Started;2/13/2024 3:31:25 PM
Measurement_Finished;2/13/2024 3:32:26 PM
Measurement_Saved;2/13/2024 3:32:26 PM
Wavelength;785
Laser_Power;30
Auto_Exposure;False
Exposure_Time;10000
Averaged_Spectra;3
Probe_Type;Regular Probe (785 nm)
Probe_SN;99101107
Dark_Background;True
User_Background_Spectrum;
Spike_Removal;True
Baseline_Correction;False
Smoothing;False
Normalization;None
[SPECTRUM QUALITY]
Quality_Saturation;False
Quality_SBR;NaN
Quality_Temperature;False
[SPECTRUM]
100.00;8004.15
102.00;7757.39
104.00;7496.15
106.00;7237.15
108.00;6968.89
110.00;6681.85
112.00;6367.87
114.00;6056.39
116.00;5753.63
118.00;5460.95
120.00;5178.06
122.00;4924.43
124.00;4689.15
126.00;4478.58
128.00;4291.92
130.00;4125.18
132.00;3976.04
134.00;3843.30
136.00;3732.57
138.00;3634.55
140.00;3552.75
142.00;3492.81
144.00;3443.29
146.00;3396.06
148.00;3357.64
150.00;3341.45
152.00;3322.82
154.00;3307.24
156.00;3289.01
158.00;3280.59
160.00;3283.00
162.00;3279.38
164.00;3273.03
166.00;3267.95
168.00;3261.09
170.00;3260.99
172.00;3260.97
174.00;3248.99
176.00;3242.36
178.00;3240.87
180.00;3234.16
182.00;3229.88
184.00;3225.40
186.00;3212.06
188.00;3201.15
190.00;3195.79
192.00;3181.56
194.00;3175.37
196.00;3163.88
198.00;3169.79
200.00;3166.89
202.00;3161.02
204.00;3168.83
206.00;3181.74
208.00;3180.00
210.00;3175.09
212.00;3174.30
214.00;3174.29
216.00;3173.92
218.00;3170.69
220.00;3173.58
222.00;3176.89
224.00;3170.40
226.00;3169.29
228.00;3166.48
230.00;3159.10
232.00;3164.39
234.00;3166.05
236.00;3164.97
238.00;3167.10
240.00;3167.20
242.00;3177.12
244.00;3179.50
246.00;3180.63
248.00;3180.50
250.00;3179.36
252.00;3183.03
254.00;3199.94
256.00;3206.33
258.00;3205.42
260.00;3214.07
262.00;3221.26
264.00;3223.26
266.00;3229.16
268.00;3231.64
270.00;3233.05
272.00;3236.10
274.00;3237.18
276.00;3240.21
278.00;3245.53
280.00;3243.67
282.00;3246.87
284.00;3253.38
286.00;3248.30
288.00;3245.53
290.00;3244.77
292.00;3242.41
294.00;3240.09
296.00;3239.60
298.00;3231.64
300.00;3241.06
302.00;3235.36
304.00;3226.13
306.00;3227.67
308.00;3226.10
310.00;3228.16
312.00;3231.20
314.00;3235.30
316.00;3234.04
318.00;3234.34
320.00;3224.51
322.00;3226.42
324.00;3233.17
326.00;3229.35
328.00;3227.97
330.00;3243.70
332.00;3239.10
334.00;3240.92
336.00;3234.61
338.00;3239.74
340.00;3246.77
342.00;3237.01
344.00;3239.42
346.00;3240.63
348.00;3237.11
350.00;3237.90
352.00;3241.65
354.00;3244.19
356.00;3243.32
358.00;3243.85
360.00;3238.09
362.00;3232.34
364.00;3232.52
366.00;3233.74
368.00;3237.15
370.00;3238.37
372.00;3236.17
374.00;3232.08
376.00;3231.62
378.00;3235.07
380.00;3239.02
382.00;3246.58
384.00;3245.19
386.00;3243.63
388.00;3249.01
390.00;3253.00
392.00;3257.73
394.00;3248.59
396.00;3258.03
398.00;3271.26
400.00;3261.11
402.00;3268.51
404.00;3275.08
406.00;3280.07
408.00;3286.07
410.00;3292.01
412.00;3305.89
414.00;3312.77
416.00;3312.56
418.00;3316.36
420.00;3327.85
422.00;3333.70
424.00;3351.07
426.00;3366.89
428.00;3370.82
430.00;3381.59
432.00;3380.66
434.00;3375.08
436.00;3369.49
438.00;3364.39
440.00;3372.46
442.00;3367.18
444.00;3364.13
446.00;3361.51
448.00;3364.93
450.00;3357.75
452.00;3343.50
454.00;3338.04
456.00;3328.38
458.00;3333.88
460.00;3330.70
462.00;3316.13
464.00;3325.24
466.00;3312.55
468.00;3299.11
470.00;3299.16
472.00;3292.57
474.00;3273.16
476.00;3266.36
478.00;3256.35
480.00;3248.61
482.00;3250.69
484.00;3259.18
486.00;3255.68
488.00;3256.02
490.00;3265.01
492.00;3262.88
494.00;3267.93
496.00;3270.61
498.00;3264.37
500.00;3252.92
502.00;3256.58
504.00;3255.28
506.00;3255.35
508.00;3261.38
510.00;3262.13
512.00;3253.31
514.00;3255.98
516.00;3264.90
518.00;3281.67
520.00;3283.04
522.00;3275.51
524.00;3270.52
526.00;3284.99
528.00;3286.38
530.00;3280.06
532.00;3285.69
534.00;3293.86
536.00;3287.85
538.00;3279.76
540.00;3284.71
542.00;3295.28
544.00;3292.74
546.00;3297.57
548.00;3297.91
550.00;3300.21
552.00;3299.17
554.00;3300.95
556.00;3299.34
558.00;3311.10
560.00;3318.53
562.00;3323.32
564.00;3328.76
566.00;3329.95
568.00;3330.81
570.00;3337.46
572.00;3336.83
574.00;3342.74
576.00;3358.17
578.00;3357.48
580.00;3363.75
582.00;3377.60
584.00;3380.38
586.00;3369.40
588.00;3368.04
590.00;3366.50
592.00;3365.48
594.00;3365.23
596.00;3352.08
598.00;3346.38
600.00;3336.90
602.00;3329.09
604.00;3310.04
606.00;3311.81
608.00;3302.31
610.00;3309.66
612.00;3300.12
614.00;3300.83
616.00;3291.82
618.00;3290.55
620.00;3295.56
622.00;3283.84
624.00;3271.46
626.00;3265.97
628.00;3261.11
630.00;3236.07
632.00;3237.93
634.00;3239.07
636.00;3232.60
638.00;3227.57
640.00;3227.25
642.00;3225.92
644.00;3218.02
646.00;3218.40
648.00;3213.27
650.00;3207.42
652.00;3219.75
654.00;3221.89
656.00;3226.10
658.00;3218.78
660.00;3204.61
662.00;3214.74
664.00;3205.29
666.00;3204.48
668.00;3204.76
670.00;3205.91
672.00;3204.71
674.00;3206.58
676.00;3205.02
678.00;3199.19
680.00;3202.63
682.00;3202.57
684.00;3199.45
686.00;3205.30
688.00;3199.84
690.00;3183.85
692.00;3184.76
694.00;3199.63
696.00;3190.93
698.00;3191.24
700.00;3194.91
702.00;3187.58
704.00;3181.63
706.00;3177.20
708.00;3183.21
710.00;3182.99
712.00;3172.62
714.00;3180.24
716.00;3186.26
718.00;3182.47
720.00;3175.01
722.00;3178.11
724.00;3172.73
726.00;3170.39
728.00;3171.73
730.00;3167.51
732.00;3166.41
734.00;3166.61
736.00;3161.93
738.00;3159.46
740.00;3153.99
742.00;3154.31
744.00;3144.50
746.00;3142.42
748.00;3147.37
750.00;3128.42
752.00;3133.17
754.00;3137.25
756.00;3140.44
758.00;3143.71
760.00;3138.63
762.00;3137.28
764.00;3142.32
766.00;3125.94
768.00;3124.95
770.00;3122.74
772.00;3119.64
774.00;3113.43
776.00;3111.86
778.00;3101.51
780.00;3107.16
782.00;3104.69
784.00;3104.95
786.00;3106.20
788.00;3113.04
790.00;3105.67
792.00;3094.23
794.00;3093.88
796.00;3090.11
798.00;3092.81
800.00;3095.50
802.00;3098.98
804.00;3095.78
806.00;3089.12
808.00;3106.19
810.00;3120.19
812.00;3119.35
814.00;3116.23
816.00;3109.75
818.00;3112.92
820.00;3098.64
822.00;3089.78
824.00;3093.33
826.00;3086.88
828.00;3085.43
830.00;3089.91
832.00;3090.09
834.00;3086.98
836.00;3079.96
838.00;3085.38
840.00;3087.85
842.00;3080.30
844.00;3105.91
846.00;3115.12
848.00;3122.90
850.00;3108.41
852.00;3108.07
854.00;3106.68
856.00;3111.57
858.00;3103.61
860.00;3090.66
862.00;3089.31
864.00;3087.57
866.00;3090.06
868.00;3090.25
870.00;3085.40
872.00;3094.75
