"File Path: C:\Users\Administrator\Desktop\BME_labs\2026\Group 1\G1_Sample_2 26-02-2026 17 11 25\DAQ- Time, … - (Timed).csv   
Test: Solution
Test Run: G1_Sample_2
Date: 26/02/2026 17:04:07

"
"cycle_nb","Time ","Axial Force ","Axial Displacement "
"cycle_nb","sec","N","mm"
"1","4.9248046875","-4.96462917327881","0.00127404928207397"
"1","4.9345703125","-4.74302577972412","0.000962018930295017"
"1","4.9443359375","-4.39897632598877","0.00154316421685508"
"1","4.9541015625","-4.01465225219727","0.00122129915780533"
"1","4.9638671875","-4.0080304145813","0.000683963321534975"
"1","4.9736328125","-4.4744553565979","0.000585615623549529"
"1","4.9833984375","-5.65267181396484","-0.00036478041920418"
"1","4.9931640625","-5.96816635131836","0.00041663645333756"
"1","5.0029296875","-5.80681467056274","3.21865094576879E-05"
"1","5.0126953125","-5.16758298873901","-0.000419318666899926"
"1","5.0224609375","-5.31497859954834","-0.000197589400841025"
"1","5.0322265625","-6.23338413238525","-0.000777840625687531"
"1","5.0419921875","-7.07819604873657","-0.00185698274890456"
"1","5.0517578125","-7.32606267929077","-0.00151455401464773"
"1","5.0615234375","-7.27782487869263","-0.00219583512262034"
"1","5.0712890625","-7.21620416641235","-0.00237196672969731"
"1","5.0810546875","-6.88513278961182","-0.0031149386359175"
"1","5.0908203125","-7.24899101257324","-0.00259727244156238"
"1","5.1005859375","-8.07490158081055","-0.00360399485543894"
"1","5.1103515625","-8.9560079574585","-0.00354766848431609"
"1","5.1201171875","-9.15078926086426","-0.00429958117820206"
"1","5.1298828125","-9.35705375671387","-0.0041252374103351"
"1","5.1396484375","-8.65086460113525","-0.003993809059466"
"1","5.1494140625","-8.8305025100708","-0.00496387474413496"
"1","5.1591796875","-9.86628246307373","-0.00472694637210225"
"1","5.1689453125","-10.2209768295288","-0.00543057922186563"
"1","5.1787109375","-10.9009580612183","-0.00602513546255068"
"1","5.1884765625","-10.8044404983521","-0.00578552499064244"
"1","5.1982421875","-10.9142017364502","-0.00654280165690579"
"1","5.2080078125","-10.6785869598389","-0.0071927906901692"
"1","5.2177734375","-11.2228937149048","-0.00757366433390416"
"1","5.2275390625","-12.0509834289551","-0.00691741706759785"
"1","5.2373046875","-12.7217874526978","-0.00738322751203668"
"1","5.2470703125","-12.7906589508057","-0.00749766832086607"
"1","5.2568359375","-12.6383037567139","-0.00788569468568312"
"1","5.2666015625","-13.1301536560059","-0.00894784898264334"
"1","5.2763671875","-13.1018505096436","-0.00828623797133332"
"1","5.2861328125","-13.832347869873","-0.00906228979147272"
"1","5.2958984375","-14.8435678482056","-0.00979006290435791"
"1","5.3056640625","-14.9483003616333","-0.0097230076789856"
"1","5.3154296875","-14.7962665557861","-0.00964880018727854"
"1","5.3251953125","-14.741099357605","-0.0104087594081648"
"1","5.3349609375","-14.9824981689453","-0.0107887390186079"
"1","5.3447265625","-15.8123340606689","-0.0104051832749974"
"1","5.3544921875","-16.7497806549072","-0.0111722947622184"
"1","5.3642578125","-17.5891723632813","-0.0118160251076915"
"1","5.3740234375","-17.4878196716309","-0.0120690465337248"
"1","5.3837890625","-17.3490028381348","-0.0125581027532462"
"1","5.3935546875","-17.4972629547119","-0.0129050013129017"
"1","5.4033203125","-18.0749320983887","-0.0130248072309769"
"1","5.4130859375","-18.4393081665039","-0.0133386256493395"
"1","5.4228515625","-19.570011138916","-0.0142353774208459"
"1","5.4326171875","-20.1004028320313","-0.0139099356601946"
"1","5.4423828125","-19.809886932373","-0.0140914316943963"
"1","5.4521484375","-19.9333534240723","-0.0150579217006452"
"1","5.4619140625","-19.6644191741943","-0.0150758023664821"
"1","5.4716796875","-20.5723896026611","-0.0151419635585626"
"1","5.4814453125","-21.471305847168","-0.0157472495629918"
"1","5.4912109375","-22.2288227081299","-0.0160977251653094"
"1","5.5009765625","-22.1423473358154","-0.0159135452122428"
"1","5.5107421875","-21.8827877044678","-0.0162515043484746"
"1","5.5205078125","-22.1647415161133","-0.0164437296916731"
"1","5.5302734375","-23.178882598877","-0.0177195670403307"
"1","5.5400390625","-23.8662815093994","-0.017618536730879"
"1","5.5498046875","-24.5729465484619","-0.0177231431734981"
"1","5.5595703125","-24.8955383300781","-0.0181478262675228"
"1","5.5693359375","-24.8851852416992","-0.0187915557035012"
"1","5.5791015625","-24.5914421081543","-0.0189149377547437"
"1","5.5888671875","-25.1986675262451","-0.0186270481208339"
"1","5.5986328125","-26.6369609832764","-0.0194951899175067"
"1","5.6083984375","-27.5846195220947","-0.019420087483013"
"1","5.6181640625","-27.7021751403809","-0.0207924840651685"
"1","5.6279296875","-27.6629219055176","-0.0203588606382255"
"1","5.6376953125","-26.9804248809814","-0.0213807816180633"
"1","5.6474609375","-27.5235996246338","-0.0211223959922791"
"1","5.6572265625","-28.1592826843262","-0.0215515501622576"
"1","5.6669921875","-29.3181095123291","-0.0220459696720354"
"1","5.6767578125","-29.7917709350586","-0.0214049214264378"
"1","5.6865234375","-29.9705410003662","-0.021884143279749"
"1","5.6962890625","-29.7814044952393","-0.0222221024159808"
"1","5.7060546875","-30.0024070739746","-0.0224643954425119"
"1","5.7158203125","-30.6274738311768","-0.0233897571888519"
"1","5.7255859375","-31.6534900665283","-0.0235891347983852"
"1","5.7353515625","-32.4765357971191","-0.0235694642469753"
"1","5.7451171875","-32.9382133483887","-0.0246736399276415"
"1","5.7548828125","-32.8039054870605","-0.0244787333940621"
"1","5.7646484375","-32.675594329834","-0.0243553513428196"
"1","5.7744140625","-33.3926239013672","-0.0257411593338475"
"1","5.7841796875","-34.2396697998047","-0.0253951548074838"
"1","5.7939453125","-35.1974830627441","-0.0259628886851715"
"1","5.8037109375","-35.9185371398926","-0.0261121986113722"
"1","5.8134765625","-36.1726341247559","-0.0269258016487584"
"1","5.8232421875","-35.6098442077637","-0.0275838374363957"
"1","5.8330078125","-35.4044456481934","-0.0271555782092037"
"1","5.8427734375","-36.3260650634766","-0.0272691249847412"
"1","5.8525390625","-37.5406837463379","-0.0275516504189"
"1","5.8623046875","-38.2682495117188","-0.0283724075416103"
"1","5.8720703125","-38.4911231994629","-0.0287425518763484"
"1","5.8818359375","-38.3036613464355","-0.0286334761767648"
"1","5.8916015625","-38.4484596252441","-0.0286012891592691"
"1","5.9013671875","-39.1094436645508","-0.0285056230495684"
"1","5.9111328125","-40.1194076538086","-0.0295954941975651"
"1","5.9208984375","-41.0820541381836","-0.0303795932268258"
"1","5.9306640625","-41.7022438049316","-0.0301426644000458"
"1","5.9404296875","-41.3830604553223","-0.0309491151710972"
"1","5.9501953125","-41.549388885498","-0.0312539923470467"
"1","5.9599609375","-41.478141784668","-0.0310572977468837"
"1","5.9697265625","-42.484260559082","-0.031812785891816"
"1","5.9794921875","-44.053955078125","-0.0319674618367571"
"1","5.9892578125","-44.4039306640625","-0.0321051484206691"
"1","5.9990234375","-44.3405876159668","-0.0328302376146894"
"1","6.0087890625","-44.0505905151367","-0.0329500435327645"
"1","6.0185546875","-44.9434280395508","-0.0328141468344256"
"1","6.0283203125","-45.9703521728516","-0.0340354454237968"
"1","6.0380859375","-46.7008361816406","-0.0337064266204834"
"1","6.0478515625","-47.5944595336914","-0.0339862708642613"
"1","6.0576171875","-47.9817848205566","-0.0345307598763611"
"1","6.0673828125","-47.8568840026855","-0.0347426539519802"
"1","6.0771484375","-48.1673049926758","-0.0351011767634191"
"1","6.0869140625","-48.4294624328613","-0.0360426311090123"
"1","6.0966796875","-49.2515449523926","-0.0354847325070295"
"1","6.1064453125","-50.2490081787109","-0.0371173009625636"
"1","6.1162109375","-50.9514961242676","-0.0370582929463126"
"1","6.1259765625","-50.9283714294434","-0.0362044556823093"
"1","6.1357421875","-50.60205078125","-0.03686696436489"
"1","6.1455078125","-51.329418182373","-0.0371897222066764"
"1","6.1552734375","-52.3489532470703","-0.0372549875464756"
"1","6.1650390625","-53.5130462646484","-0.0379237535526045"
"1","6.1748046875","-53.9378280639648","-0.0380927340302151"
"1","6.1845703125","-54.270336151123","-0.0389367341995239"
"1","6.1943359375","-54.5751876831055","-0.0391817084164359"
"1","6.2041015625","-54.5416984558105","-0.039439200918423"
"1","6.2138671875","-55.2394256591797","-0.0391191242670175"
"1","6.2236328125","-56.2391624450684","-0.0395697352360003"
"1","6.2333984375","-57.2177619934082","-0.0396090763388202"
"1","6.2431640625","-57.954906463623","-0.0414070491387974"
"1","6.2529296875","-57.310791015625","-0.0405201317335013"
"1","6.2626953125","-57.6413116455078","-0.0405076134484261"
"1","6.2724609375","-58.1665534973145","-0.0417163973907009"
"1","6.2822265625","-58.7448310852051","-0.0410717730119359"
"1","6.2919921875","-59.9621543884277","-0.0422179691668134"
"1","6.3017578125","-61.1185073852539","-0.0420695541833993"
"1","6.3115234375","-61.223991394043","-0.0428321945946664"
"1","6.3212890625","-60.845630645752","-0.0428545463364571"
"1","6.3310546875","-60.9857788085938","-0.043306947191013"
"1","6.3408203125","-62.1864738464355","-0.043601990910247"
"1","6.3505859375","-63.7103538513184","-0.0437790149590001"
"1","6.3603515625","-64.5939178466797","-0.0441169722762425"
"1","6.3701171875","-65.0397415161133","-0.0448939208581578"
"1","6.3798828125","-64.8128509521484","-0.0450387597084045"
"1","6.3896484375","-64.5217361450195","-0.0450941915914882"
"1","6.3994140625","-65.5019760131836","-0.0453704597020987"
"1","6.4091796875","-66.5218811035156","-0.0460445880889893"
"1","6.4189453125","-67.551628112793","-0.0463655596831813"
"1","6.4287109375","-68.1601333618164","-0.0468009711767081"
"1","6.4384765625","-68.1394271850586","-0.0467097743239719"
