"File Path: C:\Users\Administrator\Desktop\BME_labs\2026\Group 2\G2_Sample_2 26-03-2026 17 42 26\DAQ- Time, … - (Timed).csv   
Test: Solution
Test Run: G2_Sample_2
Date: 26/03/2026 17:34:52

"
"cycle_nb","Time ","Axial Force ","Axial Displacement "
"cycle_nb","sec","N","mm"
"1","6.8330078125","-3.90395522117615","0.000826120356123283"
"1","6.8427734375","-4.34330654144287","8.94069707157996E-06"
"1","6.8525390625","-5.72919845581055","0.00157982105974952"
"1","6.8623046875","-6.59092807769775","0.00032544136274737"
"1","6.8720703125","-6.4430570602417","-7.5101851848558E-05"
"1","6.8818359375","-5.22108745574951","0.000118911266611121"
"1","6.8916015625","-4.35747194290161","0.000145733352496791"
"1","6.9013671875","-4.18564319610596","0.000536441802978516"
"1","6.9111328125","-5.91051292419434","0.000216364867355878"
"1","6.9208984375","-7.00611162185669","-0.000116229060154183"
"1","6.9306640625","-7.25604581832886","-0.000596344477798993"
"1","6.9404296875","-6.41976928710938","-0.000886917121079023"
"1","6.9501953125","-5.67436695098877","-0.00154852864397981"
"1","6.9599609375","-5.38765001296997","-0.00133305786675919"
"1","6.9697265625","-6.33261156082153","-0.00151276583437721"
"1","6.9794921875","-7.63493585586548","-0.00177919866928278"
"1","6.9892578125","-8.43511390686035","-0.00184625389465509"
"1","6.9990234375","-8.2661075592041","-0.00237733115682204"
"1","7.0087890625","-7.51961469650269","-0.00320434560308058"
"1","7.0185546875","-6.98905420303345","-0.00237286099036282"
"1","7.0283203125","-7.64984178543091","-0.00328570604324341"
"1","7.0380859375","-8.38873481750488","-0.00371396549780911"
"1","7.0478515625","-9.61180782318115","-0.00366389758710284"
"1","7.0576171875","-9.60714149475098","-0.00405192395191989"
"1","7.0673828125","-9.21830558776855","-0.0044819712456956"
"1","7.0771484375","-9.01061534881592","-0.00422537323174765"
"1","7.0869140625","-9.16922950744629","-0.00511854887008667"
"1","7.0966796875","-10.0454597473145","-0.00517129910804215"
"1","7.1064453125","-11.0892019271851","-0.00537335881745094"
"1","7.1162109375","-11.5465049743652","-0.00658214094073628"
"1","7.1259765625","-11.3566122055054","-0.00672876831231406"
"1","7.1357421875","-10.443473815918","-0.00667512404106674"
"1","7.1455078125","-10.1807298660278","-0.00667512404106674"
"1","7.1552734375","-11.071418762207","-0.00680297625876847"
"1","7.1650390625","-12.2620677947998","-0.00742077827453613"
"1","7.1748046875","-13.1253061294556","-0.00804036881163483"
"1","7.1845703125","-13.0585861206055","-0.00758349915486178"
"1","7.1943359375","-12.5761232376099","-0.00783294399298029"
"1","7.2041015625","-12.5970506668091","-0.00838458527141484"
"1","7.2138671875","-12.6832160949707","-0.00874489523994271"
"1","7.2236328125","-13.9897174835205","-0.00886559519130969"
"1","7.2333984375","-14.9367332458496","-0.00937342610995984"
"1","7.2431640625","-15.6214084625244","-0.0104069713415811"
"1","7.2529296875","-15.1976757049561","-0.010349750482419"
"1","7.2626953125","-14.6837673187256","-0.0113716723717516"
"1","7.2724609375","-14.5110301971436","-0.0115478042062023"
"1","7.2822265625","-15.2545471191406","-0.010994374861184"
"1","7.2919921875","-16.8089714050293","-0.0113269688881701"
"1","7.3017578125","-16.7660827636719","-0.012004673408228"
"1","7.3115234375","-17.5105628967285","-0.011909008208022"
"1","7.3212890625","-16.5710067749023","-0.0126323102449533"
"1","7.3310546875","-16.484130859375","-0.0126788017951185"
"1","7.3408203125","-16.7876815795898","-0.0132805107568856"
"1","7.3505859375","-17.9630489349365","-0.0136184689836227"
"1","7.3603515625","-18.7354679107666","-0.014103055036685"
"1","7.3701171875","-18.9000453948975","-0.0145268440974178"
"1","7.3798828125","-18.4785919189453","-0.0147503615153255"
"1","7.3896484375","-18.0610866546631","-0.0148540739246528"
"1","7.3994140625","-18.2791023254395","-0.0150811674757279"
"1","7.4091796875","-18.8976860046387","-0.0149998068081914"
"1","7.4189453125","-20.2841358184814","-0.0157919530465733"
"1","7.4287109375","-20.7217960357666","-0.0161299103638157"
"1","7.4384765625","-20.434326171875","-0.0170561670529423"
"1","7.4482421875","-19.7921047210693","-0.0171348456206033"
"1","7.4580078125","-19.6404762268066","-0.0168138740264112"
"1","7.4677734375","-20.6758785247803","-0.018046795958071"
"1","7.4775390625","-21.731466293335","-0.0183293232112192"
"1","7.4873046875","-22.7628059387207","-0.0180226561496966"
"1","7.4970703125","-22.7143840789795","-0.0186538691195892"
"1","7.5068359375","-22.3182849884033","-0.0192931292986032"
"1","7.5166015625","-21.7953662872314","-0.0185939661605516"
"1","7.5263671875","-22.2657279968262","-0.0194576387002598"
"1","7.5361328125","-23.5544471740723","-0.019542574591469"
"1","7.5458984375","-24.5781707763672","-0.0199145069927908"
"1","7.5556640625","-25.2120380401611","-0.0204098232643446"
"1","7.5654296875","-24.4000282287598","-0.0205841661227169"
"1","7.5751953125","-24.1028327941895","-0.0210732214327436"
"1","7.5849609375","-24.2623271942139","-0.0212055438169045"
"1","7.5947265625","-24.9402828216553","-0.0218600034713745"
"1","7.6044921875","-26.4519596099854","-0.0222864746319829"
"1","7.6142578125","-27.0378971099854","-0.0221371647057822"
"1","7.6240234375","-27.1925849914551","-0.0225350268010516"
"1","7.6337890625","-26.6824321746826","-0.023945867724251"
"1","7.6435546875","-26.2492980957031","-0.0222158432734432"
"1","7.6533203125","-26.8043918609619","-0.0234317776630633"
"1","7.6630859375","-28.3007850646973","-0.0234201543207746"
"1","7.6728515625","-29.4264583587646","-0.024029910491663"
"1","7.6826171875","-29.9819145202637","-0.0247719890467124"
"1","7.6923828125","-29.1292514801025","-0.0250178582064109"
"1","7.7021484375","-29.0757884979248","-0.0251483925239882"
"1","7.7119140625","-29.1261920928955","-0.0252145528065739"
"1","7.7216796875","-29.9881992340088","-0.0259101398114581"
"1","7.7314453125","-31.1824264526367","-0.0262588255282026"
"1","7.7412109375","-31.9192924499512","-0.026671887098928"
"1","7.7509765625","-31.7629585266113","-0.0261819368461147"
"1","7.7607421875","-31.3767337799072","-0.0267183786490932"
"1","7.7705078125","-31.5543441772461","-0.0271993867499987"
"1","7.7802734375","-32.7291259765625","-0.0273460154858185"
"1","7.7900390625","-33.742317199707","-0.0279602409136714"
"1","7.7998046875","-34.8271446228027","-0.0287953025690513"
"1","7.8095703125","-35.2265968322754","-0.0290429597953334"
"1","7.8193359375","-34.7303886413574","-0.0291824344458291"
"1","7.8291015625","-34.3058052062988","-0.029462278689607"
"1","7.8388671875","-34.775749206543","-0.0298458344332175"
"1","7.8486328125","-36.0288276672363","-0.0301462405332131"
"1","7.8583984375","-37.5543212890625","-0.0306379806715995"
"1","7.8681640625","-37.6948852539063","-0.030514598620357"
"1","7.8779296875","-37.5373344421387","-0.0312307493004482"
"1","7.8876953125","-36.9797554016113","-0.0314569479087368"
"1","7.8974609375","-37.5027732849121","-0.0309830902551766"
"1","7.9072265625","-38.5201110839844","-0.0314971803163644"
"1","7.9169921875","-39.9789810180664","-0.0327667585224845"
"1","7.9267578125","-41.0513076782227","-0.0323680033034179"
"1","7.9365234375","-40.9367370605469","-0.0334543001372367"
"1","7.9462890625","-40.8421897888184","-0.0326988083543256"
"1","7.9560546875","-40.6447982788086","-0.0330939874402247"
"1","7.9658203125","-41.0841636657715","-0.0340309743478429"
"1","7.9755859375","-42.7040481567383","-0.034282205888303"
"1","7.9853515625","-44.0885581970215","-0.0351664421032183"
"1","7.9951171875","-44.3683471679688","-0.0349339825334027"
"1","8.0048828125","-44.5930252075195","-0.0350788250216283"
"1","8.0146484375","-44.4750633239746","-0.0351351482095197"
"1","8.0244140625","-44.8707733154297","-0.0360095509677194"
"1","8.0341796875","-46.003044128418","-0.035592915082816"
"1","8.0439453125","-47.7947311401367","-0.0366032109013759"
"1","8.0537109375","-48.2777519226074","-0.0364181396435015"
"1","8.0634765625","-48.2537231445313","-0.0374338014808018"
"1","8.0732421875","-48.7203979492188","-0.0379067641915753"
"1","8.0830078125","-48.3869094848633","-0.0374194969481323"
"1","8.0927734375","-49.6586952209473","-0.0377574579033535"
"1","8.1025390625","-51.3398666381836","-0.038584472349612"
"1","8.1123046875","-53.1634101867676","-0.0389054403058253"
"1","8.1220703125","-53.2075386047363","-0.038995742215775"
"1","8.1318359375","-52.6593933105469","-0.0388258704333566"
