"File Path: C:\Users\Administrator\Desktop\BME_labs\2026\Group 2\G2_Sample_A5 26-03-2026 17 14 51\DAQ- Time, … - (Timed).csv   
Test: Solution
Test Run: G2_Sample_A5
Date: 26/03/2026 17:13:44

"
"cycle_nb","Time ","Axial Force ","Axial Displacement "
"cycle_nb","sec","N","mm"
"1","10.44140625","-5.35156583786011","0.00165045264566288"
"1","10.451171875","-5.63006830215454","0.000818073772279604"
"1","10.4609375","-5.22529220581055","0.00129282477701054"
"1","10.470703125","-4.07944440841675","0.00208765277420753"
"1","10.48046875","-3.57320523262024","0.0013884902045902"
"1","10.490234375","-3.83071136474609","0.00163078311743448"
"1","10.5","-5.1612548828125","0.00113010401037172"
"1","10.509765625","-5.97671604156494","0.000567734218748228"
"1","10.51953125","-6.04498672485352","0.00121414666409692"
"1","10.529296875","-5.51474761962891","0.000589191927247157"
"1","10.5390625","-4.8864541053772","0.000274479390327542"
"1","10.548828125","-4.82955503463745","0.000675916680847877"
"1","10.55859375","-5.99859285354614","-0.000205636027317269"
"1","10.568359375","-6.95968961715698","2.77161600337195E-05"
"1","10.578125","-8.04278564453125","-0.000635683534255804"
"1","10.587890625","-7.20571279525757","-0.00104784965060389"
"1","10.59765625","-6.76854038238525","-0.00116229057312012"
"1","10.607421875","-6.18447542190552","-0.00105589629129099"
"1","10.6171875","-6.95760822296143","-0.00134021047415445"
"1","10.626953125","-8.3604736328125","-0.00164777043210051"
"1","10.63671875","-9.23328113555908","-0.00241756447394437"
"1","10.646484375","-9.17063999176025","-0.00270187865680782"
"1","10.65625","-8.90790939331055","-0.0026920438358502"
"1","10.666015625","-8.34419822692871","-0.00353962172994216"
"1","10.67578125","-8.75463199615479","-0.00339210032507253"
"1","10.685546875","-9.59229183197021","-0.00378817321688985"
"1","10.6953125","-10.8859968185425","-0.0042888523239526"
"1","10.705078125","-11.4044170379639","-0.00476717968922458"
"1","10.71484375","-11.1370763778687","-0.0052338837122079"
"1","10.724609375","-10.2105131149292","-0.00546812998436508"
"1","10.734375","-10.4277019500732","-0.00532865533386939"
"1","10.744140625","-11.4955987930298","-0.00521779065820738"
"1","10.75390625","-12.6439752578735","-0.0069487095970544"
"1","10.763671875","-13.4064350128174","-0.00652492053632159"
"1","10.7734375","-13.5134296417236","-0.00620842001808342"
"1","10.783203125","-13.3618431091309","-0.00648915784040582"
"1","10.79296875","-12.9995498657227","-0.0073376299951633"
"1","10.802734375","-13.5737380981445","-0.00734210016162251"
"1","10.8125","-14.8672752380371","-0.00844985243020346"
"1","10.822265625","-15.7838907241821","-0.00805288527772063"
"1","10.83203125","-16.3169803619385","-0.00894069671630859"
"1","10.841796875","-16.0091152191162","-0.00893354444997385"
"1","10.8515625","-15.394944190979","-0.00884592554939445"
"1","10.861328125","-15.9517526626587","-0.00925093900150387"
"1","10.87109375","-17.0986633300781","-0.00978738080448238"
"1","10.880859375","-18.5164775848389","-0.0103309748737956"
"1","10.890625","-19.2276229858398","-0.0105312465166207"
"1","10.900390625","-18.9584827423096","-0.0112563375296304"
"1","10.91015625","-18.3494529724121","-0.010856688277272"
"1","10.919921875","-18.8551616668701","-0.0108468530015671"
"1","10.9296875","-19.4209957122803","-0.0118079778985702"
"1","10.939453125","-20.7174797058105","-0.0121861694424297"
"1","10.94921875","-21.925802230835","-0.0128084420794039"
"1","10.958984375","-22.4426288604736","-0.0130400057969382"
"1","10.96875","-21.8981533050537","-0.0129729505715659"
"1","10.978515625","-21.7890777587891","-0.0131973620227654"
"1","10.98828125","-22.139820098877","-0.0134816764330026"
"1","10.998046875","-23.5353507995605","-0.0143140550790122"
"1","11.0078125","-24.6880302429199","-0.0146707889143727"
"1","11.017578125","-25.2426605224609","-0.0150543455674779"
"1","11.02734375","-24.9801807403564","-0.015080273442436"
"1","11.037109375","-24.5692176818848","-0.0152161719597643"
"1","11.046875","-23.9711666107178","-0.0156399601110024"
"1","11.056640625","-25.1559200286865","-0.0155514480866259"
"1","11.06640625","-26.4895668029785","-0.0168684127856977"
"1","11.076171875","-27.7132549285889","-0.0165975088748382"
"1","11.0859375","-27.8975448608398","-0.0166806585184531"
"1","11.095703125","-27.1374168395996","-0.01727968447085"
"1","11.10546875","-27.2706050872803","-0.0173038242792245"
"1","11.115234375","-28.3132019042969","-0.0175130371644627"
"1","11.125","-29.4424686431885","-0.018179118342232"
"1","11.134765625","-30.9312191009521","-0.0184151522262255"
"1","11.14453125","-31.0454521179199","-0.0188952690223232"
"1","11.154296875","-30.5640354156494","-0.0190293794730678"
"1","11.1640625","-30.6287441253662","-0.0191250437637791"
"1","11.173828125","-30.8333492279053","-0.0201237198780291"
"1","11.18359375","-32.5093955993652","-0.0191277267731493"
"1","11.193359375","-34.0232048034668","-0.0204929710889701"
"1","11.203125","-35.1405944824219","-0.0210589169000741"
"1","11.212890625","-35.2593154907227","-0.0206655258807587"
"1","11.22265625","-34.8645820617676","-0.0220415004150709"
"1","11.232421875","-34.9231300354004","-0.0211501119338209"
"1","11.2421875","-36.1160011291504","-0.0219324228964979"
"1","11.251953125","-37.7454566955566","-0.0224643954425119"
"1","11.26171875","-39.2325019836426","-0.0231859085033648"
"1","11.271484375","-39.4608421325684","-0.0228488443099195"
"1","11.28125","-38.9977951049805","-0.0236204268730944"
"1","11.291015625","-39.2674446105957","-0.0232046841119882"
"1","11.30078125","-39.5570526123047","-0.024206041416619"
"1","11.310546875","-41.1835708618164","-0.0237858293985482"
"1","11.3203125","-42.8514022827148","-0.024944543838501"
"1","11.330078125","-43.445384979248","-0.0248613960138755"
"1","11.33984375","-43.3614845275879","-0.0256758921750588"
"1","11.349609375","-43.3542747497559","-0.0246235722443089"
"1","11.359375","-44.2126388549805","-0.0246942036028486"
"1","11.369140625","-45.1455612182617","-0.0263777383224806"
"1","11.37890625","-46.6319351196289","-0.0266075130639365"
"1","11.388671875","-47.6651306152344","-0.0269597767328378"
"1","11.3984375","-48.3420944213867","-0.027021467758459"
"1","11.408203125","-48.3162651062012","-0.0275802613032283"
"1","11.41796875","-48.7832908630371","-0.0280380245385459"
"1","11.427734375","-48.9886322021484","-0.0277438757620985"
"1","11.4375","-50.5943145751953","-0.028221309548826"
"1","11.447265625","-52.0287780761719","-0.0286674494418548"
"1","11.45703125","-52.5351409912109","-0.0287058956018882"
"1","11.466796875","-52.7049598693848","-0.0294533365376992"
"1","11.4765625","-52.683765411377","-0.0292897220788291"
"1","11.486328125","-53.5300178527832","-0.0296321504720254"
"1","11.49609375","-55.2893104553223","-0.0302168718917528"
"1","11.505859375","-57.0903587341309","-0.0307559967041016"
"1","11.515625","-58.0251502990723","-0.0306692709273193"
"1","11.525390625","-57.5304222106934","-0.03102153641521"
"1","11.53515625","-58.4910011291504","-0.031631290767109"
"1","11.544921875","-59.0648536682129","-0.0316339719574898"
"1","11.5546875","-59.1347312927246","-0.0321972365782131"
"1","11.564453125","-61.0248680114746","-0.0320318358717486"
"1","11.57421875","-62.3622817993164","-0.0338029858539812"
"1","11.583984375","-63.0097236633301","-0.0328034147969447"
"1","11.59375","-62.9692687988281","-0.0335544355039019"
"1","11.603515625","-62.7155380249023","-0.0333192947437055"
"1","11.61328125","-64.0600280761719","-0.0341740233125165"
"1","11.623046875","-65.3446731567383","-0.0343751889886335"
"1","11.6328125","-66.7991714477539","-0.0343349565810058"
"1","11.642578125","-67.8744583129883","-0.0351163762388751"
"1","11.65234375","-68.1651992797852","-0.0350090849678963"
"1","11.662109375","-68.3687133789063","-0.0355491029040422"
"1","11.671875","-68.704475402832","-0.0351351482095197"
"1","11.681640625","-70.3463592529297","-0.0361651182174683"
"1","11.69140625","-72.2026519775391","-0.0364109873771667"
"1","11.701171875","-74.0460968017578","-0.0368240471289027"
"1","11.7109375","-74.5788192749023","-0.0369188201148063"
"1","11.720703125","-74.5876998901367","-0.0375875824829564"
"1","11.73046875","-75.2071990966797","-0.038490594306495"
"1","11.740234375","-76.5469589233398","-0.0376689422409981"
"1","11.75","-77.6516723632813","-0.038257239793893"
"1","11.759765625","-79.4029541015625","-0.0387981526728254"
"1","11.76953125","-80.2803649902344","-0.0382250545953866"
"1","11.779296875","-80.7514190673828","-0.0395250317524187"
"1","11.7890625","-80.9924926757813","-0.0395277129427996"
"1","11.798828125","-82.0997772216797","-0.0399541859223973"
"1","11.80859375","-83.5120162963867","-0.0406596082029864"
"1","11.818359375","-84.9127197265625","-0.0403663507313468"
"1","11.828125","-85.9863357543945","-0.0410431639465969"
