"File Path: C:\Users\Administrator\Desktop\BME_labs\2026\Group 2\G2_Sample_B3 26-03-2026 17 07 43\DAQ- Time, … - (Timed).csv   
Test: Solution
Test Run: G2_Sample_B3
Date: 26/03/2026 17:03:33

"
"cycle_nb","Time ","Axial Force ","Axial Displacement "
"cycle_nb","sec","N","mm"
"1","112.3955078125","-2.51201438903809","0.00128120188946923"
"1","112.4052734375","-2.31446695327759","0.00173270700543071"
"1","112.4150390625","-3.35014891624451","0.00144392254242121"
"1","112.4248046875","-4.8443489074707","0.00100314616702235"
"1","112.4345703125","-5.11558723449707","0.00099420549304341"
"1","112.4443359375","-4.34621238708496","0.00132411719278025"
"1","112.4541015625","-3.3201277256012","0.000612437702329771"
"1","112.4638671875","-2.90206623077393","0.000372827059891279"
"1","112.4736328125","-4.1303505897522","0.00134021047415445"
"1","112.4833984375","-5.67334699630737","0.000894069671630859"
"1","112.4931640625","-7.00439310073853","0.000174343583125847"
"1","112.5029296875","-7.23098421096802","0.000506043420500646"
"1","112.5126953125","-6.20466184616089","1.25169750120335E-05"
"1","112.5224609375","-5.89785623550415","-0.000118017197792142"
"1","112.5322265625","-7.08684349060059","4.55975524005225E-05"
"1","112.5419921875","-8.70456409454346","-0.000362992295777076"
"1","112.5517578125","-9.91315078735352","-0.000392496588119684"
"1","112.5615234375","-10.7396211624146","-0.00148147341860749"
"1","112.5712890625","-10.4369640350342","-0.000805556794603035"
"1","112.5810546875","-10.1659498214722","-0.00143140550790122"
"1","112.5908203125","-10.8056421279907","-0.00204294929062598"
"1","112.6005859375","-12.1156778335571","-0.00230312343774131"
"1","112.6103515625","-13.9090423583984","-0.00210106372833252"
"1","112.6201171875","-15.0966320037842","-0.0029012560389674"
"1","112.6298828125","-15.362603187561","-0.00299245130008785"
"1","112.6396484375","-15.5964450836182","-0.00306844708575227"
"1","112.6494140625","-15.6714487075806","-0.00357627868652344"
"1","112.6591796875","-16.2951602935791","-0.00380247820430668"
"1","112.6689453125","-17.766185760498","-0.00447124239144614"
"1","112.6787109375","-19.7128105163574","-0.00489234935230343"
"1","112.6884765625","-20.1547050476074","-0.00510960808242089"
"1","112.6982421875","-20.6263828277588","-0.00578552499064244"
"1","112.7080078125","-20.3530769348145","-0.00594556331634521"
"1","112.7177734375","-21.0105533599854","-0.00574618570681196"
"1","112.7275390625","-21.9976196289063","-0.0061663986343774"
"1","112.7373046875","-23.623779296875","-0.00637829316474381"
"1","112.7470703125","-24.5291919708252","-0.00676542504152167"
"1","112.7568359375","-25.1164703369141","-0.00650882702757372"
"1","112.7666015625","-25.5675716400146","-0.00810116489446955"
"1","112.7763671875","-24.8085060119629","-0.00782936785981292"
"1","112.7861328125","-25.5885391235352","-0.00807791911938693"
"1","112.7958984375","-27.242317199707","-0.00822186484583654"
"1","112.8056640625","-28.4627494812012","-0.00923395145946415"
"1","112.8154296875","-28.8218288421631","-0.0093600156105822"
"1","112.8251953125","-28.3715534210205","-0.00938773155212402"
"1","112.8349609375","-28.265941619873","-0.00935375646804459"
"1","112.8447265625","-29.6043376922607","-0.00985533006314654"
"1","112.8544921875","-31.2787742614746","-0.0102451440397999"
"1","112.8642578125","-33.0054054260254","-0.0109595057438128"
"1","112.8740234375","-33.9094200134277","-0.0116685032480746"
"1","112.8837890625","-34.0160140991211","-0.0119546057248954"
"1","112.8935546875","-33.8428039550781","-0.0120162967505166"
"1","112.9033203125","-34.0192375183105","-0.0126537679534522"
"1","112.9130859375","-35.4342727661133","-0.0122120973173878"
"1","112.9228515625","-36.9157028198242","-0.013104378922435"
"1","112.9326171875","-38.6052169799805","-0.012939870430273"
"1","112.9423828125","-38.6772880554199","-0.0131258366309339"
"1","112.9521484375","-38.1592292785645","-0.013473630133376"
"1","112.9619140625","-38.2241325378418","-0.0137802962854039"
"1","112.9716796875","-39.4950408935547","-0.0139501689773169"
"1","112.9814453125","-41.7172775268555","-0.0146672127812053"
"1","112.9912109375","-43.1557769775391","-0.0147280097735347"
"1","113.0009765625","-44.1058387756348","-0.0153788932948373"
"1","113.0107421875","-44.0590286254883","-0.0155192610691302"
"1","113.0205078125","-44.2119979858398","-0.0158080456458265"
"1","113.0302734375","-44.9302711486816","-0.0157240028784145"
"1","113.0400390625","-46.6838874816895","-0.0159609317051945"
"1","113.0498046875","-48.6886177062988","-0.0166967511177063"
"1","113.0595703125","-50.2452774047852","-0.0171929605130572"
"1","113.0693359375","-50.1353759765625","-0.0176069133885903"
"1","113.0791015625","-51.0441703796387","-0.0177785750565818"
"1","113.0888671875","-50.5613861083984","-0.0177294023160357"
"1","113.0986328125","-51.7085189819336","-0.0186413526535034"
"1","113.1083984375","-53.4161529541016","-0.018322169125895"
"1","113.1181640625","-55.0085296630859","-0.0191697472473606"
"1","113.1279296875","-56.2926368713379","-0.0191438193724025"
