AP Cora 5001
Software_Version;1.4.1
[SAMPLE]
Sample_Name;Bov_denat2_after_1
Method;
[PARAMETERS]
Instrument_Type;Cora 5001
Instrument_SN;99119713
Last_SST;2/13/2024 2:05:45 PM +00:00
User_Name;labmanager
Measurement_Started;2/13/2024 5:51:15 PM
Measurement_Finished;2/13/2024 5:52:16 PM
Measurement_Saved;2/13/2024 5:52:16 PM
Wavelength;785
Laser_Power;30
Auto_Exposure;False
Exposure_Time;10000
Averaged_Spectra;3
Probe_Type;Regular Probe (785 nm)
Probe_SN;99101107
Dark_Background;True
User_Background_Spectrum;
Spike_Removal;True
Baseline_Correction;False
Smoothing;False
Normalization;None
[SPECTRUM QUALITY]
Quality_Saturation;False
Quality_SBR;NaN
Quality_Temperature;False
[SPECTRUM]
100.00;7690.82
102.00;7595.43
104.00;7475.08
106.00;7329.52
108.00;7158.08
110.00;6976.34
112.00;6790.88
114.00;6569.97
116.00;6338.88
118.00;6097.84
120.00;5885.37
122.00;5656.22
124.00;5454.09
126.00;5245.95
128.00;5058.57
130.00;4894.28
132.00;4745.79
134.00;4601.02
136.00;4479.18
138.00;4372.09
140.00;4262.37
142.00;4173.08
144.00;4104.35
146.00;4044.64
148.00;3989.81
150.00;3936.10
152.00;3895.62
154.00;3857.89
156.00;3827.13
158.00;3814.50
160.00;3800.01
162.00;3791.00
164.00;3775.36
166.00;3762.61
168.00;3749.88
170.00;3746.80
172.00;3741.47
174.00;3723.96
176.00;3711.13
178.00;3698.13
180.00;3688.46
182.00;3678.37
184.00;3666.01
186.00;3665.93
188.00;3655.03
190.00;3640.17
192.00;3634.83
194.00;3626.65
196.00;3615.69
198.00;3596.91
200.00;3586.13
202.00;3593.59
204.00;3602.14
206.00;3602.22
208.00;3599.84
210.00;3604.27
212.00;3599.21
214.00;3594.28
216.00;3594.32
218.00;3586.04
220.00;3584.71
222.00;3584.15
224.00;3574.13
226.00;3569.66
228.00;3565.93
230.00;3560.85
232.00;3562.07
234.00;3558.40
236.00;3554.33
238.00;3561.95
240.00;3565.55
242.00;3565.55
244.00;3555.52
246.00;3560.50
248.00;3569.73
250.00;3575.99
252.00;3572.89
254.00;3567.65
256.00;3567.62
258.00;3578.41
260.00;3582.61
262.00;3586.02
264.00;3586.15
266.00;3582.20
268.00;3589.40
270.00;3584.32
272.00;3583.99
274.00;3582.44
276.00;3574.79
278.00;3573.84
280.00;3578.49
282.00;3584.10
284.00;3572.16
286.00;3569.53
288.00;3573.05
290.00;3559.28
292.00;3556.89
294.00;3557.97
296.00;3552.09
298.00;3547.06
300.00;3540.59
302.00;3535.13
304.00;3530.53
306.00;3529.00
308.00;3524.21
310.00;3521.38
312.00;3517.39
314.00;3511.07
316.00;3513.90
318.00;3516.64
320.00;3517.71
322.00;3508.06
324.00;3507.41
326.00;3504.22
328.00;3505.53
330.00;3511.94
332.00;3506.31
334.00;3501.22
336.00;3496.98
338.00;3499.03
340.00;3499.20
342.00;3499.76
344.00;3496.80
346.00;3488.56
348.00;3483.20
350.00;3480.24
352.00;3477.88
354.00;3475.13
356.00;3479.07
358.00;3482.79
360.00;3471.99
362.00;3462.76
364.00;3464.58
366.00;3462.66
368.00;3459.10
370.00;3458.93
372.00;3454.48
374.00;3445.02
376.00;3446.98
378.00;3454.72
380.00;3453.71
382.00;3451.16
384.00;3453.25
386.00;3458.47
388.00;3458.76
390.00;3449.60
392.00;3454.37
394.00;3447.45
396.00;3439.13
398.00;3446.89
400.00;3444.96
402.00;3447.70
404.00;3451.53
406.00;3456.23
408.00;3463.46
410.00;3468.10
412.00;3481.96
414.00;3485.32
416.00;3485.55
418.00;3497.95
420.00;3499.38
422.00;3504.48
424.00;3516.01
426.00;3520.34
428.00;3524.91
430.00;3530.90
432.00;3529.64
434.00;3536.27
436.00;3531.69
438.00;3530.61
440.00;3537.73
442.00;3528.30
444.00;3521.04
446.00;3510.66
448.00;3505.86
450.00;3497.98
452.00;3487.86
454.00;3482.41
456.00;3470.07
458.00;3466.06
460.00;3460.76
462.00;3451.37
464.00;3448.83
466.00;3439.38
468.00;3427.43
470.00;3419.13
472.00;3409.73
474.00;3396.45
476.00;3387.36
478.00;3381.92
480.00;3368.63
482.00;3366.95
484.00;3353.51
486.00;3360.04
488.00;3366.98
490.00;3369.14
492.00;3364.89
494.00;3360.19
496.00;3363.32
498.00;3355.68
500.00;3342.54
502.00;3334.62
504.00;3342.74
506.00;3343.72
508.00;3345.22
510.00;3336.54
512.00;3342.88
514.00;3343.63
516.00;3343.60
518.00;3352.30
520.00;3353.50
522.00;3359.41
524.00;3356.91
526.00;3353.93
528.00;3351.41
530.00;3351.27
532.00;3356.37
534.00;3359.43
536.00;3347.01
538.00;3346.99
540.00;3351.82
542.00;3345.94
544.00;3344.80
546.00;3349.57
548.00;3349.63
550.00;3350.37
552.00;3340.61
554.00;3351.91
556.00;3361.97
558.00;3353.91
560.00;3356.24
562.00;3354.26
564.00;3354.58
566.00;3368.71
568.00;3370.30
570.00;3367.57
572.00;3375.23
574.00;3383.03
576.00;3391.46
578.00;3405.35
580.00;3405.79
582.00;3403.08
584.00;3403.24
586.00;3401.09
588.00;3401.58
590.00;3398.95
592.00;3403.13
594.00;3406.62
596.00;3393.67
598.00;3379.79
600.00;3358.30
602.00;3350.15
604.00;3332.62
606.00;3336.06
608.00;3327.31
610.00;3315.30
612.00;3311.92
614.00;3310.98
616.00;3313.84
618.00;3305.00
620.00;3302.20
622.00;3282.93
624.00;3275.13
626.00;3267.76
628.00;3258.91
630.00;3240.80
632.00;3240.86
634.00;3236.93
636.00;3237.37
638.00;3229.45
640.00;3225.69
642.00;3218.85
644.00;3207.99
646.00;3201.00
648.00;3194.07
650.00;3195.97
652.00;3203.26
654.00;3204.56
656.00;3205.47
658.00;3201.63
660.00;3186.95
662.00;3186.73
664.00;3181.96
666.00;3177.73
668.00;3172.69
670.00;3168.95
672.00;3169.50
674.00;3172.84
676.00;3166.01
678.00;3150.05
680.00;3157.69
682.00;3152.62
684.00;3156.87
686.00;3156.39
688.00;3158.05
690.00;3153.42
692.00;3154.39
694.00;3152.31
696.00;3153.62
698.00;3144.82
700.00;3142.41
702.00;3139.56
704.00;3130.39
706.00;3117.43
708.00;3128.96
710.00;3126.74
712.00;3115.71
714.00;3115.91
716.00;3114.36
718.00;3124.56
720.00;3121.72
722.00;3117.43
724.00;3113.52
726.00;3107.54
728.00;3112.46
730.00;3110.29
732.00;3111.34
734.00;3100.83
736.00;3097.59
738.00;3098.43
740.00;3102.00
742.00;3092.13
744.00;3081.71
746.00;3081.01
748.00;3069.25
750.00;3062.82
752.00;3063.22
754.00;3064.65
756.00;3068.24
758.00;3071.21
760.00;3075.68
762.00;3074.28
764.00;3062.19
766.00;3053.08
768.00;3045.91
770.00;3032.43
772.00;3031.46
774.00;3026.04
776.00;3027.31
778.00;3023.18
780.00;3022.68
782.00;3018.73
784.00;3019.78
786.00;3018.11
788.00;3020.20
790.00;3010.88
792.00;3009.62
794.00;3017.83
796.00;3013.09
798.00;3007.73
800.00;3005.01
802.00;3003.79
804.00;3008.72
806.00;3006.41
808.00;3017.53
810.00;3016.69
812.00;3020.68
814.00;3024.37
816.00;3025.63
818.00;3015.25
820.00;3000.86
822.00;2998.52
824.00;3000.96
826.00;2994.06
828.00;2994.18
830.00;3011.92
832.00;3003.65
834.00;3003.58
836.00;3003.56
838.00;2989.09
840.00;2973.19
842.00;2980.83
844.00;2996.82
846.00;3005.61
848.00;3012.63
850.00;3012.20
852.00;2991.71
854.00;2984.94
856.00;2994.00
858.00;2985.08
860.00;2987.44
862.00;2982.44
864.00;2982.11
866.00;2983.53
868.00;2986.40
870.00;2987.94
872.00;2986.75
874.00;2985.65
876.00;2998.29
878.00;2987.96
880.00;2987.75
882.00;2984.49
884.00;2977.05
886.00;2972.38
888.00;2977.02
890.00;2979.03
892.00;2969.25
894.00;2961.63
896.00;2959.10
898.00;2964.10
900.00;2961.48
902.00;2962.52
904.00;2956.01
906.00;2947.91
908.00;2938.70
910.00;2949.19
912.00;2960.95
914.00;2966.81
916.00;2961.17
918.00;2966.51
920.00;2972.73
922.00;2975.54
924.00;2975.64
926.00;2972.24
928.00;2977.80
930.00;2981.65
932.00;2982.21
934.00;2990.25
936.00;3007.57
938.00;3027.90
940.00;3061.06
942.00;3095.46
944.00;3132.84
946.00;3187.49
948.00;3255.92
950.00;3352.11
952.00;3461.26
954.00;3569.11
956.00;3686.22
958.00;3788.51
960.00;3848.13
962.00;3847.85
