AP Cora 5001
Software_Version;1.4.1
[SAMPLE]
Sample_Name;Sample1_haversian_1
Method;
[PARAMETERS]
Instrument_Type;Cora 5001
Instrument_SN;99119713
Last_SST;3/7/2024 1:00:25 PM +00:00
User_Name;labmanager
Measurement_Started;3/7/2024 3:11:14 PM
Measurement_Finished;3/7/2024 3:11:45 PM
Measurement_Saved;3/7/2024 3:11:45 PM
Wavelength;785
Laser_Power;30
Auto_Exposure;False
Exposure_Time;5000
Averaged_Spectra;3
Probe_Type;Regular Probe (785 nm)
Probe_SN;99101107
Dark_Background;True
User_Background_Spectrum;
Spike_Removal;True
Baseline_Correction;False
Smoothing;False
Normalization;None
[SPECTRUM QUALITY]
Quality_Saturation;False
Quality_SBR;NaN
Quality_Temperature;False
[SPECTRUM]
100.00;4421.03
102.00;4358.41
104.00;4285.00
106.00;4196.60
108.00;4082.35
110.00;3955.54
112.00;3820.09
114.00;3662.71
116.00;3518.26
118.00;3366.17
120.00;3209.08
122.00;3059.15
124.00;2927.91
126.00;2798.92
128.00;2680.41
130.00;2569.77
132.00;2465.87
134.00;2376.40
136.00;2292.63
138.00;2215.24
140.00;2147.30
142.00;2083.30
144.00;2028.97
146.00;1988.23
148.00;1944.76
150.00;1904.74
152.00;1889.22
154.00;1867.83
156.00;1845.32
158.00;1832.98
160.00;1817.92
162.00;1810.01
164.00;1809.48
166.00;1802.30
168.00;1799.35
170.00;1798.32
172.00;1795.84
174.00;1794.49
176.00;1789.49
178.00;1779.70
180.00;1769.56
182.00;1766.16
184.00;1764.24
186.00;1762.78
188.00;1756.03
190.00;1756.16
192.00;1753.37
194.00;1745.91
196.00;1745.32
198.00;1742.21
200.00;1729.38
202.00;1731.54
204.00;1738.22
206.00;1736.60
208.00;1734.60
210.00;1740.54
212.00;1737.30
214.00;1738.53
216.00;1747.01
218.00;1748.36
220.00;1746.18
222.00;1743.68
224.00;1745.55
226.00;1747.18
228.00;1745.56
230.00;1748.14
232.00;1753.32
234.00;1747.39
236.00;1753.35
238.00;1756.64
240.00;1757.56
242.00;1757.40
244.00;1762.60
246.00;1765.94
248.00;1766.73
250.00;1768.43
252.00;1769.29
254.00;1766.68
256.00;1770.61
