AP Cora 5001
Software_Version;1.4.1
[SAMPLE]
Sample_Name;Sample2_plexiform_2
Method;
[PARAMETERS]
Instrument_Type;Cora 5001
Instrument_SN;99119713
Last_SST;3/7/2024 1:00:25 PM +00:00
User_Name;labmanager
Measurement_Started;3/7/2024 3:52:36 PM
Measurement_Finished;3/7/2024 3:53:07 PM
Measurement_Saved;3/7/2024 3:53:07 PM
Wavelength;785
Laser_Power;30
Auto_Exposure;False
Exposure_Time;5000
Averaged_Spectra;3
Probe_Type;Regular Probe (785 nm)
Probe_SN;99101107
Dark_Background;True
User_Background_Spectrum;
Spike_Removal;True
Baseline_Correction;False
Smoothing;False
Normalization;None
[SPECTRUM QUALITY]
Quality_Saturation;False
Quality_SBR;NaN
Quality_Temperature;False
[SPECTRUM]
100.00;5708.45
102.00;5530.39
104.00;5340.52
106.00;5135.04
108.00;4900.01
110.00;4643.99
112.00;4374.60
114.00;4098.40
116.00;3823.84
118.00;3554.88
120.00;3279.35
122.00;3023.50
124.00;2797.89
126.00;2580.45
128.00;2379.58
130.00;2201.58
132.00;2046.63
134.00;1909.80
136.00;1780.14
138.00;1670.21
140.00;1580.37
142.00;1496.39
144.00;1425.66
146.00;1360.99
148.00;1310.34
150.00;1270.05
152.00;1246.37
154.00;1218.07
156.00;1195.95
158.00;1175.24
160.00;1164.13
162.00;1152.82
164.00;1139.28
166.00;1135.88
168.00;1127.98
170.00;1120.18
172.00;1119.78
174.00;1114.64
176.00;1104.05
178.00;1101.78
180.00;1100.47
182.00;1088.98
184.00;1089.38
186.00;1087.84
188.00;1085.26
190.00;1085.16
192.00;1079.50
194.00;1077.06
196.00;1073.32
198.00;1070.41
200.00;1063.00
202.00;1062.38
204.00;1065.25
206.00;1067.32
208.00;1066.98
210.00;1069.35
212.00;1072.33
214.00;1071.32
216.00;1068.81
218.00;1071.64
220.00;1074.88
222.00;1071.37
224.00;1068.18
226.00;1067.59
228.00;1065.24
230.00;1067.42
232.00;1072.91
234.00;1068.23
236.00;1070.85
238.00;1071.03
240.00;1069.36
242.00;1074.05
244.00;1072.36
246.00;1074.82
248.00;1077.92
250.00;1078.97
252.00;1082.93
254.00;1082.40
256.00;1081.85
258.00;1084.25
