AP Cora 5001
Software_Version;1.4.1
[SAMPLE]
Sample_Name;nitrile_1
Method;
[PARAMETERS]
Instrument_Type;Cora 5001
Instrument_SN;99119713
Last_SST;3/7/2024 1:00:25 PM +00:00
User_Name;labmanager
Measurement_Started;3/7/2024 2:38:43 PM
Measurement_Finished;3/7/2024 2:39:14 PM
Measurement_Saved;3/7/2024 2:39:14 PM
Wavelength;785
Laser_Power;10
Auto_Exposure;False
Exposure_Time;5000
Averaged_Spectra;3
Probe_Type;Regular Probe (785 nm)
Probe_SN;99101107
Dark_Background;True
User_Background_Spectrum;
Spike_Removal;True
Baseline_Correction;False
Smoothing;False
Normalization;None
[SPECTRUM QUALITY]
Quality_Saturation;False
Quality_SBR;NaN
Quality_Temperature;False
[SPECTRUM]
100.00;2454.79
102.00;2406.52
104.00;2352.21
106.00;2301.20
108.00;2241.24
110.00;2183.26
112.00;2113.86
114.00;2042.92
116.00;1971.28
118.00;1899.72
120.00;1831.68
122.00;1757.33
124.00;1698.65
126.00;1648.52
128.00;1594.65
130.00;1539.74
132.00;1500.74
134.00;1468.28
136.00;1432.16
138.00;1405.39
140.00;1378.86
142.00;1353.86
144.00;1339.95
146.00;1326.39
148.00;1313.57
150.00;1300.07
152.00;1292.44
154.00;1287.83
156.00;1282.08
158.00;1274.47
160.00;1270.83
162.00;1274.86
164.00;1269.60
166.00;1261.49
168.00;1257.24
170.00;1251.21
172.00;1245.64
174.00;1238.46
176.00;1230.64
178.00;1225.57
180.00;1220.02
182.00;1213.26
184.00;1206.55
186.00;1199.61
188.00;1186.16
190.00;1179.78
192.00;1171.43
194.00;1163.81
196.00;1156.46
198.00;1149.58
200.00;1142.29
202.00;1137.14
204.00;1132.76
206.00;1128.63
208.00;1123.37
210.00;1119.45
212.00;1114.76
214.00;1111.57
216.00;1109.03
218.00;1106.26
220.00;1102.05
222.00;1092.93
224.00;1087.17
226.00;1086.57
228.00;1083.57
230.00;1081.16
232.00;1079.64
234.00;1072.86
236.00;1071.49
238.00;1072.23
240.00;1071.21
242.00;1068.84
244.00;1061.15
