AP Cora 5001
Software_Version;1.4.1
[SAMPLE]
Sample_Name;pmma_1
Method;
[PARAMETERS]
Instrument_Type;Cora 5001
Instrument_SN;99119713
Last_SST;3/7/2024 1:00:25 PM +00:00
User_Name;labmanager
Measurement_Started;3/7/2024 2:30:54 PM
Measurement_Finished;3/7/2024 2:31:55 PM
Measurement_Saved;3/7/2024 2:31:55 PM
Wavelength;785
Laser_Power;10
Auto_Exposure;False
Exposure_Time;10000
Averaged_Spectra;3
Probe_Type;Regular Probe (785 nm)
Probe_SN;99101107
Dark_Background;True
User_Background_Spectrum;
Spike_Removal;True
Baseline_Correction;False
Smoothing;False
Normalization;None
[SPECTRUM QUALITY]
Quality_Saturation;False
Quality_SBR;NaN
Quality_Temperature;False
[SPECTRUM]
100.00;8215.74
102.00;7982.71
104.00;7721.26
106.00;7430.54
108.00;7091.25
110.00;6721.90
112.00;6322.77
114.00;5904.56
116.00;5473.53
118.00;5051.81
120.00;4640.03
122.00;4243.59
124.00;3865.81
126.00;3498.85
128.00;3164.88
130.00;2848.08
132.00;2560.13
134.00;2296.34
136.00;2047.71
138.00;1833.48
140.00;1630.74
142.00;1444.76
144.00;1283.95
146.00;1133.76
148.00;996.77
150.00;883.24
152.00;785.37
154.00;701.71
156.00;620.36
158.00;562.47
160.00;509.77
162.00;454.88
164.00;414.00
166.00;386.56
168.00;358.40
170.00;331.96
172.00;314.88
174.00;295.29
176.00;279.88
178.00;270.70
180.00;257.62
182.00;251.91
184.00;242.01
186.00;234.54
188.00;225.90
190.00;219.19
192.00;217.77
194.00;210.62
196.00;206.61
198.00;205.15
200.00;198.87
202.00;195.07
204.00;195.70
206.00;192.67
208.00;190.11
210.00;191.14
212.00;189.07
214.00;184.82
216.00;185.10
218.00;183.68
220.00;178.17
222.00;178.41
224.00;178.06
226.00;177.25
228.00;179.67
230.00;175.02
232.00;176.06
234.00;173.85
236.00;173.59
238.00;173.14
240.00;170.52
242.00;169.60
244.00;166.96
246.00;164.38
248.00;168.59
250.00;168.26
252.00;165.84
254.00;163.49
256.00;162.45
258.00;158.08
260.00;154.32
262.00;160.59
264.00;158.81
266.00;156.15
268.00;158.10
270.00;159.52
272.00;157.37
274.00;156.20
276.00;157.10
278.00;157.32
280.00;163.08
282.00;159.98
284.00;158.76
286.00;163.55
288.00;165.80
290.00;168.75
292.00;164.80
294.00;169.55
296.00;171.89
298.00;168.53
300.00;173.60
302.00;168.69
304.00;168.98
306.00;163.93
308.00;163.91
310.00;159.31
312.00;158.13
314.00;153.45
316.00;150.51
318.00;146.95
320.00;147.41
322.00;146.32
324.00;142.07
326.00;139.54
328.00;137.33
330.00;138.12
332.00;140.55
334.00;142.81
336.00;140.40
338.00;139.15
340.00;142.51
342.00;145.71
344.00;147.16
346.00;152.76
348.00;155.76
350.00;157.25
352.00;166.06
354.00;170.36
356.00;173.29
358.00;175.84
360.00;178.60
362.00;184.62
364.00;188.87
366.00;186.72
368.00;184.26
370.00;186.88
372.00;181.33
374.00;181.97
376.00;175.56
378.00;173.22
380.00;168.61
382.00;167.14
384.00;160.60
386.00;151.64
388.00;152.79
390.00;149.03
392.00;151.33
394.00;143.74
396.00;139.03
398.00;136.79
400.00;132.92
402.00;128.41
404.00;123.27
406.00;124.83
