AP Cora 5001
Software_Version;1.4.1
[SAMPLE]
Sample_Name;Bov_demin1_1day_3
Method;
[PARAMETERS]
Instrument_Type;Cora 5001
Instrument_SN;99119713
Last_SST;2/13/2024 2:05:45 PM +00:00
User_Name;labmanager
Measurement_Started;2/14/2024 3:31:45 PM
Measurement_Finished;2/14/2024 3:32:46 PM
Measurement_Saved;2/14/2024 3:32:46 PM
Wavelength;785
Laser_Power;30
Auto_Exposure;False
Exposure_Time;10000
Averaged_Spectra;3
Probe_Type;Regular Probe (785 nm)
Probe_SN;99101107
Dark_Background;True
User_Background_Spectrum;
Spike_Removal;True
Baseline_Correction;False
Smoothing;False
Normalization;None
[SPECTRUM QUALITY]
Quality_Saturation;False
Quality_SBR;NaN
Quality_Temperature;False
[SPECTRUM]
100.00;1803.63
102.00;1792.70
104.00;1778.93
106.00;1760.10
108.00;1731.35
110.00;1709.19
112.00;1671.55
114.00;1625.07
116.00;1586.47
118.00;1546.75
120.00;1503.07
122.00;1463.83
124.00;1422.51
126.00;1381.29
128.00;1349.18
130.00;1317.62
132.00;1279.93
134.00;1249.88
136.00;1222.74
138.00;1199.51
140.00;1177.05
142.00;1156.05
144.00;1142.64
146.00;1126.19
148.00;1112.54
150.00;1105.18
152.00;1098.59
154.00;1087.04
156.00;1075.83
158.00;1073.89
160.00;1066.71
162.00;1059.15
164.00;1055.12
166.00;1051.55
168.00;1049.73
170.00;1048.73
172.00;1036.74
174.00;1028.65
176.00;1025.23
178.00;1021.94
180.00;1018.47
182.00;1010.53
184.00;1003.40
186.00;996.58
188.00;993.60
190.00;987.26
192.00;976.97
194.00;981.92
196.00;980.17
198.00;978.03
200.00;964.64
202.00;958.76
204.00;961.18
206.00;957.79
208.00;955.75
210.00;956.00
212.00;951.60
214.00;953.26
216.00;950.68
218.00;949.27
220.00;947.90
222.00;941.66
224.00;939.71
226.00;937.47
228.00;931.48
230.00;931.89
232.00;930.34
234.00;925.90
236.00;932.29
238.00;930.18
240.00;930.20
242.00;926.94
244.00;925.79
246.00;924.75
248.00;927.84
250.00;929.02
252.00;925.66
254.00;930.26
256.00;928.12
258.00;927.58
260.00;929.59
262.00;932.82
264.00;932.01
266.00;938.04
268.00;933.38
270.00;926.33
272.00;934.78
274.00;932.63
276.00;933.68
278.00;935.00
280.00;933.69
282.00;935.85
284.00;932.48
286.00;930.56
288.00;927.93
290.00;929.24
292.00;920.65
294.00;923.76
296.00;926.22
298.00;930.02
300.00;929.30
302.00;924.39
304.00;925.67
306.00;926.14
308.00;924.26
310.00;920.32
312.00;922.18
314.00;922.94
316.00;921.02
318.00;922.76
320.00;915.98
322.00;917.11
324.00;927.36
326.00;919.62
328.00;915.98
330.00;917.76
332.00;917.78
334.00;921.24
336.00;921.39
338.00;918.95
340.00;916.99
342.00;915.78
344.00;920.08
346.00;925.58
348.00;922.30
350.00;920.58
352.00;917.47
354.00;911.97
356.00;914.43
358.00;912.90
360.00;910.60
362.00;910.43
364.00;912.86
366.00;914.05
368.00;908.41
370.00;915.15
372.00;915.84
374.00;914.00
376.00;918.82
378.00;916.01
380.00;915.17
382.00;916.25
384.00;916.93
386.00;912.54
388.00;913.91
390.00;914.31
392.00;915.37
394.00;916.56
396.00;917.47
398.00;917.88
400.00;914.23
402.00;917.87
404.00;919.10
406.00;922.96
408.00;927.69
410.00;931.50
412.00;927.71
414.00;926.60
416.00;931.26
418.00;934.31
420.00;929.53
422.00;936.62
424.00;943.15
426.00;946.42
428.00;942.15
430.00;944.87
432.00;943.94
434.00;941.08
436.00;946.05
438.00;943.16
440.00;941.77
442.00;944.95
444.00;943.94
446.00;943.70
448.00;938.43
450.00;935.31
452.00;935.11
454.00;932.11
456.00;925.70
458.00;922.85
460.00;923.17
462.00;921.02
464.00;925.60
466.00;919.93
468.00;919.08
470.00;918.86
472.00;916.43
474.00;908.80
476.00;907.59
478.00;903.45
480.00;901.66
482.00;900.26
484.00;899.10
486.00;901.81
488.00;902.66
490.00;908.05
492.00;906.43
494.00;908.72
496.00;904.30
498.00;902.39
500.00;900.14
502.00;903.92
504.00;905.95
506.00;907.16
508.00;904.51
510.00;902.38
512.00;899.25
514.00;900.24
516.00;904.45
518.00;908.26
520.00;910.59
522.00;910.52
524.00;913.57
526.00;916.54
528.00;909.64
530.00;913.43
532.00;911.83
534.00;913.68
536.00;912.19
538.00;911.43
540.00;913.27
542.00;911.47
544.00;915.23
546.00;910.67
548.00;910.25
550.00;917.39
552.00;914.66
554.00;918.90
556.00;924.35
558.00;924.86
560.00;927.05
562.00;923.16
564.00;921.74
566.00;924.62
568.00;929.15
570.00;929.62
572.00;930.60
574.00;936.21
576.00;936.01
578.00;937.96
580.00;934.90
582.00;935.01
584.00;937.46
586.00;935.07
588.00;932.17
590.00;935.38
592.00;936.76
594.00;935.70
596.00;933.28
598.00;934.23
600.00;931.81
602.00;924.72
604.00;918.52
606.00;917.63
608.00;920.50
610.00;918.43
612.00;920.31
614.00;911.72
616.00;910.55
618.00;913.98
620.00;914.00
622.00;910.79
624.00;912.42
626.00;905.31
628.00;902.06
630.00;898.55
632.00;896.40
634.00;894.44
636.00;891.01
638.00;890.15
640.00;896.04
642.00;898.70
644.00;893.10
646.00;889.01
648.00;884.77
650.00;887.70
652.00;894.94
654.00;893.12
656.00;895.17
658.00;894.31
660.00;895.07
662.00;893.81
664.00;895.74
666.00;889.88
668.00;886.97
670.00;893.63
672.00;898.24
674.00;897.45
676.00;888.96
678.00;891.41
680.00;892.24
682.00;892.24
684.00;893.74
686.00;888.53
688.00;887.98
690.00;889.06
692.00;894.60
694.00;891.49
696.00;894.74
698.00;895.12
700.00;890.32
702.00;893.81
704.00;888.66
706.00;889.98
708.00;894.29
710.00;893.93
712.00;889.13
714.00;894.24
716.00;889.37
718.00;889.01
720.00;888.67
722.00;889.33
724.00;888.07
726.00;890.03
728.00;889.76
730.00;893.29
732.00;892.78
734.00;889.40
736.00;881.25
738.00;881.58
740.00;886.80
742.00;883.19
744.00;884.06
746.00;886.27
748.00;888.10
