AP Cora 5001
Software_Version;1.4.1
[SAMPLE]
Sample_Name;Bov_denat2_after_3
Method;
[PARAMETERS]
Instrument_Type;Cora 5001
Instrument_SN;99119713
Last_SST;2/13/2024 2:05:45 PM +00:00
User_Name;labmanager
Measurement_Started;2/13/2024 5:55:39 PM
Measurement_Finished;2/13/2024 5:56:39 PM
Measurement_Saved;2/13/2024 5:56:39 PM
Wavelength;785
Laser_Power;30
Auto_Exposure;False
Exposure_Time;10000
Averaged_Spectra;3
Probe_Type;Regular Probe (785 nm)
Probe_SN;99101107
Dark_Background;True
User_Background_Spectrum;
Spike_Removal;True
Baseline_Correction;False
Smoothing;False
Normalization;None
[SPECTRUM QUALITY]
Quality_Saturation;False
Quality_SBR;NaN
Quality_Temperature;False
[SPECTRUM]
100.00;10532.24
102.00;10530.65
104.00;10533.19
106.00;10536.43
108.00;10524.36
110.00;10257.14
112.00;9686.16
114.00;9170.79
116.00;8647.68
118.00;8132.10
120.00;7645.53
122.00;7176.21
124.00;6747.99
126.00;6347.94
128.00;6014.52
130.00;5704.07
132.00;5429.99
134.00;5191.32
136.00;4985.31
138.00;4801.44
140.00;4639.55
142.00;4522.55
144.00;4422.65
146.00;4333.43
148.00;4265.35
150.00;4201.27
152.00;4164.95
154.00;4138.49
156.00;4106.00
158.00;4086.04
160.00;4063.70
162.00;4047.72
164.00;4043.41
166.00;4027.77
168.00;4018.95
170.00;4014.87
172.00;4006.65
174.00;3992.68
176.00;3987.91
178.00;3974.69
180.00;3960.53
182.00;3958.43
184.00;3937.72
186.00;3922.44
188.00;3923.01
190.00;3913.61
192.00;3905.71
194.00;3890.05
196.00;3871.90
198.00;3872.22
200.00;3863.01
202.00;3872.16
204.00;3867.59
206.00;3860.52
208.00;3872.57
210.00;3869.07
212.00;3866.31
214.00;3863.81
216.00;3867.47
218.00;3862.38
220.00;3860.38
222.00;3853.61
224.00;3839.32
226.00;3839.35
228.00;3833.68
230.00;3826.33
232.00;3824.18
234.00;3821.55
236.00;3821.67
238.00;3820.87
240.00;3833.51
242.00;3828.52
244.00;3823.66
246.00;3813.95
248.00;3827.29
250.00;3832.49
252.00;3828.01
254.00;3844.13
256.00;3841.54
258.00;3847.04
260.00;3849.66
262.00;3854.71
264.00;3843.97
266.00;3853.32
268.00;3864.41
270.00;3860.21
272.00;3848.83
274.00;3847.92
276.00;3850.48
278.00;3837.68
280.00;3840.88
282.00;3847.10
284.00;3837.29
286.00;3836.48
288.00;3838.88
290.00;3836.24
292.00;3822.85
294.00;3815.48
296.00;3817.99
298.00;3811.97
300.00;3808.50
302.00;3798.24
304.00;3790.86
306.00;3794.89
308.00;3786.74
310.00;3776.48
312.00;3775.95
314.00;3774.76
316.00;3773.87
318.00;3774.69
320.00;3770.70
322.00;3768.42
324.00;3772.06
326.00;3779.05
328.00;3771.06
330.00;3766.43
332.00;3764.74
334.00;3767.33
336.00;3758.86
338.00;3763.16
340.00;3769.26
342.00;3761.40
344.00;3762.21
346.00;3765.15
348.00;3752.20
350.00;3747.69
352.00;3748.61
354.00;3738.64
356.00;3736.60
358.00;3737.98
360.00;3729.70
362.00;3720.45
364.00;3720.33
366.00;3723.04
368.00;3719.31
370.00;3711.28
372.00;3703.37
374.00;3693.71
376.00;3693.80
378.00;3697.11
380.00;3701.98
382.00;3700.50
384.00;3706.05
386.00;3704.18
388.00;3707.48
390.00;3700.47
392.00;3696.50
394.00;3691.48
396.00;3689.19
398.00;3698.31
400.00;3691.70
402.00;3699.01
404.00;3704.54
406.00;3707.91
408.00;3706.97
410.00;3722.13
412.00;3715.01
414.00;3719.15
416.00;3726.97
418.00;3720.35
420.00;3728.55
422.00;3739.39
424.00;3745.62
426.00;3760.62
428.00;3762.57
430.00;3771.18
432.00;3765.80
434.00;3761.27
436.00;3761.89
438.00;3746.37
440.00;3747.44
442.00;3757.49
444.00;3759.73
446.00;3753.28
448.00;3726.08
450.00;3718.84
452.00;3709.58
454.00;3693.15
456.00;3691.09
458.00;3690.84
460.00;3687.79
462.00;3683.92
464.00;3687.66
466.00;3673.56
468.00;3663.47
470.00;3649.02
472.00;3643.73
474.00;3616.28
476.00;3617.21
478.00;3608.16
480.00;3601.39
482.00;3592.25
484.00;3595.90
486.00;3591.23
488.00;3594.47
490.00;3608.44
492.00;3603.13
494.00;3603.13
496.00;3604.20
